"","session_id","referrer","anch1group","anchoring1"
"4434",2451561,"qccuny2","lowanchor",3000
"4435",2451696,"qccuny2","highanchor",5000
"4436",2451970,"qccuny2","highanchor",5000
"4438",2452373,"qccuny2","lowanchor",1600
"4439",2454002,"qccuny2","highanchor",4800
"4441",2454108,"qccuny2","lowanchor",5000
"4442",2454143,"qccuny2","highanchor",4200
"4443",2456274,"qccuny2","lowanchor",3200
"4444",2456275,"qccuny2","lowanchor",2500
"4445",2458336,"qccuny2","lowanchor",3000
"4446",2458349,"qccuny2","highanchor",4500
"4447",2458491,"qccuny2","highanchor",4383
"4449",2458637,"qccuny2","lowanchor",3000
"4453",2458860,"qccuny2","lowanchor",2500
"4454",2459013,"qccuny2","highanchor",5000
"4455",2459018,"qccuny2","lowanchor",1800
"4456",2466324,"qccuny2","lowanchor",2000
"4457",2466409,"qccuny2","highanchor",4000
"4458",2466418,"qccuny2","lowanchor",2500
"4459",2467562,"qccuny2","highanchor",3000
"4460",2467654,"qccuny2","lowanchor",2300
"4461",2467659,"qccuny2","lowanchor",2100
"4462",2467746,"qccuny2","highanchor",5000
"4463",2467869,"qccuny2","highanchor",4500
"4464",2469514,"qccuny2","lowanchor",3000
"4465",2469967,"qccuny2","highanchor",5000
"4466",2470136,"qccuny2","lowanchor",3000
"4467",2471564,"qccuny2","highanchor",5900
"4469",2472330,"qccuny2","highanchor",2500
"4470",2472452,"qccuny2","lowanchor",3000
"4471",2472501,"qccuny2","highanchor",3000
"4472",2473609,"qccuny2","highanchor",2000
"4473",2473632,"qccuny2","lowanchor",3000
"4474",2477146,"qccuny2","highanchor",3000
"4475",2477328,"qccuny2","lowanchor",3000
"4476",2477372,"qccuny2","highanchor",4000
"4477",2477487,"qccuny2","lowanchor",3000
"4478",2478030,"qccuny2","highanchor",5000
"4479",2479462,"qccuny2","lowanchor",3000
"4480",2479503,"qccuny2","highanchor",3500
"4481",2482076,"qccuny2","lowanchor",3000
"4482",2482102,"qccuny2","lowanchor",1600
"4483",2484342,"qccuny2","highanchor",4000
"4484",2484478,"qccuny2","lowanchor",3000
"4486",2484842,"qccuny2","lowanchor",2500
"4487",2484849,"qccuny2","lowanchor",3000
"4488",2484873,"qccuny2","highanchor",4000
"4491",2486296,"qccuny2","highanchor",4000
"4492",2486966,"qccuny2","lowanchor",5000
"4493",2486976,"qccuny2","lowanchor",1700
"4494",2486984,"qccuny2","highanchor",3000
"4495",2491919,"qccuny2","highanchor",3500
"4496",2491962,"qccuny2","lowanchor",2000
"4497",2491966,"qccuny2","highanchor",3000
"4498",2491968,"qccuny2","highanchor",5000
"4499",2492034,"qccuny2","highanchor",3500
"4500",2492042,"qccuny2","highanchor",4000
"4501",2492080,"qccuny2","lowanchor",3000
"4502",2492082,"qccuny2","highanchor",3000
"4503",2492115,"qccuny2","highanchor",5450
"4504",2492153,"qccuny2","lowanchor",2000
"4505",2492273,"qccuny2","highanchor",5000
"4506",2492344,"qccuny2","highanchor",4500
"4507",2492389,"qccuny2","highanchor",4500
"4508",2492398,"qccuny2","highanchor",5999
"4509",2492400,"qccuny2","highanchor",4000
"4510",2492408,"qccuny2","highanchor",5000
"4511",2493524,"qccuny2","highanchor",3000
"4512",2493652,"qccuny2","lowanchor",2000
"4513",2493656,"qccuny2","highanchor",3500
"4514",2495872,"qccuny2","lowanchor",3000
"4515",2495975,"qccuny2","highanchor",5000
"4516",2495984,"qccuny2","highanchor",5000
"4517",2496323,"qccuny2","lowanchor",2500
"4519",2497597,"qccuny2","highanchor",5900
