"","session_id","referrer","anch1group","anchoring1"
"4682",2476887,"swps","lowanchor",1864.11
"4684",2476916,"swps","lowanchor",3106.85
"4686",2476923,"swps","lowanchor",3106.85
"4687",2476927,"swps","highanchor",5592.33
"4688",2476928,"swps","lowanchor",1864.11
"4689",2476939,"swps","lowanchor",2128.81362
"4690",2476940,"swps","lowanchor",1553.425
"4694",2476971,"swps","highanchor",4970.96
"4695",2476974,"swps","highanchor",4970.96
"4696",2476978,"swps","lowanchor",1525.46335
"4698",2476985,"swps","lowanchor",1677.699
"4699",2476986,"swps","lowanchor",3728.22
"4700",2476996,"swps","lowanchor",1864.11
"4701",2480988,"swps","highanchor",4349.59
"4702",2480992,"swps","lowanchor",3106.85
"4703",2480993,"swps","lowanchor",4908.823
"4706",2481026,"swps","lowanchor",1544.10445
"4707",2481061,"swps","lowanchor",2485.48
"4708",2481067,"swps","lowanchor",2485.48
"4709",2481068,"swps","lowanchor",1553.425
"4710",2481072,"swps","highanchor",3106.85
"4712",2481082,"swps","lowanchor",1864.11
"4716",2481094,"swps","lowanchor",1629.85351
"4717",2481095,"swps","lowanchor",1864.11
"4718",2481096,"swps","highanchor",4349.59
"4719",2481100,"swps","lowanchor",5592.33
"4720",2481133,"swps","highanchor",3106.85
"4721",2481148,"swps","lowanchor",2174.795
"4723",2481221,"swps","lowanchor",3106.85
"4724",2481223,"swps","highanchor",3106.85
"4725",2481243,"swps","highanchor",4038.905
"4726",2481245,"swps","highanchor",1864.11
"4730",2481292,"swps","lowanchor",1864.11
"4735",2481437,"swps","lowanchor",1615.562
"4736",2481439,"swps","highanchor",3106.85
"4738",2481478,"swps","highanchor",4349.59
"4739",2481490,"swps","lowanchor",2844.63186
"4740",2481498,"swps","highanchor",5592.33
"4742",2483564,"swps","lowanchor",1864.11
"4743",2483580,"swps","lowanchor",4970.96
"4746",2483620,"swps","highanchor",5095.234
"4747",2483622,"swps","lowanchor",1988.384
"4749",2483646,"swps","lowanchor",4970.96
"4752",2483709,"swps","lowanchor",3106.85
"4753",2483716,"swps","highanchor",5281.645
"4755",2483731,"swps","highanchor",1615.562
"4756",2483761,"swps","lowanchor",1864.11
"4757",2483781,"swps","highanchor",5592.33
"4759",2483788,"swps","highanchor",3417.535
"4760",2483815,"swps","highanchor",5446.30805
