"","session_id","referrer","anch1group","anchoring1"
"5117",2399681,"tamuc","lowanchor",5000
"5118",2399926,"tamuc","highanchor",3000
"5119",2399928,"tamuc","lowanchor",3000
"5120",2403003,"tamuc","highanchor",4000
"5122",2407136,"tamuc","highanchor",5500
"5123",2407234,"tamuc","lowanchor",3800
"5124",2407235,"tamuc","lowanchor",3000
"5125",2407299,"tamuc","highanchor",2500
"5126",2407300,"tamuc","highanchor",2000
"5127",2407336,"tamuc","lowanchor",2000
"5128",2407384,"tamuc","lowanchor",2500
"5130",2407447,"tamuc","highanchor",5000
"5131",2407561,"tamuc","highanchor",3000
"5132",2407741,"tamuc","highanchor",5250
"5133",2407755,"tamuc","lowanchor",2000
"5134",2407820,"tamuc","highanchor",3236
"5135",2413282,"tamuc","lowanchor",2500
"5136",2413487,"tamuc","highanchor",5900
"5137",2413488,"tamuc","lowanchor",2300
"5138",2413530,"tamuc","highanchor",4500
"5139",2413538,"tamuc","highanchor",3000
"5140",2413602,"tamuc","highanchor",4600
"5141",2418551,"tamuc","highanchor",5785
"5142",2418639,"tamuc","highanchor",5500
"5143",2418798,"tamuc","highanchor",4500
"5144",2419124,"tamuc","lowanchor",5000
"5145",2419734,"tamuc","highanchor",5500
"5146",2421330,"tamuc","highanchor",5000
"5147",2421334,"tamuc","highanchor",2500
"5149",2421912,"tamuc","lowanchor",2000
"5150",2421973,"tamuc","lowanchor",3000
"5151",2422109,"tamuc","lowanchor",1800
"5152",2422197,"tamuc","highanchor",3500
"5153",2431092,"tamuc","lowanchor",2500
"5154",2431099,"tamuc","highanchor",3500
"5155",2431108,"tamuc","lowanchor",3000
"5156",2431295,"tamuc","lowanchor",3000
"5157",2431299,"tamuc","lowanchor",3000
"5158",2435426,"tamuc","lowanchor",3000
"5159",2435447,"tamuc","highanchor",5678
"5160",2435535,"tamuc","lowanchor",2600
"5161",2435536,"tamuc","highanchor",5560
"5162",2435776,"tamuc","lowanchor",3000
"5163",2436000,"tamuc","lowanchor",1600
"5164",2439220,"tamuc","lowanchor",2500
"5165",2439240,"tamuc","highanchor",4500
"5166",2439609,"tamuc","highanchor",2500
"5167",2439616,"tamuc","highanchor",2500
"5168",2439786,"tamuc","lowanchor",1700
"5169",2439881,"tamuc","lowanchor",1850
"5170",2447652,"tamuc","lowanchor",3000
"5171",2447655,"tamuc","highanchor",2500
"5172",2447659,"tamuc","lowanchor",3350
"5173",2447725,"tamuc","highanchor",5000
"5174",2447884,"tamuc","lowanchor",3000
"5175",2447939,"tamuc","lowanchor",2000
"5176",2451690,"tamuc","lowanchor",5000
"5177",2451783,"tamuc","highanchor",2500
"5178",2451969,"tamuc","highanchor",4000
"5179",2452210,"tamuc","highanchor",5000
"5180",2453958,"tamuc","lowanchor",3500
"5181",2454051,"tamuc","lowanchor",2130
"5182",2454120,"tamuc","lowanchor",3000
"5183",2454221,"tamuc","lowanchor",2000
"5184",2454507,"tamuc","lowanchor",2800
"5185",2454552,"tamuc","lowanchor",1510
"5186",2462073,"tamuc","highanchor",4500
"5187",2465510,"tamuc","highanchor",4500
"5190",2468144,"tamuc","highanchor",5000
"5191",2468148,"tamuc","highanchor",3241
"5193",2469540,"tamuc","lowanchor",3769
"5195",2471966,"tamuc","lowanchor",3000
"5196",2472110,"tamuc","highanchor",5675
"5197",2472188,"tamuc","lowanchor",3000
"5198",2472191,"tamuc","lowanchor",4000
"5199",2472279,"tamuc","highanchor",4000
"5200",2472316,"tamuc","highanchor",3400
"5201",2472362,"tamuc","highanchor",4000
"5202",2472396,"tamuc","lowanchor",3100
"5203",2472517,"tamuc","lowanchor",2500
