"","session_id","referrer","anch1group","anchoring1"
"5204",2479820,"tamuon","lowanchor",3500
"5205",2479821,"tamuon","highanchor",5000
"5207",2479834,"tamuon","lowanchor",3000
"5208",2479835,"tamuon","highanchor",3000
"5209",2479842,"tamuon","lowanchor",5000
"5211",2479847,"tamuon","highanchor",4000
"5212",2479864,"tamuon","highanchor",5600
"5213",2479877,"tamuon","highanchor",3500
"5214",2479886,"tamuon","highanchor",5500
"5215",2479892,"tamuon","highanchor",5000
"5216",2479894,"tamuon","highanchor",4050
"5217",2479895,"tamuon","lowanchor",2500
"5218",2480000,"tamuon","lowanchor",5000
"5219",2480132,"tamuon","highanchor",3200
"5220",2480144,"tamuon","highanchor",3000
"5221",2480159,"tamuon","lowanchor",2000
"5222",2480162,"tamuon","lowanchor",5000
"5223",2480177,"tamuon","highanchor",3000
"5224",2480194,"tamuon","highanchor",2000
"5225",2480201,"tamuon","lowanchor",4329
"5226",2480215,"tamuon","lowanchor",2600
"5228",2480228,"tamuon","highanchor",4000
"5230",2480242,"tamuon","lowanchor",3000
"5231",2480266,"tamuon","highanchor",4780
"5232",2480280,"tamuon","highanchor",5000
"5234",2480332,"tamuon","lowanchor",2400
"5235",2480343,"tamuon","highanchor",5374
"5237",2480356,"tamuon","lowanchor",2500
"5238",2480366,"tamuon","lowanchor",3000
"5240",2480383,"tamuon","highanchor",4250
"5242",2480422,"tamuon","lowanchor",2500
"5243",2480440,"tamuon","highanchor",2500
"5244",2480462,"tamuon","highanchor",4500
"5245",2480467,"tamuon","lowanchor",2300
"5246",2480474,"tamuon","highanchor",3000
"5247",2480477,"tamuon","highanchor",3540
"5248",2480481,"tamuon","lowanchor",3000
"5249",2480490,"tamuon","lowanchor",3000
"5250",2480516,"tamuon","lowanchor",2000
"5251",2480518,"tamuon","highanchor",4000
"5252",2480541,"tamuon","lowanchor",1750
"5253",2480558,"tamuon","lowanchor",2000
"5254",2480566,"tamuon","highanchor",3000
"5256",2480574,"tamuon","highanchor",2500
"5257",2480585,"tamuon","highanchor",3500
"5258",2480627,"tamuon","highanchor",4750
"5259",2480628,"tamuon","highanchor",5000
"5260",2480632,"tamuon","lowanchor",2906
"5262",2480672,"tamuon","highanchor",4000
"5263",2480675,"tamuon","highanchor",3000
"5264",2480687,"tamuon","lowanchor",3000
"5265",2480690,"tamuon","highanchor",3600
"5266",2480693,"tamuon","highanchor",3500
"5267",2480707,"tamuon","highanchor",5500
"5269",2480725,"tamuon","lowanchor",2500
"5270",2480727,"tamuon","highanchor",3000
"5271",2480728,"tamuon","highanchor",4000
"5272",2480731,"tamuon","lowanchor",2500
"5273",2480733,"tamuon","highanchor",2750
"5276",2480827,"tamuon","lowanchor",1900
"5277",2480834,"tamuon","lowanchor",2000
"5278",2480836,"tamuon","highanchor",4500
"5280",2480841,"tamuon","highanchor",3000
"5281",2480848,"tamuon","highanchor",4000
"5282",2480849,"tamuon","highanchor",3500
"5283",2480851,"tamuon","lowanchor",3500
"5284",2480855,"tamuon","highanchor",1800
"5286",2480865,"tamuon","lowanchor",5000
"5288",2480868,"tamuon","highanchor",3500
"5289",2480869,"tamuon","lowanchor",5000
"5290",2480877,"tamuon","highanchor",2000
"5291",2480882,"tamuon","highanchor",4500
"5292",2480889,"tamuon","lowanchor",3000
"5293",2480892,"tamuon","lowanchor",2678
"5294",2480895,"tamuon","highanchor",3000
"5295",2480909,"tamuon","highanchor",3000
"5296",2480941,"tamuon","highanchor",4500
"5297",2480952,"tamuon","highanchor",4000
"5298",2480957,"tamuon","highanchor",4000
"5300",2480979,"tamuon","lowanchor",2700
"5301",2480981,"tamuon","lowanchor",2000
"5303",2481527,"tamuon","highanchor",4000
"5305",2481597,"tamuon","highanchor",4500
"5306",2481598,"tamuon","highanchor",5550
"5307",2481643,"tamuon","highanchor",3500
"5308",2481651,"tamuon","highanchor",3000
"5309",2481702,"tamuon","lowanchor",4500
"5310",2481714,"tamuon","highanchor",3000
"5311",2481741,"tamuon","highanchor",5200
"5312",2481750,"tamuon","lowanchor",3000
"5313",2481751,"tamuon","lowanchor",2500
"5314",2481788,"tamuon","lowanchor",1600
"5315",2481851,"tamuon","lowanchor",3500
"5316",2481868,"tamuon","highanchor",3000
"5318",2481901,"tamuon","lowanchor",3000
"5319",2481902,"tamuon","lowanchor",1800
"5320",2481903,"tamuon","lowanchor",1536
"5321",2481911,"tamuon","lowanchor",5000
"5323",2481951,"tamuon","lowanchor",3000
"5325",2481965,"tamuon","highanchor",4000
"5326",2482000,"tamuon","lowanchor",3000
"5327",2482018,"tamuon","lowanchor",3000
"5328",2482061,"tamuon","lowanchor",2900
"5329",2482084,"tamuon","lowanchor",2000
"5330",2482088,"tamuon","lowanchor",3000
"5332",2482098,"tamuon","lowanchor",2000
"5333",2482108,"tamuon","lowanchor",3000
"5334",2482114,"tamuon","highanchor",3000
"5335",2482143,"tamuon","lowanchor",2300
"5336",2482158,"tamuon","lowanchor",2000
"5337",2482170,"tamuon","lowanchor",2300
"5338",2482186,"tamuon","highanchor",3000
"5339",2482192,"tamuon","highanchor",3500
"5340",2482228,"tamuon","lowanchor",3000
"5341",2482235,"tamuon","highanchor",4000
"5342",2482264,"tamuon","lowanchor",2000
"5343",2482272,"tamuon","highanchor",4583
"5345",2482289,"tamuon","highanchor",3500
"5346",2482290,"tamuon","highanchor",2500
"5349",2482338,"tamuon","highanchor",5000
"5350",2482356,"tamuon","highanchor",4000
"5351",2482358,"tamuon","lowanchor",2500
"5352",2482368,"tamuon","highanchor",3000
"5353",2482387,"tamuon","highanchor",5000
"5354",2482388,"tamuon","highanchor",4500
"5355",2482419,"tamuon","lowanchor",2900
"5358",2482482,"tamuon","highanchor",2000
"5359",2482508,"tamuon","lowanchor",1668
"5360",2482555,"tamuon","lowanchor",2000
"5361",2482563,"tamuon","lowanchor",2000
"5362",2482564,"tamuon","lowanchor",2200
"5363",2482587,"tamuon","lowanchor",2000
"5364",2482588,"tamuon","highanchor",3500
"5365",2482605,"tamuon","highanchor",4580
"5367",2482621,"tamuon","highanchor",3000
"5368",2482623,"tamuon","highanchor",5900
"5370",2482634,"tamuon","highanchor",5000
"5371",2482654,"tamuon","highanchor",3000
"5372",2482707,"tamuon","lowanchor",5000
"5373",2482727,"tamuon","highanchor",4200
"5374",2482751,"tamuon","highanchor",3500
"5375",2482753,"tamuon","highanchor",4500
"5376",2482758,"tamuon","lowanchor",4000
"5377",2482762,"tamuon","highanchor",4000
"5378",2482783,"tamuon","lowanchor",2000
"5379",2482784,"tamuon","highanchor",5980
"5380",2482866,"tamuon","highanchor",5000
"5381",2482868,"tamuon","lowanchor",3000
"5382",2482869,"tamuon","highanchor",5000
"5384",2482873,"tamuon","lowanchor",3000
"5385",2482896,"tamuon","highanchor",5000
"5386",2482963,"tamuon","highanchor",5000
"5388",2483023,"tamuon","highanchor",5000
"5389",2483048,"tamuon","highanchor",5000
"5390",2483106,"tamuon","lowanchor",1525
"5391",2483122,"tamuon","highanchor",5000
"5392",2483153,"tamuon","lowanchor",3000
"5393",2483216,"tamuon","highanchor",3000
"5394",2483254,"tamuon","highanchor",2500
"5395",2483287,"tamuon","lowanchor",2500
"5396",2483350,"tamuon","lowanchor",3000
"5397",2483383,"tamuon","lowanchor",2357
"5402",2483525,"tamuon","highanchor",4000
"5403",2483530,"tamuon","lowanchor",4500
"5404",2483561,"tamuon","lowanchor",1650
"5405",2483762,"tamuon","lowanchor",4500
"5406",2483763,"tamuon","highanchor",3500
"5407",2483822,"tamuon","highanchor",5500
"5409",2483890,"tamuon","highanchor",3000
"5410",2483893,"tamuon","lowanchor",3000
"5411",2483927,"tamuon","lowanchor",2500
"5412",2483931,"tamuon","lowanchor",2500
"5413",2483954,"tamuon","highanchor",3000
"5414",2484034,"tamuon","highanchor",5555
"5415",2484041,"tamuon","highanchor",2500
"5416",2484047,"tamuon","lowanchor",3600
"5418",2484075,"tamuon","lowanchor",2000
"5420",2484087,"tamuon","lowanchor",3000
"5421",2484092,"tamuon","lowanchor",3000
"5422",2484167,"tamuon","highanchor",3000
"5423",2484302,"tamuon","highanchor",2690
"5424",2484815,"tamuon","lowanchor",2000
"5425",2484836,"tamuon","highanchor",5000
"5426",2485094,"tamuon","lowanchor",5000
"5427",2485219,"tamuon","lowanchor",3000
"5428",2485261,"tamuon","highanchor",5000
