"","session_id","referrer","anch1group","anchoring1"
"5429",2489735,"tilburg","highanchor",2485.48
"5431",2489745,"tilburg","highanchor",1864.11
"5432",2489754,"tilburg","highanchor",2485.48
"5434",2489759,"tilburg","highanchor",3106.85
"5435",2489763,"tilburg","highanchor",4349.59
"5436",2489764,"tilburg","lowanchor",2679.34744
"5437",2489765,"tilburg","lowanchor",3106.85
"5438",2489766,"tilburg","highanchor",3728.22
"5441",2489797,"tilburg","highanchor",4970.96
"5442",2489800,"tilburg","lowanchor",2796.165
"5443",2489804,"tilburg","highanchor",3106.85
"5444",2489805,"tilburg","lowanchor",2485.48
"5445",2489813,"tilburg","lowanchor",3106.85
"5446",2489815,"tilburg","lowanchor",3106.85
"5447",2489819,"tilburg","highanchor",4970.96
"5448",2489821,"tilburg","highanchor",4660.275
"5450",2489840,"tilburg","highanchor",4970.96
"5451",2489841,"tilburg","lowanchor",4145.78064
"5452",2489842,"tilburg","highanchor",5387.2779
"5453",2489843,"tilburg","highanchor",5592.33
"5454",2489845,"tilburg","lowanchor",4038.905
"5455",2489846,"tilburg","highanchor",4970.96
"5456",2489847,"tilburg","lowanchor",2796.165
"5457",2491621,"tilburg","lowanchor",1615.562
"5458",2491639,"tilburg","lowanchor",2361.206
"5460",2491659,"tilburg","highanchor",3106.85
"5462",2491661,"tilburg","lowanchor",1864.11
"5463",2491663,"tilburg","lowanchor",2485.48
"5465",2491681,"tilburg","lowanchor",2796.165
"5466",2491682,"tilburg","highanchor",1647.25187
"5467",2491691,"tilburg","lowanchor",3106.85
"5468",2491692,"tilburg","lowanchor",1864.11
"5470",2491695,"tilburg","lowanchor",1864.11
"5473",2491701,"tilburg","highanchor",3728.22
"5474",2493370,"tilburg","lowanchor",1926.247
"5475",2493371,"tilburg","lowanchor",3728.22
"5476",2493372,"tilburg","lowanchor",2485.48
"5477",2493374,"tilburg","highanchor",1864.11
"5478",2493375,"tilburg","lowanchor",2851.46693
"5479",2493403,"tilburg","highanchor",2609.754
"5481",2493618,"tilburg","lowanchor",1864.11
"5482",2493623,"tilburg","lowanchor",3976.768
"5483",2493627,"tilburg","lowanchor",3168.987
"5485",2493632,"tilburg","lowanchor",2485.48
"5486",2493634,"tilburg","highanchor",3106.85
"5487",2493639,"tilburg","highanchor",3728.22
"5488",2493643,"tilburg","lowanchor",1739.836
"5489",2495318,"tilburg","lowanchor",1864.11
"5492",2495322,"tilburg","lowanchor",3479.672
"5494",2495425,"tilburg","highanchor",5390.38475
"5496",2495429,"tilburg","highanchor",4349.59
"5497",2495430,"tilburg","highanchor",2485.48
"5499",2495433,"tilburg","lowanchor",1522.3565
"5501",2495438,"tilburg","lowanchor",3728.22
"5502",2495440,"tilburg","highanchor",4660.275
"5503",2495458,"tilburg","lowanchor",2609.754
"5507",2497308,"tilburg","lowanchor",1988.384
