"","session_id","referrer","anch1group","anchoring1"
"384",2456784,"csun","highanchor",5000
"385",2456788,"csun","highanchor",5800
"387",2456844,"csun","highanchor",5562
"388",2456892,"csun","highanchor",4000
"389",2456916,"csun","highanchor",3000
"390",2456928,"csun","lowanchor",3400
"391",2457020,"csun","highanchor",4500
"392",2457046,"csun","highanchor",3000
"393",2457073,"csun","lowanchor",4500
"394",2457074,"csun","highanchor",3000
"395",2457085,"csun","lowanchor",3000
"396",2457121,"csun","lowanchor",3000
"397",2457137,"csun","lowanchor",2906
"398",2457163,"csun","lowanchor",3000
"399",2457186,"csun","highanchor",3000
"400",2457202,"csun","highanchor",3000
"402",2457268,"csun","highanchor",5000
"404",2457303,"csun","lowanchor",1536
"405",2457311,"csun","highanchor",3000
"406",2457318,"csun","highanchor",4000
"409",2457385,"csun","lowanchor",3000
"410",2457394,"csun","highanchor",5500
"411",2457404,"csun","highanchor",5320
"412",2457450,"csun","highanchor",4000
"413",2457471,"csun","highanchor",5786
"414",2457473,"csun","lowanchor",4000
"415",2457480,"csun","highanchor",3200
"417",2457572,"csun","lowanchor",3000
"418",2457577,"csun","lowanchor",3000
"419",2457600,"csun","highanchor",3000
"420",2457611,"csun","lowanchor",2500
"421",2457620,"csun","highanchor",5500
"422",2457623,"csun","lowanchor",3000
"423",2457637,"csun","lowanchor",2000
"424",2457650,"csun","highanchor",5000
"425",2457661,"csun","lowanchor",3000
"426",2457672,"csun","highanchor",3000
"427",2457686,"csun","lowanchor",3000
"428",2457695,"csun","lowanchor",2000
"429",2457718,"csun","highanchor",2910
"430",2457739,"csun","lowanchor",2000
"431",2457741,"csun","highanchor",3000
"432",2457742,"csun","highanchor",5500
"433",2457780,"csun","highanchor",3000
"434",2457800,"csun","lowanchor",1501
"435",2457808,"csun","highanchor",5000
"437",2457822,"csun","highanchor",5780
"438",2457828,"csun","lowanchor",5000
"439",2457868,"csun","highanchor",3200
"440",2457886,"csun","lowanchor",2500
"441",2457897,"csun","highanchor",4000
"442",2457898,"csun","highanchor",5000
"443",2457899,"csun","lowanchor",1600
"444",2457900,"csun","highanchor",5000
"445",2457901,"csun","highanchor",4300
"446",2457904,"csun","lowanchor",2906
"447",2457917,"csun","lowanchor",2000
"448",2457928,"csun","lowanchor",2000
"449",2457932,"csun","highanchor",5999
"450",2457937,"csun","highanchor",5900
"451",2457943,"csun","lowanchor",2200
"452",2457949,"csun","lowanchor",2600
"453",2457954,"csun","highanchor",3500
"455",2457975,"csun","highanchor",2096
"457",2457992,"csun","highanchor",4000
"458",2457994,"csun","lowanchor",3000
"459",2458037,"csun","highanchor",3500
"460",2458042,"csun","lowanchor",3000
"461",2458045,"csun","highanchor",3000
"462",2458056,"csun","lowanchor",2900
"463",2458063,"csun","highanchor",3000
"464",2458069,"csun","lowanchor",3000
"465",2458097,"csun","highanchor",3000
"466",2458116,"csun","highanchor",3000
"467",2458145,"csun","highanchor",3000
"468",2458488,"csun","lowanchor",2500
"469",2459401,"csun","highanchor",5000
"470",2459660,"csun","highanchor",5000
"471",2459700,"csun","lowanchor",3000
"472",2459706,"csun","lowanchor",3000
"473",2459739,"csun","lowanchor",3000
"474",2459840,"csun","lowanchor",4000
"475",2459976,"csun","lowanchor",3000
"476",2459977,"csun","highanchor",4500
"477",2460053,"csun","highanchor",4890
"478",2461684,"csun","highanchor",4000
"479",2462263,"csun","highanchor",4500
