"","session_id","referrer","anch1group","anchoring1"
"4762",2435236,"swpson","highanchor",3106.85
"4763",2435237,"swpson","lowanchor",2485.48
"4764",2435239,"swpson","lowanchor",4660.275
"4765",2435240,"swpson","highanchor",5530.193
"4767",2435245,"swpson","highanchor",3106.85
"4769",2435249,"swpson","lowanchor",1512.41458
"4770",2435256,"swpson","lowanchor",1988.384
"4771",2435258,"swpson","highanchor",4349.59
"4773",2435274,"swpson","lowanchor",3541.809
"4777",2435303,"swpson","lowanchor",2361.206
"4781",2435371,"swpson","highanchor",2174.795
"4783",2435424,"swpson","lowanchor",4970.96
"4784",2435430,"swpson","highanchor",2485.48
"4787",2435464,"swpson","highanchor",3106.85
"4788",2435472,"swpson","lowanchor",2932.8664
"4789",2435540,"swpson","highanchor",1864.11
"4791",2435619,"swpson","lowanchor",3728.22
"4793",2435695,"swpson","lowanchor",1553.425
"4794",2435842,"swpson","highanchor",3754.93891
"4796",2435854,"swpson","lowanchor",3355.398
"4797",2435895,"swpson","highanchor",5592.33
"4798",2435947,"swpson","lowanchor",2485.48
"4799",2435961,"swpson","lowanchor",3728.22
"4800",2435964,"swpson","highanchor",5592.33
"4802",2436403,"swpson","lowanchor",2174.795
"4803",2436426,"swpson","lowanchor",3106.85
"4807",2438839,"swpson","lowanchor",3728.22
"4808",2438844,"swpson","highanchor",2796.165
"4809",2438847,"swpson","highanchor",2485.48
"4812",2439491,"swpson","lowanchor",5903.015
"4814",2439734,"swpson","highanchor",3106.85
"4816",2439756,"swpson","lowanchor",1553.425
"4817",2439810,"swpson","lowanchor",3106.85
"4818",2439812,"swpson","lowanchor",4188.65517
"4820",2440042,"swpson","lowanchor",1553.425
"4821",2440045,"swpson","highanchor",2485.48
"4822",2440083,"swpson","lowanchor",1553.425
"4823",2440139,"swpson","lowanchor",1864.11
"4825",2440371,"swpson","lowanchor",2796.165
"4826",2441860,"swpson","lowanchor",2485.48
"4827",2441985,"swpson","lowanchor",1926.247
"4828",2442005,"swpson","highanchor",2485.48
"4829",2442014,"swpson","highanchor",4038.905
"4831",2442034,"swpson","highanchor",5281.645
"4832",2442091,"swpson","highanchor",5281.645
"4833",2442112,"swpson","highanchor",4970.96
"4835",2442182,"swpson","lowanchor",1553.425
"4836",2442192,"swpson","highanchor",3106.85
"4840",2442973,"swpson","highanchor",4970.96
"4841",2443181,"swpson","lowanchor",1864.11
"4843",2443603,"swpson","lowanchor",1739.836
"4844",2443849,"swpson","lowanchor",1530.43431
"4845",2445068,"swpson","highanchor",3728.22
"4846",2445072,"swpson","lowanchor",2034.36538
"4848",2445081,"swpson","highanchor",2485.48
"4850",2445092,"swpson","lowanchor",3106.85
"4852",2445094,"swpson","lowanchor",3106.85
"4853",2445097,"swpson","lowanchor",1864.11
"4855",2445104,"swpson","lowanchor",4349.59
"4856",2445107,"swpson","highanchor",1864.11
"4857",2445108,"swpson","highanchor",4970.96
"4858",2445110,"swpson","lowanchor",1524.22061
"4859",2445117,"swpson","highanchor",4970.96
"4861",2445125,"swpson","highanchor",4349.59
"4863",2445133,"swpson","highanchor",5903.015
"4864",2445166,"swpson","highanchor",2796.165
"4865",2445167,"swpson","lowanchor",3106.85
"4867",2445175,"swpson","highanchor",1864.11
"4868",2445227,"swpson","highanchor",2361.206
"4870",2445310,"swpson","lowanchor",3106.85
"4871",2445430,"swpson","lowanchor",2485.48
"4873",2445493,"swpson","lowanchor",1516.1428
"4874",2445556,"swpson","lowanchor",2796.165
"4876",2445887,"swpson","lowanchor",3106.85
"4877",2445978,"swpson","lowanchor",2112.658
"4878",2446055,"swpson","highanchor",3106.85
"4880",2446193,"swpson","lowanchor",3728.22
"4881",2446227,"swpson","highanchor",4970.96
"4883",2446242,"swpson","lowanchor",1553.425
"4884",2446282,"swpson","lowanchor",3106.85
"4885",2446391,"swpson","highanchor",4970.96
"4886",2447225,"swpson","highanchor",1864.11
"4887",2447283,"swpson","lowanchor",1526.08472
"4888",2447284,"swpson","lowanchor",1558.39596
"4890",2447294,"swpson","highanchor",5592.33
"4891",2447315,"swpson","highanchor",2796.165
"4892",2447348,"swpson","lowanchor",1665.2716
"4893",2447552,"swpson","lowanchor",3106.85
"4894",2447645,"swpson","highanchor",5445.06531
"4895",2447933,"swpson","lowanchor",1739.836
"4898",2448845,"swpson","lowanchor",1864.11
"4901",2448877,"swpson","lowanchor",2485.48
"4902",2448999,"swpson","lowanchor",2485.48
"4906",2451643,"swpson","highanchor",1864.11
"4908",2453921,"swpson","highanchor",5592.33
"4911",2454508,"swpson","highanchor",5893.69445
"4912",2454638,"swpson","highanchor",4970.96
"4913",2454696,"swpson","highanchor",3728.22
"4914",2454700,"swpson","highanchor",2569.36495
"4915",2454769,"swpson","highanchor",5405.919
"4916",2454790,"swpson","lowanchor",3728.22
"4919",2455855,"swpson","lowanchor",3728.22
"4920",2455874,"swpson","lowanchor",1538.51212
"4921",2455921,"swpson","highanchor",4349.59
"4922",2455929,"swpson","lowanchor",1864.11
"4923",2456015,"swpson","highanchor",2485.48
"4925",2457057,"swpson","lowanchor",2485.48
"4926",2461353,"swpson","highanchor",1864.11
"4927",2473645,"swpson","highanchor",1865.97411
"4928",2475122,"swpson","lowanchor",2485.48
