"","session_id","referrer","anch2group","anchoring2"
"1071",2478783,"lse","lowanchor",3e+06
"1073",2478786,"lse","lowanchor",450000
"1074",2478787,"lse","lowanchor",2200000
"1075",2478789,"lse","lowanchor",4e+06
"1077",2478791,"lse","highanchor",3e+06
"1079",2478793,"lse","lowanchor",250000
"1080",2478795,"lse","lowanchor",250000
"1081",2478796,"lse","lowanchor",1e+06
"1082",2478858,"lse","lowanchor",1e+06
"1083",2478859,"lse","highanchor",4900000
"1084",2478860,"lse","highanchor",4e+06
"1086",2478867,"lse","lowanchor",350000
"1087",2478868,"lse","highanchor",2500000
"1089",2478872,"lse","highanchor",4e+06
"1090",2478873,"lse","highanchor",2e+06
"1091",2478875,"lse","highanchor",4e+06
"1092",2478876,"lse","lowanchor",1200000
"1094",2478891,"lse","lowanchor",1e+06
"1095",2478893,"lse","lowanchor",2500000
"1096",2478894,"lse","highanchor",4500000
"1097",2478895,"lse","lowanchor",4e+05
"1101",2478900,"lse","lowanchor",4e+06
"1102",2478901,"lse","lowanchor",1e+06
"1103",2478904,"lse","highanchor",4999999
"1104",2478905,"lse","lowanchor",6e+05
"1105",2478912,"lse","highanchor",3e+06
"1106",2478913,"lse","highanchor",2500000
"1107",2478914,"lse","highanchor",4900000
"1108",2478915,"lse","lowanchor",4e+05
"1109",2478916,"lse","highanchor",4e+06
"1110",2478917,"lse","highanchor",8e+05
"1111",2478918,"lse","lowanchor",5e+05
"1112",2478941,"lse","highanchor",4e+06
"1113",2478942,"lse","highanchor",2e+06
"1114",2478948,"lse","highanchor",3e+06
"1115",2478950,"lse","highanchor",4e+06
"1116",2478951,"lse","highanchor",4e+06
"1117",2478953,"lse","lowanchor",3e+05
"1118",2478954,"lse","lowanchor",8e+05
"1121",2478958,"lse","highanchor",5e+05
"1122",2478959,"lse","highanchor",3e+05
"1123",2478960,"lse","highanchor",4e+06
"1124",2478978,"lse","highanchor",4500000
"1125",2478979,"lse","highanchor",4e+06
"1127",2478983,"lse","lowanchor",2e+06
"1128",2478984,"lse","highanchor",4e+06
"1129",2478985,"lse","highanchor",3700000
"1130",2478986,"lse","highanchor",3e+06
