"","session_id","referrer","anch2group","anchoring2"
"1494",2399787,"mcdaniel","highanchor",3500000
"1495",2399902,"mcdaniel","lowanchor",350000
"1496",2400037,"mcdaniel","lowanchor",6e+05
"1497",2400210,"mcdaniel","highanchor",4500000
"1498",2400235,"mcdaniel","highanchor",3e+06
"1499",2401208,"mcdaniel","highanchor",3500000
"1500",2401951,"mcdaniel","highanchor",1245000
"1501",2402044,"mcdaniel","highanchor",3500000
"1502",2402928,"mcdaniel","highanchor",4999999
"1503",2403279,"mcdaniel","highanchor",4800000
"1506",2403994,"mcdaniel","lowanchor",2e+06
"1507",2404062,"mcdaniel","highanchor",2500000
"1508",2404410,"mcdaniel","lowanchor",750000
"1509",2404963,"mcdaniel","lowanchor",3e+05
"1510",2406245,"mcdaniel","lowanchor",4e+05
"1511",2406254,"mcdaniel","lowanchor",3e+06
"1512",2406284,"mcdaniel","highanchor",2500000
"1514",2406430,"mcdaniel","lowanchor",250000
"1515",2406659,"mcdaniel","lowanchor",1e+06
"1517",2407974,"mcdaniel","lowanchor",3e+05
"1518",2408350,"mcdaniel","highanchor",3400000
"1520",2417482,"mcdaniel","highanchor",3e+05
"1521",2417521,"mcdaniel","lowanchor",250000
"1522",2419187,"mcdaniel","highanchor",3e+06
"1523",2419449,"mcdaniel","lowanchor",260000
"1524",2419466,"mcdaniel","lowanchor",5e+05
"1525",2422137,"mcdaniel","lowanchor",4e+05
"1526",2426038,"mcdaniel","highanchor",3568492
"1527",2427815,"mcdaniel","highanchor",2500000
"1528",2432796,"mcdaniel","highanchor",3050000
"1530",2437191,"mcdaniel","lowanchor",1e+06
"1531",2443785,"mcdaniel","highanchor",2e+06
"1533",2451040,"mcdaniel","highanchor",2e+06
"1534",2451047,"mcdaniel","lowanchor",450000
"1535",2451061,"mcdaniel","lowanchor",3e+05
"1536",2451063,"mcdaniel","lowanchor",410000
"1537",2451168,"mcdaniel","lowanchor",3e+06
"1538",2451581,"mcdaniel","lowanchor",3e+06
"1539",2452524,"mcdaniel","lowanchor",3e+05
"1540",2452700,"mcdaniel","lowanchor",8e+05
"1542",2453249,"mcdaniel","lowanchor",260000
"1543",2453291,"mcdaniel","highanchor",450000
"1544",2455264,"mcdaniel","highanchor",1e+06
"1545",2457301,"mcdaniel","lowanchor",450000
"1546",2457522,"mcdaniel","lowanchor",1900000
"1547",2457617,"mcdaniel","highanchor",3490479
"1548",2463756,"mcdaniel","highanchor",2500000
"1549",2465487,"mcdaniel","highanchor",2e+06
"1550",2465595,"mcdaniel","lowanchor",250000
"1551",2465691,"mcdaniel","lowanchor",534000
"1552",2465895,"mcdaniel","highanchor",3e+06
"1554",2465952,"mcdaniel","lowanchor",1e+06
"1555",2466277,"mcdaniel","lowanchor",1e+06
"1556",2466426,"mcdaniel","highanchor",250000
"1557",2466569,"mcdaniel","highanchor",5e+05
"1558",2468447,"mcdaniel","highanchor",4e+06
"1559",2475770,"mcdaniel","lowanchor",1500000
"1560",2475870,"mcdaniel","highanchor",3780296
"1561",2475950,"mcdaniel","lowanchor",5e+05
"1562",2475968,"mcdaniel","lowanchor",250000
"1563",2475985,"mcdaniel","highanchor",4999999
"1564",2476037,"mcdaniel","lowanchor",250000
"1565",2476046,"mcdaniel","lowanchor",8e+05
"1566",2476444,"mcdaniel","lowanchor",250000
"1567",2476544,"mcdaniel","highanchor",4956000
"1569",2476586,"mcdaniel","highanchor",3e+05
"1570",2476588,"mcdaniel","lowanchor",250000
"1571",2476678,"mcdaniel","lowanchor",4e+05
"1572",2477597,"mcdaniel","lowanchor",216034
"1574",2478285,"mcdaniel","highanchor",4e+06
"1575",2478338,"mcdaniel","lowanchor",6e+05
"1576",2478384,"mcdaniel","highanchor",3200000
"1577",2478426,"mcdaniel","highanchor",2e+06
"1580",2478592,"mcdaniel","lowanchor",5e+05
"1581",2478634,"mcdaniel","lowanchor",350000
"1582",2479532,"mcdaniel","lowanchor",210000
"1583",2479770,"mcdaniel","highanchor",3e+06
"1584",2479919,"mcdaniel","highanchor",8e+05
"1585",2480394,"mcdaniel","lowanchor",350000
"1586",2480401,"mcdaniel","highanchor",2e+06
"1587",2481545,"mcdaniel","lowanchor",1e+06
"1588",2482952,"mcdaniel","highanchor",4850000
"1589",2483183,"mcdaniel","highanchor",2e+06
"1590",2483263,"mcdaniel","lowanchor",1e+06
