"","session_id","referrer","anch2group","anchoring2"
"384",2456784,"csun","highanchor",5e+05
"385",2456788,"csun","lowanchor",215000
"387",2456844,"csun","lowanchor",250000
"388",2456892,"csun","highanchor",3e+06
"389",2456916,"csun","lowanchor",250000
"390",2456928,"csun","highanchor",3500000
"391",2457020,"csun","lowanchor",2e+06
"392",2457046,"csun","lowanchor",280000
"393",2457073,"csun","lowanchor",250000
"394",2457074,"csun","lowanchor",5e+05
"396",2457121,"csun","highanchor",2500000
"398",2457163,"csun","highanchor",4e+06
"399",2457186,"csun","lowanchor",2e+06
"400",2457202,"csun","lowanchor",5e+05
"402",2457268,"csun","highanchor",4900000
"403",2457292,"csun","lowanchor",4e+05
"404",2457303,"csun","lowanchor",6e+05
"405",2457311,"csun","highanchor",3500000
"406",2457318,"csun","lowanchor",1e+06
"409",2457385,"csun","highanchor",3e+06
"410",2457394,"csun","lowanchor",350000
"411",2457404,"csun","highanchor",3e+06
"412",2457450,"csun","highanchor",3400000
"413",2457471,"csun","lowanchor",245678
"414",2457473,"csun","lowanchor",450000
"415",2457480,"csun","lowanchor",650000
"417",2457572,"csun","lowanchor",1e+06
"418",2457577,"csun","highanchor",4500000
"419",2457600,"csun","lowanchor",250000
"420",2457611,"csun","highanchor",2e+06
"421",2457620,"csun","highanchor",4e+06
"422",2457623,"csun","highanchor",3e+06
"423",2457637,"csun","highanchor",4555555
"424",2457650,"csun","lowanchor",200500
"425",2457661,"csun","lowanchor",350000
"426",2457672,"csun","highanchor",2500000
"427",2457686,"csun","highanchor",2300000
"428",2457695,"csun","highanchor",4975000
"429",2457718,"csun","highanchor",2e+06
"430",2457739,"csun","lowanchor",210000
"431",2457741,"csun","lowanchor",275000
"432",2457742,"csun","highanchor",4500000
"433",2457780,"csun","lowanchor",1e+06
"434",2457800,"csun","lowanchor",200001
"435",2457808,"csun","lowanchor",250000
"436",2457821,"csun","highanchor",3800000
"438",2457828,"csun","highanchor",1e+06
"439",2457868,"csun","highanchor",280000
"440",2457886,"csun","lowanchor",4e+05
"441",2457897,"csun","highanchor",3500000
"442",2457898,"csun","lowanchor",350000
"443",2457899,"csun","lowanchor",3e+05
"444",2457900,"csun","lowanchor",250000
"445",2457901,"csun","highanchor",3700000
"446",2457904,"csun","highanchor",4e+06
"447",2457917,"csun","highanchor",4500000
"448",2457928,"csun","highanchor",4e+06
"449",2457932,"csun","lowanchor",201100
"450",2457937,"csun","lowanchor",250000
"451",2457943,"csun","highanchor",5e+05
"452",2457949,"csun","lowanchor",5e+05
"453",2457954,"csun","highanchor",3500000
"454",2457958,"csun","highanchor",3e+06
"455",2457975,"csun","highanchor",2800000
"457",2457992,"csun","lowanchor",3e+05
"458",2457994,"csun","highanchor",2700000
"459",2458037,"csun","highanchor",1e+06
"460",2458042,"csun","lowanchor",2e+06
"461",2458045,"csun","highanchor",3459000
"462",2458056,"csun","highanchor",3800000
"463",2458063,"csun","lowanchor",5e+05
"464",2458069,"csun","lowanchor",320000
"465",2458097,"csun","lowanchor",2e+06
"466",2458116,"csun","highanchor",1000500
"467",2458145,"csun","highanchor",1500000
"468",2458488,"csun","lowanchor",450000
"469",2459401,"csun","highanchor",3960000
"470",2459660,"csun","highanchor",1e+06
"471",2459700,"csun","highanchor",2500000
"472",2459706,"csun","lowanchor",3e+06
"473",2459739,"csun","lowanchor",275000
"474",2459840,"csun","highanchor",2e+06
"475",2459976,"csun","highanchor",4e+06
"476",2459977,"csun","lowanchor",250000
"477",2460053,"csun","lowanchor",200001
"479",2462263,"csun","lowanchor",5e+05
