"","session_id","referrer","anch2group","anchoring2"
"672",2419021,"jmu","lowanchor",2500000
"673",2419031,"jmu","highanchor",1e+06
"674",2419039,"jmu","highanchor",3000013
"675",2419118,"jmu","highanchor",4300000
"676",2419123,"jmu","lowanchor",1e+06
"677",2419126,"jmu","highanchor",3518267
"678",2419136,"jmu","lowanchor",5e+05
"679",2419214,"jmu","lowanchor",2e+06
"680",2419302,"jmu","lowanchor",260000
"681",2419308,"jmu","lowanchor",1e+06
"682",2419313,"jmu","highanchor",4999999
"683",2419389,"jmu","highanchor",1e+06
"684",2419391,"jmu","lowanchor",250000
"685",2419455,"jmu","lowanchor",1500000
"686",2419461,"jmu","lowanchor",2e+06
"688",2419592,"jmu","lowanchor",3e+05
"689",2419674,"jmu","lowanchor",250000
"690",2419767,"jmu","lowanchor",1e+06
"691",2419793,"jmu","lowanchor",4e+05
"692",2419818,"jmu","highanchor",3e+06
"693",2419826,"jmu","lowanchor",5e+05
"694",2419847,"jmu","highanchor",3e+06
"696",2419919,"jmu","lowanchor",5e+05
"697",2420020,"jmu","highanchor",3200000
"698",2420156,"jmu","lowanchor",5e+05
"699",2420182,"jmu","highanchor",3e+05
"700",2420235,"jmu","highanchor",1750000
"701",2420247,"jmu","highanchor",2e+06
"702",2420251,"jmu","lowanchor",1e+06
"703",2420252,"jmu","highanchor",2e+06
"704",2420253,"jmu","lowanchor",3e+05
"705",2420255,"jmu","lowanchor",3500000
"707",2420262,"jmu","highanchor",2800000
"708",2420266,"jmu","highanchor",3e+06
"709",2420272,"jmu","lowanchor",200800
"710",2420273,"jmu","lowanchor",350010
"711",2420275,"jmu","highanchor",3e+06
"712",2420276,"jmu","lowanchor",288000
"713",2420281,"jmu","lowanchor",623000
"714",2420284,"jmu","lowanchor",430000
"715",2420294,"jmu","highanchor",2e+06
"717",2420311,"jmu","lowanchor",4e+05
"718",2420319,"jmu","lowanchor",350000
"719",2420326,"jmu","lowanchor",350981
"720",2420327,"jmu","highanchor",3500000
"721",2420330,"jmu","highanchor",3e+06
"722",2420338,"jmu","lowanchor",1e+06
"723",2420341,"jmu","highanchor",3800000
"724",2420345,"jmu","lowanchor",5e+05
"726",2420359,"jmu","highanchor",3e+06
"727",2420361,"jmu","lowanchor",350000
"729",2420382,"jmu","lowanchor",310000
"730",2420386,"jmu","highanchor",2500000
"731",2420405,"jmu","highanchor",2e+06
"732",2420433,"jmu","lowanchor",5e+05
"733",2420456,"jmu","lowanchor",3e+06
"734",2420459,"jmu","lowanchor",3e+05
"735",2420463,"jmu","highanchor",2e+06
"736",2420467,"jmu","highanchor",3987567
"737",2420471,"jmu","highanchor",4e+06
"738",2420481,"jmu","highanchor",3500000
"739",2420482,"jmu","highanchor",8e+05
"740",2420485,"jmu","highanchor",3e+06
"741",2420514,"jmu","highanchor",1020000
"742",2420517,"jmu","lowanchor",350000
"743",2420518,"jmu","highanchor",3e+06
"744",2420529,"jmu","highanchor",2500000
"745",2420534,"jmu","lowanchor",3e+05
"746",2420543,"jmu","highanchor",2500000
"747",2420572,"jmu","lowanchor",5e+05
"750",2420622,"jmu","lowanchor",5e+05
"751",2420641,"jmu","lowanchor",215000
"752",2420646,"jmu","highanchor",5e+05
"753",2420663,"jmu","highanchor",6e+05
"755",2420694,"jmu","lowanchor",315000
"756",2420717,"jmu","lowanchor",2e+06
"757",2420719,"jmu","lowanchor",750000
"758",2420736,"jmu","highanchor",3e+06
"760",2420770,"jmu","highanchor",4e+06
"761",2420808,"jmu","lowanchor",225000
"762",2420827,"jmu","lowanchor",8e+05
"763",2420878,"jmu","highanchor",4987000
"764",2420912,"jmu","lowanchor",3e+05
"765",2420960,"jmu","lowanchor",4e+05
"766",2421044,"jmu","lowanchor",1e+06
"767",2421241,"jmu","highanchor",4200000
"768",2421264,"jmu","highanchor",2e+06
"769",2421291,"jmu","lowanchor",1500000
"771",2421347,"jmu","highanchor",4e+06
"772",2421365,"jmu","lowanchor",7e+05
"773",2421370,"jmu","lowanchor",350000
"777",2421474,"jmu","lowanchor",1e+06
"778",2421515,"jmu","highanchor",3900000
"779",2421517,"jmu","lowanchor",4e+05
"781",2421559,"jmu","highanchor",4e+06
"782",2421598,"jmu","highanchor",4e+06
"783",2421613,"jmu","lowanchor",8e+05
"784",2421615,"jmu","highanchor",4500000
"785",2421620,"jmu","highanchor",2e+06
"786",2421628,"jmu","highanchor",4236542
"787",2421629,"jmu","lowanchor",250000
"788",2421635,"jmu","highanchor",2e+06
"789",2421666,"jmu","highanchor",1e+06
"790",2421670,"jmu","lowanchor",8e+05
"791",2421683,"jmu","highanchor",4e+06
"792",2421900,"jmu","lowanchor",2e+06
"793",2422010,"jmu","highanchor",2e+06
"794",2422167,"jmu","lowanchor",350000
"795",2422174,"jmu","highanchor",2e+06
"796",2422293,"jmu","lowanchor",600500
"797",2422304,"jmu","highanchor",3e+06
"798",2422352,"jmu","highanchor",1e+06
"799",2422524,"jmu","highanchor",1e+06
"800",2422707,"jmu","lowanchor",3e+05
"801",2422949,"jmu","highanchor",3550000
"802",2423009,"jmu","highanchor",1e+06
"803",2423284,"jmu","lowanchor",2e+06
"804",2423301,"jmu","lowanchor",5e+05
"805",2423308,"jmu","highanchor",4e+06
"806",2423798,"jmu","lowanchor",5e+05
"807",2424304,"jmu","highanchor",4e+06
"808",2424373,"jmu","highanchor",4500000
"809",2424425,"jmu","highanchor",5e+05
"810",2424846,"jmu","lowanchor",3e+05
"812",2426194,"jmu","highanchor",1e+06
"813",2426851,"jmu","highanchor",4900000
"814",2426970,"jmu","lowanchor",7e+05
"815",2427675,"jmu","highanchor",3500000
"816",2429267,"jmu","highanchor",3e+06
"817",2429660,"jmu","lowanchor",5e+05
"818",2429997,"jmu","lowanchor",1e+06
"819",2430879,"jmu","lowanchor",4e+05
"820",2431381,"jmu","lowanchor",250000
"821",2434157,"jmu","lowanchor",1e+06
"823",2440669,"jmu","lowanchor",250000
"824",2445901,"jmu","lowanchor",1e+06
"826",2450238,"jmu","highanchor",4500000
"828",2453815,"jmu","lowanchor",350000
"829",2463538,"jmu","highanchor",5e+05
"830",2463674,"jmu","highanchor",4500000
"831",2465194,"jmu","lowanchor",360000
"832",2467975,"jmu","highanchor",2e+06
"833",2468229,"jmu","highanchor",3e+06
"834",2468476,"jmu","lowanchor",350000
"835",2468490,"jmu","highanchor",3e+06
"836",2474858,"jmu","lowanchor",3e+05
"837",2476641,"jmu","highanchor",1e+06
"838",2483981,"jmu","lowanchor",5e+05
"839",2484442,"jmu","highanchor",3e+06
"840",2485645,"jmu","lowanchor",250000
"841",2487295,"jmu","highanchor",3500000
"843",2488592,"jmu","highanchor",2e+06
"844",2488604,"jmu","lowanchor",220000
"845",2488668,"jmu","lowanchor",3e+05
