"","session_id","referrer","anch2group","anchoring2"
"2784",2462516,"oxy","highanchor",4500000
"2785",2466207,"oxy","highanchor",4e+06
"2786",2467505,"oxy","lowanchor",8e+05
"2787",2468479,"oxy","lowanchor",6e+05
"2788",2468498,"oxy","lowanchor",3500000
"2789",2468526,"oxy","lowanchor",1e+06
"2791",2470610,"oxy","highanchor",4e+06
"2792",2472850,"oxy","highanchor",3e+06
"2793",2472858,"oxy","highanchor",5e+05
"2794",2473837,"oxy","highanchor",1e+06
"2795",2474014,"oxy","highanchor",2500000
"2796",2474020,"oxy","highanchor",2500000
"2797",2474056,"oxy","highanchor",4780000
"2798",2474176,"oxy","lowanchor",1e+06
"2801",2474252,"oxy","highanchor",3e+06
"2802",2474254,"oxy","highanchor",4e+06
"2803",2477323,"oxy","lowanchor",8e+05
"2804",2477855,"oxy","lowanchor",3e+05
"2805",2477933,"oxy","lowanchor",5e+05
"2806",2477938,"oxy","lowanchor",8e+05
"2807",2478303,"oxy","highanchor",4700000
"2808",2478307,"oxy","lowanchor",1e+06
"2809",2478344,"oxy","lowanchor",5e+05
"2810",2478349,"oxy","highanchor",3e+06
"2811",2479320,"oxy","lowanchor",4e+05
"2812",2479506,"oxy","highanchor",2e+06
"2813",2479520,"oxy","highanchor",3e+06
"2814",2479543,"oxy","highanchor",3e+06
"2815",2479549,"oxy","lowanchor",450000
"2818",2480067,"oxy","lowanchor",2e+06
"2819",2480069,"oxy","lowanchor",350000
"2820",2480096,"oxy","lowanchor",5e+05
"2821",2480103,"oxy","lowanchor",8e+05
"2822",2480200,"oxy","lowanchor",450000
"2823",2480203,"oxy","lowanchor",3e+05
"2824",2480294,"oxy","lowanchor",1e+06
"2825",2480312,"oxy","lowanchor",250000
"2826",2480351,"oxy","highanchor",3e+06
"2827",2480368,"oxy","highanchor",3e+06
"2828",2480423,"oxy","lowanchor",3e+05
"2829",2480898,"oxy","lowanchor",4e+05
"2830",2482032,"oxy","highanchor",2500000
"2831",2482046,"oxy","lowanchor",4e+05
"2832",2482113,"oxy","highanchor",9e+05
"2833",2482637,"oxy","highanchor",4500000
"2834",2482713,"oxy","highanchor",3500000
"2835",2482718,"oxy","lowanchor",3e+05
"2836",2482744,"oxy","lowanchor",2e+06
"2837",2482764,"oxy","lowanchor",3e+05
"2838",2482785,"oxy","lowanchor",1e+06
"2839",2482886,"oxy","lowanchor",3e+05
"2840",2482887,"oxy","lowanchor",1e+06
"2841",2482889,"oxy","highanchor",2e+06
"2842",2483043,"oxy","highanchor",1e+06
"2843",2483379,"oxy","highanchor",4500000
"2844",2483385,"oxy","highanchor",2e+06
"2845",2484212,"oxy","lowanchor",8e+05
"2846",2484256,"oxy","lowanchor",250000
"2847",2484273,"oxy","lowanchor",2e+06
"2848",2484301,"oxy","highanchor",4e+06
"2849",2484312,"oxy","highanchor",3750000
"2850",2484316,"oxy","lowanchor",2e+06
"2851",2484345,"oxy","highanchor",3500000
"2852",2484429,"oxy","highanchor",7e+05
"2853",2484440,"oxy","highanchor",2500000
"2854",2484486,"oxy","highanchor",8e+05
"2855",2484488,"oxy","lowanchor",1e+06
"2856",2484532,"oxy","lowanchor",1100000
"2857",2484632,"oxy","highanchor",3e+06
"2858",2484634,"oxy","lowanchor",2e+06
"2859",2484656,"oxy","highanchor",5e+05
"2861",2484737,"oxy","highanchor",4500000
"2862",2484741,"oxy","lowanchor",2e+06
"2863",2484870,"oxy","highanchor",4e+06
"2865",2485179,"oxy","lowanchor",2500000
"2866",2485308,"oxy","lowanchor",3e+06
"2867",2485317,"oxy","lowanchor",1e+06
"2868",2485321,"oxy","lowanchor",250000
"2869",2485328,"oxy","highanchor",3e+05
"2870",2485335,"oxy","highanchor",2e+06
"2872",2485352,"oxy","lowanchor",1e+06
"2873",2485378,"oxy","highanchor",3e+06
"2874",2485381,"oxy","highanchor",3e+06
"2876",2485423,"oxy","highanchor",1e+06
"2877",2485616,"oxy","lowanchor",4e+06
"2878",2486362,"oxy","highanchor",3e+06
"2880",2486468,"oxy","highanchor",2e+06
"2882",2486686,"oxy","highanchor",4e+06
"2883",2486705,"oxy","highanchor",4e+06
"2884",2486762,"oxy","highanchor",480000
"2885",2487006,"oxy","highanchor",1e+06
"2888",2487042,"oxy","lowanchor",6e+05
"2889",2487072,"oxy","highanchor",2500000
"2890",2487074,"oxy","highanchor",4500000
"2891",2487113,"oxy","lowanchor",350000
"2892",2487115,"oxy","highanchor",3e+06
"2893",2487152,"oxy","highanchor",2e+06
"2894",2487187,"oxy","lowanchor",5e+05
"2896",2487191,"oxy","highanchor",3e+06
"2897",2487196,"oxy","lowanchor",8e+05
"2898",2487219,"oxy","highanchor",3e+06
"2899",2487225,"oxy","lowanchor",2e+06
"2900",2487227,"oxy","highanchor",1400000
"2901",2487255,"oxy","highanchor",4200000
"2902",2487257,"oxy","lowanchor",2e+06
"2903",2487268,"oxy","highanchor",3e+06
"2904",2487272,"oxy","highanchor",3400900
"2905",2487330,"oxy","highanchor",8e+05
"2906",2496938,"oxy","highanchor",1e+06
