"","session_id","referrer","anch2group","anchoring2"
"6258",2454344,"wpi","lowanchor",5e+05
"6259",2454353,"wpi","highanchor",4900000
"6260",2454385,"wpi","lowanchor",8e+05
"6261",2456569,"wpi","highanchor",5e+05
"6262",2456576,"wpi","lowanchor",3e+06
"6263",2458809,"wpi","lowanchor",750000
"6264",2458813,"wpi","lowanchor",2500000
"6267",2458893,"wpi","highanchor",3800000
"6268",2458967,"wpi","highanchor",1250000
"6269",2458970,"wpi","highanchor",2e+06
"6270",2458987,"wpi","lowanchor",450000
"6271",2459014,"wpi","highanchor",1e+06
"6272",2461595,"wpi","lowanchor",2e+06
"6273",2467812,"wpi","highanchor",4e+06
"6275",2472304,"wpi","lowanchor",250000
"6276",2472376,"wpi","lowanchor",2500000
"6277",2472395,"wpi","highanchor",4e+06
"6278",2474017,"wpi","lowanchor",340000
"6279",2474025,"wpi","lowanchor",250000
"6280",2474095,"wpi","lowanchor",2e+06
"6281",2474102,"wpi","highanchor",3e+06
"6282",2477627,"wpi","lowanchor",3e+05
"6283",2477634,"wpi","highanchor",3e+06
"6284",2477719,"wpi","highanchor",4500000
"6285",2477729,"wpi","highanchor",3500000
"6286",2477731,"wpi","lowanchor",8e+05
"6287",2477736,"wpi","lowanchor",2e+06
"6288",2477756,"wpi","lowanchor",1e+06
"6289",2477766,"wpi","highanchor",4507569
"6291",2477776,"wpi","highanchor",3700000
"6293",2481944,"wpi","highanchor",3e+06
"6294",2482004,"wpi","lowanchor",3e+05
"6295",2482043,"wpi","lowanchor",2e+06
"6296",2482055,"wpi","lowanchor",3e+05
"6297",2482067,"wpi","lowanchor",400341
"6298",2482078,"wpi","lowanchor",3e+06
"6299",2484324,"wpi","highanchor",2e+06
"6300",2484327,"wpi","lowanchor",4e+05
"6302",2484570,"wpi","lowanchor",1630000
"6303",2484574,"wpi","lowanchor",1200000
"6304",2484654,"wpi","lowanchor",245890
"6305",2484679,"wpi","highanchor",9e+05
"6306",2484690,"wpi","highanchor",1e+06
"6307",2484696,"wpi","lowanchor",240000
"6308",2484748,"wpi","highanchor",2e+06
"6309",2484783,"wpi","lowanchor",750000
"6310",2484805,"wpi","highanchor",4e+06
"6311",2484862,"wpi","lowanchor",323000
"6312",2484863,"wpi","highanchor",2e+06
"6314",2484887,"wpi","highanchor",4800000
"6315",2484890,"wpi","lowanchor",5e+05
"6316",2484896,"wpi","lowanchor",6e+05
"6317",2484969,"wpi","highanchor",4000500
"6319",2484973,"wpi","highanchor",4608252
"6320",2486492,"wpi","lowanchor",750000
"6321",2490381,"wpi","lowanchor",5e+05
"6322",2490384,"wpi","lowanchor",1e+06
"6323",2492391,"wpi","lowanchor",3450000
"6324",2492394,"wpi","highanchor",1200000
"6325",2493944,"wpi","highanchor",3e+06
"6326",2493955,"wpi","highanchor",2400000
"6327",2493959,"wpi","highanchor",4e+06
"6329",2493970,"wpi","lowanchor",420000
"6330",2493974,"wpi","lowanchor",3e+05
"6331",2494028,"wpi","lowanchor",6e+05
"6332",2494032,"wpi","highanchor",3e+06
"6333",2494074,"wpi","lowanchor",4e+06
"6334",2494078,"wpi","highanchor",3500000
"6335",2494402,"wpi","lowanchor",350000
"6336",2494404,"wpi","highanchor",1200000
"6337",2494405,"wpi","highanchor",4e+06
"6338",2494407,"wpi","lowanchor",5e+05
"6339",2495930,"wpi","highanchor",1500000
"6341",2496017,"wpi","highanchor",1200000
"6342",2496023,"wpi","lowanchor",750000
"6343",2496026,"wpi","lowanchor",250000
"6344",2496226,"wpi","highanchor",4500000
