"","session_id","referrer","anch3group","anchoring3"
"87",2401246,"brasilia","highanchor",39369.6
"88",2401249,"brasilia","lowanchor",9842.4
"90",2401251,"brasilia","highanchor",41010
"91",2401252,"brasilia","lowanchor",3936.96
"92",2401255,"brasilia","lowanchor",26246.4
"93",2401257,"brasilia","lowanchor",2854.296
"95",2401259,"brasilia","highanchor",3936.96
"100",2401308,"brasilia","highanchor",22965.6
"103",2401316,"brasilia","lowanchor",2624.64
"104",2401319,"brasilia","lowanchor",4593.12
"105",2401320,"brasilia","highanchor",45275.04
"108",2401328,"brasilia","highanchor",26246.4
"109",2401329,"brasilia","highanchor",39369.6
"110",2401335,"brasilia","highanchor",29199.12
"113",2401343,"brasilia","lowanchor",39369.6
"114",2401352,"brasilia","highanchor",29199.12
"115",2401368,"brasilia","lowanchor",3280.8
"116",2401371,"brasilia","highanchor",39369.6
"117",2401380,"brasilia","lowanchor",5577.36
"118",2401382,"brasilia","lowanchor",2296.56
"119",2401385,"brasilia","highanchor",39369.6
"120",2401388,"brasilia","lowanchor",3280.8
"126",2401398,"brasilia","lowanchor",2624.64
"127",2401399,"brasilia","lowanchor",3936.96
"129",2401402,"brasilia","highanchor",41010
"130",2401405,"brasilia","lowanchor",3936.96
"131",2401417,"brasilia","lowanchor",2624.64
"133",2401462,"brasilia","lowanchor",3936.96
"134",2401463,"brasilia","lowanchor",3280.8
"135",2401464,"brasilia","highanchor",29527.2
"136",2401466,"brasilia","lowanchor",6561.6
"137",2401472,"brasilia","lowanchor",16404
"138",2401476,"brasilia","highanchor",39369.6
"139",2401485,"brasilia","highanchor",45471.888
"141",2401489,"brasilia","lowanchor",3936.96
"142",2401490,"brasilia","highanchor",29199.12
"144",2401495,"brasilia","highanchor",29527.2
"149",2406260,"brasilia","highanchor",44290.8
"153",2422422,"brasilia","highanchor",26246.4
"154",2422639,"brasilia","lowanchor",13123.2
"155",2426482,"brasilia","highanchor",26246.4
"157",2428937,"brasilia","lowanchor",5905.44
"158",2429105,"brasilia","highanchor",39369.6
"159",2429257,"brasilia","lowanchor",8202
"161",2442313,"brasilia","highanchor",45357.06
"162",2442618,"brasilia","lowanchor",3280.8
"163",2442751,"brasilia","highanchor",42650.4
"164",2445814,"brasilia","lowanchor",26246.4
"165",2446096,"brasilia","lowanchor",2673.852
"166",2451802,"brasilia","highanchor",32808
"168",2452326,"brasilia","highanchor",29527.2
"169",2453867,"brasilia","lowanchor",11482.8
"170",2457082,"brasilia","lowanchor",2066.904
"171",2457236,"brasilia","highanchor",26246.4
"172",2458747,"brasilia","lowanchor",2952.72
"173",2458796,"brasilia","highanchor",29172.8736
"174",2458919,"brasilia","lowanchor",3280.8
"175",2462035,"brasilia","highanchor",32808
"178",2465905,"brasilia","lowanchor",4265.04
"179",2466041,"brasilia","lowanchor",3280.8
"180",2466133,"brasilia","highanchor",42322.32
"182",2467639,"brasilia","lowanchor",3280.8
"183",2467777,"brasilia","lowanchor",16404
"184",2467949,"brasilia","lowanchor",19684.8
"185",2468111,"brasilia","lowanchor",2624.64
"188",2469887,"brasilia","lowanchor",5905.44
"189",2470010,"brasilia","highanchor",16404
"190",2470140,"brasilia","lowanchor",13123.2
"191",2471873,"brasilia","highanchor",39041.52
"195",2477425,"brasilia","lowanchor",26246.4
"196",2477613,"brasilia","lowanchor",2296.56
"197",2477757,"brasilia","lowanchor",2624.64
"198",2477847,"brasilia","highanchor",39369.6
"199",2479434,"brasilia","lowanchor",29448.4608
"200",2479598,"brasilia","lowanchor",28871.04
"202",2479774,"brasilia","lowanchor",8021.556
