"","session_id","referrer","anch3group","anchoring3"
"480",2478532,"help","lowanchor",2952.72
"483",2478574,"help","lowanchor",4265.04
"484",2478584,"help","highanchor",41010
"485",2478593,"help","lowanchor",6561.6
"486",2478626,"help","highanchor",32808
"487",2478643,"help","lowanchor",18044.4
"488",2478644,"help","highanchor",16404
"491",2478681,"help","highanchor",28707
"492",2478687,"help","lowanchor",2624.64
"493",2478688,"help","lowanchor",3280.8
"494",2478703,"help","highanchor",44290.8
"495",2478706,"help","highanchor",42420.744
"496",2478718,"help","highanchor",25590.24
"497",2478726,"help","highanchor",41010
"500",2480748,"help","lowanchor",16404
"501",2480756,"help","highanchor",41010
"502",2480784,"help","highanchor",28871.04
"503",2480786,"help","lowanchor",2230.944
"505",2480823,"help","highanchor",44290.8
"507",2480891,"help","lowanchor",4461.888
"508",2480894,"help","highanchor",45275.04
"511",2480961,"help","lowanchor",2624.64
"512",2480965,"help","lowanchor",4855.584
"513",2481000,"help","lowanchor",2080.0272
"514",2481002,"help","lowanchor",13123.2
"517",2481028,"help","lowanchor",2952.72
"519",2481059,"help","lowanchor",3280.8
"521",2481065,"help","lowanchor",14763.6
"522",2481066,"help","lowanchor",4593.12
"525",2483090,"help","lowanchor",2296.56
"529",2483238,"help","highanchor",39369.6
"530",2483246,"help","lowanchor",2624.64
"535",2483375,"help","highanchor",36088.8
"537",2483399,"help","lowanchor",9842.4
"539",2483460,"help","highanchor",45275.04
"541",2483488,"help","lowanchor",2460.6
"542",2483491,"help","lowanchor",6561.6
"545",2483540,"help","highanchor",39369.6
"547",2483554,"help","lowanchor",16404
"548",2483555,"help","lowanchor",9842.4
"549",2483574,"help","lowanchor",39369.6
"550",2483575,"help","lowanchor",2624.64
"551",2483587,"help","highanchor",26246.4
"552",2483588,"help","highanchor",44290.8
"553",2483613,"help","lowanchor",39369.6
"554",2483614,"help","highanchor",39369.6
"555",2483640,"help","highanchor",16404
"557",2484192,"help","lowanchor",16404
"560",2485604,"help","lowanchor",3674.496
"561",2485607,"help","highanchor",42233.7384
"562",2485651,"help","lowanchor",14763.6
"565",2485699,"help","lowanchor",2132.52
"566",2485753,"help","lowanchor",2175.1704
"567",2485755,"help","highanchor",45111
"568",2485804,"help","lowanchor",28871.04
"569",2485842,"help","lowanchor",18044.4
"571",2485882,"help","highanchor",29527.2
"572",2485885,"help","highanchor",42607.7496
"573",2485905,"help","lowanchor",26246.4
"574",2485906,"help","highanchor",39874.8432
"575",2485964,"help","highanchor",43962.72
"576",2485966,"help","lowanchor",3280.8
"577",2485988,"help","highanchor",40678.6392
"578",2486008,"help","highanchor",16404
"581",2486032,"help","highanchor",45275.04
