"","session_id","referrer","anch3group","anchoring3"
"583",2442646,"ithaca","highanchor",30000
"584",2442662,"ithaca","highanchor",40000
"585",2442673,"ithaca","highanchor",39000
"586",2442680,"ithaca","lowanchor",3800
"587",2442692,"ithaca","highanchor",38000
"588",2442700,"ithaca","lowanchor",26000
"589",2442711,"ithaca","lowanchor",5000
"590",2442718,"ithaca","lowanchor",3000
"591",2442903,"ithaca","lowanchor",3000
"592",2442906,"ithaca","lowanchor",3500
"593",2442910,"ithaca","highanchor",40000
"594",2443194,"ithaca","highanchor",43000
"595",2443210,"ithaca","lowanchor",10000
"597",2443215,"ithaca","highanchor",38485
"598",2443407,"ithaca","highanchor",35000
"600",2443419,"ithaca","lowanchor",3500
"601",2451795,"ithaca","lowanchor",3000
"602",2451900,"ithaca","lowanchor",20000
"603",2451905,"ithaca","lowanchor",2200
"604",2451911,"ithaca","highanchor",33000
"605",2451919,"ithaca","lowanchor",5000
"607",2451925,"ithaca","highanchor",45000
"608",2451932,"ithaca","lowanchor",3250
"609",2453957,"ithaca","highanchor",40000
"610",2453961,"ithaca","lowanchor",2435
"611",2454068,"ithaca","lowanchor",8000
"612",2454073,"ithaca","lowanchor",3500
"613",2454074,"ithaca","lowanchor",2500
"614",2454076,"ithaca","highanchor",45000
"615",2454080,"ithaca","lowanchor",3300
"616",2454084,"ithaca","highanchor",43786
"617",2454086,"ithaca","lowanchor",2500
"618",2454088,"ithaca","lowanchor",7000
"620",2454090,"ithaca","highanchor",42000
"621",2454460,"ithaca","highanchor",30000
"622",2454461,"ithaca","lowanchor",3000
"623",2454494,"ithaca","lowanchor",5000
"624",2454600,"ithaca","lowanchor",5500
"625",2456447,"ithaca","lowanchor",6000
"626",2456450,"ithaca","highanchor",40000
"627",2456456,"ithaca","highanchor",30000
"628",2456459,"ithaca","highanchor",40000
"629",2456460,"ithaca","highanchor",39000
"630",2456463,"ithaca","lowanchor",6000
"631",2456625,"ithaca","lowanchor",40000
"633",2456933,"ithaca","lowanchor",3000
"634",2456936,"ithaca","lowanchor",3000
"635",2465685,"ithaca","highanchor",25000
"636",2465686,"ithaca","highanchor",45000
"637",2465689,"ithaca","lowanchor",3500
"638",2465799,"ithaca","highanchor",35000
"639",2465800,"ithaca","highanchor",35500
"640",2465802,"ithaca","lowanchor",5000
"641",2465803,"ithaca","lowanchor",2224
"642",2465808,"ithaca","highanchor",42000
"643",2467455,"ithaca","highanchor",40000
"644",2467466,"ithaca","highanchor",40000
"645",2467471,"ithaca","highanchor",35000
"646",2467477,"ithaca","lowanchor",9000
"647",2467622,"ithaca","highanchor",43000
"648",2467625,"ithaca","lowanchor",4500
"649",2467630,"ithaca","highanchor",39000
"650",2467632,"ithaca","highanchor",30000
"651",2467930,"ithaca","highanchor",26580
"652",2467935,"ithaca","highanchor",43000
"653",2467937,"ithaca","highanchor",39000
"654",2468023,"ithaca","highanchor",45000
"655",2468025,"ithaca","highanchor",30000
"656",2469961,"ithaca","lowanchor",10000
"657",2470134,"ithaca","highanchor",10000
"658",2470138,"ithaca","lowanchor",5867
"659",2470304,"ithaca","lowanchor",15000
"660",2470307,"ithaca","highanchor",27000
"661",2470311,"ithaca","highanchor",30000
"662",2477383,"ithaca","highanchor",23000
"663",2477497,"ithaca","lowanchor",5000
"665",2477501,"ithaca","lowanchor",7000
"666",2477502,"ithaca","lowanchor",5000
"667",2477504,"ithaca","lowanchor",7000
"668",2477506,"ithaca","highanchor",30000
"669",2477509,"ithaca","highanchor",45000
"670",2477515,"ithaca","highanchor",32000
"671",2477516,"ithaca","highanchor",45000
