"","session_id","referrer","anch3group","anchoring3"
"5117",2399681,"tamuc","highanchor",40000
"5119",2399928,"tamuc","highanchor",39000
"5120",2403003,"tamuc","highanchor",42000
"5121",2407135,"tamuc","highanchor",23000
"5123",2407234,"tamuc","lowanchor",25000
"5124",2407235,"tamuc","lowanchor",2063
"5125",2407299,"tamuc","highanchor",13000
"5126",2407300,"tamuc","lowanchor",2352
"5127",2407336,"tamuc","lowanchor",3000
"5128",2407384,"tamuc","highanchor",36850
"5130",2407447,"tamuc","highanchor",45000
"5131",2407561,"tamuc","lowanchor",3500
"5132",2407741,"tamuc","lowanchor",29250
"5133",2407755,"tamuc","lowanchor",3200
"5134",2407820,"tamuc","lowanchor",12363
"5135",2413282,"tamuc","highanchor",37000
"5136",2413487,"tamuc","lowanchor",20000
"5137",2413488,"tamuc","highanchor",42500
"5138",2413530,"tamuc","lowanchor",3000
"5139",2413538,"tamuc","lowanchor",3000
"5140",2413602,"tamuc","highanchor",43500
"5141",2418551,"tamuc","lowanchor",2895
"5142",2418639,"tamuc","lowanchor",2200
"5143",2418798,"tamuc","lowanchor",36000
"5145",2419734,"tamuc","highanchor",42000
"5146",2421330,"tamuc","lowanchor",4000
"5147",2421334,"tamuc","highanchor",45000
"5149",2421912,"tamuc","lowanchor",2250
"5150",2421973,"tamuc","lowanchor",10000
"5151",2422109,"tamuc","highanchor",45000
"5152",2422197,"tamuc","highanchor",21000
"5154",2431099,"tamuc","lowanchor",16000
"5155",2431108,"tamuc","lowanchor",2500
"5156",2431295,"tamuc","lowanchor",15000
"5157",2431299,"tamuc","highanchor",43200
"5158",2435426,"tamuc","lowanchor",3056
"5159",2435447,"tamuc","highanchor",45000
"5160",2435535,"tamuc","lowanchor",3000
"5161",2435536,"tamuc","highanchor",38000
"5162",2435776,"tamuc","highanchor",25000
"5163",2436000,"tamuc","highanchor",45000
"5164",2439220,"tamuc","highanchor",40000
"5165",2439240,"tamuc","lowanchor",3000
"5166",2439609,"tamuc","lowanchor",3000
"5167",2439616,"tamuc","lowanchor",3600
"5168",2439786,"tamuc","lowanchor",3000
"5169",2439881,"tamuc","highanchor",44000
"5170",2447652,"tamuc","lowanchor",4000
"5171",2447655,"tamuc","highanchor",45499
"5173",2447725,"tamuc","lowanchor",2200
"5174",2447884,"tamuc","highanchor",39500
"5175",2447939,"tamuc","highanchor",40000
"5176",2451690,"tamuc","highanchor",45000
"5177",2451783,"tamuc","highanchor",35500
"5178",2451969,"tamuc","highanchor",36000
"5179",2452210,"tamuc","highanchor",45499
"5180",2453958,"tamuc","highanchor",43000
"5181",2454051,"tamuc","lowanchor",5780
"5182",2454120,"tamuc","highanchor",30000
"5184",2454507,"tamuc","lowanchor",28000
"5185",2454552,"tamuc","lowanchor",2100
"5186",2462073,"tamuc","highanchor",32000
"5187",2465510,"tamuc","lowanchor",17000
"5188",2465566,"tamuc","highanchor",42000
"5189",2465576,"tamuc","lowanchor",8500
"5190",2468144,"tamuc","lowanchor",5000
"5191",2468148,"tamuc","lowanchor",3154
"5192",2468150,"tamuc","lowanchor",3000
"5193",2469540,"tamuc","highanchor",42000
"5194",2469559,"tamuc","lowanchor",10000
"5195",2471966,"tamuc","lowanchor",2500
"5196",2472110,"tamuc","highanchor",44354
"5197",2472188,"tamuc","highanchor",42000
"5198",2472191,"tamuc","highanchor",42000
"5199",2472279,"tamuc","lowanchor",15000
"5200",2472316,"tamuc","lowanchor",35000
"5201",2472362,"tamuc","lowanchor",10000
"5202",2472396,"tamuc","lowanchor",29429
"5203",2472517,"tamuc","lowanchor",2100
