"","session_id","referrer","anch3group","anchoring3"
"5204",2479820,"tamuon","lowanchor",4000
"5205",2479821,"tamuon","lowanchor",4000
"5206",2479829,"tamuon","highanchor",40000
"5207",2479834,"tamuon","highanchor",40000
"5208",2479835,"tamuon","lowanchor",15000
"5209",2479842,"tamuon","lowanchor",10000
"5210",2479846,"tamuon","highanchor",36500
"5211",2479847,"tamuon","lowanchor",36000
"5212",2479864,"tamuon","lowanchor",2454
"5213",2479877,"tamuon","lowanchor",9000
"5214",2479886,"tamuon","highanchor",45000
"5215",2479892,"tamuon","lowanchor",25000
"5216",2479894,"tamuon","highanchor",36000
"5217",2479895,"tamuon","lowanchor",2684
"5218",2480000,"tamuon","lowanchor",3000
"5220",2480144,"tamuon","highanchor",36000
"5221",2480159,"tamuon","highanchor",25000
"5222",2480162,"tamuon","highanchor",35000
"5224",2480194,"tamuon","highanchor",32500
"5225",2480201,"tamuon","lowanchor",33000
"5226",2480215,"tamuon","lowanchor",10000
"5227",2480220,"tamuon","highanchor",35000
"5228",2480228,"tamuon","highanchor",35000
"5230",2480242,"tamuon","lowanchor",15000
"5231",2480266,"tamuon","highanchor",30000
"5232",2480280,"tamuon","highanchor",20000
"5233",2480283,"tamuon","lowanchor",40000
"5234",2480332,"tamuon","highanchor",34500
"5235",2480343,"tamuon","lowanchor",28000
"5236",2480353,"tamuon","highanchor",20000
"5237",2480356,"tamuon","lowanchor",6000
"5238",2480366,"tamuon","highanchor",40000
"5239",2480372,"tamuon","lowanchor",30000
"5240",2480383,"tamuon","lowanchor",3250
"5241",2480385,"tamuon","highanchor",30000
"5242",2480422,"tamuon","lowanchor",10000
"5243",2480440,"tamuon","lowanchor",10000
"5244",2480462,"tamuon","lowanchor",9000
"5245",2480467,"tamuon","highanchor",36000
"5246",2480474,"tamuon","highanchor",36000
"5247",2480477,"tamuon","lowanchor",2763
"5248",2480481,"tamuon","lowanchor",20000
"5249",2480490,"tamuon","highanchor",40000
"5250",2480516,"tamuon","highanchor",40000
"5251",2480518,"tamuon","lowanchor",5000
"5252",2480541,"tamuon","highanchor",35000
"5253",2480558,"tamuon","lowanchor",4000
"5254",2480566,"tamuon","lowanchor",22000
"5255",2480567,"tamuon","highanchor",38000
"5256",2480574,"tamuon","lowanchor",34000
"5257",2480585,"tamuon","highanchor",41000
"5258",2480627,"tamuon","lowanchor",3685
"5259",2480628,"tamuon","lowanchor",12000
"5260",2480632,"tamuon","lowanchor",29029
"5261",2480650,"tamuon","lowanchor",3000
"5262",2480672,"tamuon","lowanchor",23000
"5264",2480687,"tamuon","lowanchor",40000
"5266",2480693,"tamuon","lowanchor",3200
"5267",2480707,"tamuon","highanchor",35000
"5268",2480720,"tamuon","lowanchor",3000
"5269",2480725,"tamuon","highanchor",35000
"5270",2480727,"tamuon","highanchor",30000
"5271",2480728,"tamuon","lowanchor",2500
"5272",2480731,"tamuon","highanchor",37000
"5273",2480733,"tamuon","highanchor",42000
"5274",2480735,"tamuon","lowanchor",15000
"5276",2480827,"tamuon","highanchor",20000
"5277",2480834,"tamuon","highanchor",40000
"5278",2480836,"tamuon","lowanchor",4500
"5279",2480838,"tamuon","highanchor",30000
"5280",2480841,"tamuon","highanchor",40000
"5281",2480848,"tamuon","highanchor",38000
"5282",2480849,"tamuon","lowanchor",20000
"5283",2480851,"tamuon","lowanchor",8000
"5284",2480855,"tamuon","lowanchor",2435
"5285",2480864,"tamuon","highanchor",45000
"5286",2480865,"tamuon","highanchor",35000
"5287",2480867,"tamuon","lowanchor",13000
"5288",2480868,"tamuon","highanchor",30000
"5289",2480869,"tamuon","lowanchor",15000
"5290",2480877,"tamuon","lowanchor",13000
"5291",2480882,"tamuon","highanchor",36000
"5292",2480889,"tamuon","highanchor",42000
"5293",2480892,"tamuon","lowanchor",21000
"5294",2480895,"tamuon","lowanchor",30000
"5295",2480909,"tamuon","highanchor",42000
"5298",2480957,"tamuon","highanchor",9000
"5299",2480959,"tamuon","lowanchor",6000
"5300",2480979,"tamuon","lowanchor",2876
"5301",2480981,"tamuon","lowanchor",3000
"5303",2481527,"tamuon","highanchor",45000
"5305",2481597,"tamuon","highanchor",40000
"5306",2481598,"tamuon","lowanchor",10000
"5307",2481643,"tamuon","lowanchor",20000
"5308",2481651,"tamuon","highanchor",37000
"5309",2481702,"tamuon","lowanchor",29000
"5310",2481714,"tamuon","lowanchor",29000
"5311",2481741,"tamuon","highanchor",40000
"5312",2481750,"tamuon","lowanchor",15000
"5314",2481788,"tamuon","lowanchor",5000
"5315",2481851,"tamuon","highanchor",15000
"5316",2481868,"tamuon","lowanchor",30000
"5317",2481885,"tamuon","lowanchor",45000
"5318",2481901,"tamuon","lowanchor",35000
"5319",2481902,"tamuon","highanchor",40000
"5320",2481903,"tamuon","highanchor",45499
"5321",2481911,"tamuon","lowanchor",6000
"5322",2481912,"tamuon","highanchor",35000
"5324",2481964,"tamuon","highanchor",3000
"5325",2481965,"tamuon","highanchor",43000
"5326",2482000,"tamuon","highanchor",30000
"5327",2482018,"tamuon","lowanchor",2789
"5328",2482061,"tamuon","highanchor",35000
"5329",2482084,"tamuon","highanchor",40000
"5330",2482088,"tamuon","lowanchor",4500
"5331",2482092,"tamuon","highanchor",38500
"5332",2482098,"tamuon","highanchor",45000
"5333",2482108,"tamuon","lowanchor",45000
"5334",2482114,"tamuon","highanchor",36000
"5335",2482143,"tamuon","lowanchor",20000
"5336",2482158,"tamuon","highanchor",45000
"5337",2482170,"tamuon","highanchor",45000
"5338",2482186,"tamuon","highanchor",35000
"5339",2482192,"tamuon","lowanchor",12000
"5340",2482228,"tamuon","highanchor",40000
"5341",2482235,"tamuon","highanchor",40000
"5344",2482273,"tamuon","highanchor",35000
"5345",2482289,"tamuon","lowanchor",3700
"5346",2482290,"tamuon","lowanchor",5000
"5348",2482324,"tamuon","highanchor",42000
"5349",2482338,"tamuon","lowanchor",3000
"5350",2482356,"tamuon","highanchor",45000
"5352",2482368,"tamuon","lowanchor",27000
"5354",2482388,"tamuon","lowanchor",3500
"5355",2482419,"tamuon","highanchor",30000
"5356",2482421,"tamuon","lowanchor",7000
"5357",2482471,"tamuon","highanchor",29270
"5358",2482482,"tamuon","lowanchor",3123
"5359",2482508,"tamuon","lowanchor",10568
"5360",2482555,"tamuon","lowanchor",3000
"5361",2482563,"tamuon","highanchor",35000
"5362",2482564,"tamuon","lowanchor",23000
"5363",2482587,"tamuon","highanchor",35000
"5364",2482588,"tamuon","highanchor",38000
"5365",2482605,"tamuon","lowanchor",12000
"5366",2482611,"tamuon","highanchor",39000
"5367",2482621,"tamuon","highanchor",34000
"5368",2482623,"tamuon","lowanchor",10000
"5369",2482632,"tamuon","highanchor",25000
"5370",2482634,"tamuon","lowanchor",5000
"5371",2482654,"tamuon","lowanchor",4000
"5372",2482707,"tamuon","highanchor",15000
"5373",2482727,"tamuon","lowanchor",5400
"5374",2482751,"tamuon","highanchor",30000
"5375",2482753,"tamuon","highanchor",44000
"5376",2482758,"tamuon","lowanchor",5800
"5377",2482762,"tamuon","lowanchor",2763
"5378",2482783,"tamuon","highanchor",20000
"5379",2482784,"tamuon","highanchor",43000
"5380",2482866,"tamuon","highanchor",35000
"5381",2482868,"tamuon","lowanchor",4000
"5382",2482869,"tamuon","lowanchor",3000
"5383",2482872,"tamuon","highanchor",39870
"5384",2482873,"tamuon","lowanchor",12000
"5386",2482963,"tamuon","highanchor",30000
"5387",2483014,"tamuon","lowanchor",45000
"5388",2483023,"tamuon","highanchor",30000
"5389",2483048,"tamuon","highanchor",40000
"5390",2483106,"tamuon","highanchor",43000
"5391",2483122,"tamuon","lowanchor",45000
"5392",2483153,"tamuon","highanchor",40000
