"","session_id","referrer","anch3group","anchoring3"
"5861",2448165,"vcu","highanchor",35000
"5863",2451903,"vcu","lowanchor",4000
"5864",2451987,"vcu","highanchor",45000
"5866",2458789,"vcu","lowanchor",16000
"5867",2458795,"vcu","highanchor",3500
"5868",2458799,"vcu","highanchor",35000
"5869",2458838,"vcu","lowanchor",5000
"5870",2458840,"vcu","highanchor",38600
"5872",2458891,"vcu","highanchor",35000
"5873",2458896,"vcu","highanchor",45499
"5874",2458907,"vcu","highanchor",40000
"5875",2458917,"vcu","highanchor",35000
"5876",2458939,"vcu","highanchor",39000
"5877",2458963,"vcu","highanchor",30000
"5878",2458993,"vcu","highanchor",45450
"5879",2459055,"vcu","highanchor",37000
"5880",2459062,"vcu","lowanchor",4000
"5881",2459110,"vcu","lowanchor",8500
"5882",2461604,"vcu","lowanchor",5000
"5883",2461607,"vcu","highanchor",38000
"5884",2461614,"vcu","lowanchor",5125
"5885",2461714,"vcu","lowanchor",5000
"5886",2461716,"vcu","highanchor",40000
"5887",2465635,"vcu","lowanchor",5000
"5888",2465638,"vcu","lowanchor",5000
"5889",2465639,"vcu","lowanchor",5400
"5890",2465710,"vcu","lowanchor",4300
"5891",2465711,"vcu","highanchor",42000
"5892",2465713,"vcu","highanchor",40000
"5893",2465756,"vcu","highanchor",41200
"5894",2465758,"vcu","lowanchor",2500
"5895",2465793,"vcu","highanchor",40000
"5896",2465826,"vcu","lowanchor",5000
"5897",2465946,"vcu","highanchor",23258
"5898",2467333,"vcu","lowanchor",2800
"5899",2467427,"vcu","highanchor",43000
"5900",2467490,"vcu","lowanchor",7000
"5901",2472268,"vcu","lowanchor",3500
"5902",2472270,"vcu","highanchor",35500
"5903",2472311,"vcu","lowanchor",2875
"5904",2472313,"vcu","lowanchor",4000
"5905",2472314,"vcu","highanchor",40000
"5906",2472424,"vcu","highanchor",32520
"5907",2472454,"vcu","lowanchor",5000
"5908",2472461,"vcu","highanchor",40000
"5909",2472484,"vcu","highanchor",35000
"5910",2472527,"vcu","highanchor",45000
"5911",2472533,"vcu","lowanchor",5000
"5912",2473443,"vcu","lowanchor",10000
"5913",2473491,"vcu","lowanchor",2800
"5915",2473629,"vcu","highanchor",43000
"5917",2477381,"vcu","highanchor",40000
"5918",2477384,"vcu","highanchor",42000
"5919",2477392,"vcu","lowanchor",5000
"5920",2477407,"vcu","lowanchor",3200
"5921",2477432,"vcu","lowanchor",3500
"5922",2477481,"vcu","highanchor",45498
"5923",2477552,"vcu","lowanchor",3000
"5924",2477553,"vcu","lowanchor",3000
"5925",2477608,"vcu","lowanchor",2541
"5926",2479419,"vcu","lowanchor",2400
"5927",2479456,"vcu","highanchor",30000
"5928",2479459,"vcu","highanchor",30000
"5929",2479461,"vcu","lowanchor",5000
"5930",2479491,"vcu","highanchor",30000
"5931",2479492,"vcu","highanchor",40000
"5932",2479551,"vcu","highanchor",30000
"5933",2479552,"vcu","lowanchor",3500
"5934",2479556,"vcu","lowanchor",2800
"5935",2479606,"vcu","highanchor",45499
"5938",2484393,"vcu","lowanchor",15000
"5939",2484394,"vcu","lowanchor",3546
"5940",2484409,"vcu","lowanchor",6000
"5941",2484479,"vcu","lowanchor",3000
"5942",2484583,"vcu","lowanchor",14000
"5944",2484605,"vcu","lowanchor",32000
"5945",2484731,"vcu","highanchor",18760
"5946",2484821,"vcu","lowanchor",2541
"5947",2484823,"vcu","lowanchor",2400
"5948",2486359,"vcu","highanchor",43000
"5949",2486360,"vcu","highanchor",30000
"5950",2486471,"vcu","highanchor",15000
"5951",2486800,"vcu","lowanchor",15000
"5952",2486813,"vcu","highanchor",36000
"5953",2486820,"vcu","highanchor",40000
"5954",2486838,"vcu","highanchor",30000
"5955",2486843,"vcu","lowanchor",2500
"5956",2490264,"vcu","lowanchor",6000
"5957",2490265,"vcu","lowanchor",3000
"5958",2490268,"vcu","lowanchor",4000
"5959",2490275,"vcu","lowanchor",3000
"5960",2490276,"vcu","lowanchor",2500
"5961",2490281,"vcu","highanchor",35899
"5962",2490326,"vcu","highanchor",40000
"5963",2490327,"vcu","lowanchor",10000
"5964",2490328,"vcu","highanchor",35000
"5965",2490371,"vcu","highanchor",25000
"5966",2490398,"vcu","highanchor",39200
"5967",2492269,"vcu","lowanchor",6000
"5968",2492270,"vcu","lowanchor",3000
