"","session_id","referrer","anch3group","anchoring3"
"6168",619630,"wl","highanchor",40000
"6169",619631,"wl","lowanchor",12000
"6170",619674,"wl","lowanchor",2580
"6171",619812,"wl","lowanchor",16000
"6172",619813,"wl","lowanchor",8000
"6173",619814,"wl","highanchor",39000
"6174",619815,"wl","lowanchor",7000
"6175",619816,"wl","lowanchor",4527
"6176",619817,"wl","lowanchor",2548
"6177",619818,"wl","lowanchor",25000
"6178",619819,"wl","lowanchor",17000
"6179",619820,"wl","lowanchor",3000
"6180",619821,"wl","highanchor",29028
"6181",619823,"wl","highanchor",40000
"6182",620180,"wl","lowanchor",3000
"6183",2402361,"wl","highanchor",30000
"6184",2402364,"wl","lowanchor",18000
"6185",2402367,"wl","highanchor",30000
"6186",2402609,"wl","highanchor",28000
"6187",2407256,"wl","highanchor",30000
"6188",2423119,"wl","lowanchor",4000
"6189",2423124,"wl","lowanchor",28000
"6190",2423129,"wl","highanchor",20000
"6191",2423140,"wl","lowanchor",15000
"6192",2423146,"wl","highanchor",5000
"6193",2423150,"wl","highanchor",40000
"6194",2423158,"wl","highanchor",43000
"6195",2423161,"wl","highanchor",25000
"6196",2423162,"wl","highanchor",37500
"6197",2423166,"wl","lowanchor",20000
"6198",2423175,"wl","highanchor",45470
"6199",2423178,"wl","highanchor",45400
"6200",2423187,"wl","highanchor",45000
"6201",2423190,"wl","highanchor",30000
"6202",2427277,"wl","lowanchor",3000
"6203",2427306,"wl","lowanchor",20000
"6204",2427312,"wl","highanchor",30000
"6205",2427315,"wl","highanchor",42000
"6206",2427318,"wl","lowanchor",23000
"6207",2427319,"wl","lowanchor",6000
"6209",2427321,"wl","highanchor",28300
"6210",2429800,"wl","highanchor",32000
"6211",2429801,"wl","highanchor",24000
"6212",2429807,"wl","lowanchor",26000
"6213",2429809,"wl","lowanchor",20000
"6214",2429812,"wl","highanchor",40000
"6215",2429813,"wl","highanchor",45000
"6216",2429816,"wl","lowanchor",7000
"6217",2429817,"wl","lowanchor",3200
"6218",2429818,"wl","lowanchor",5654
"6220",2429823,"wl","lowanchor",15000
"6221",2429824,"wl","lowanchor",10000
"6222",2429826,"wl","highanchor",10000
"6223",2429827,"wl","highanchor",43200
"6224",2429830,"wl","lowanchor",20000
"6225",2431590,"wl","highanchor",45000
"6226",2431595,"wl","highanchor",40000
"6227",2431601,"wl","highanchor",30000
"6228",2431607,"wl","lowanchor",11000
"6229",2431662,"wl","lowanchor",4000
"6230",2443981,"wl","lowanchor",5000
"6231",2447928,"wl","lowanchor",2568
"6232",2447956,"wl","lowanchor",20000
"6233",2454317,"wl","highanchor",40000
"6234",2458555,"wl","highanchor",30000
"6235",2459510,"wl","highanchor",43000
"6236",2459512,"wl","lowanchor",5000
"6237",2459514,"wl","lowanchor",5000
"6238",2459517,"wl","lowanchor",14000
"6239",2459520,"wl","highanchor",42000
"6240",2459588,"wl","lowanchor",5350
"6241",2462162,"wl","highanchor",41000
"6242",2462166,"wl","lowanchor",3000
"6243",2466078,"wl","lowanchor",20000
"6244",2479546,"wl","lowanchor",6000
"6245",2479565,"wl","lowanchor",19000
"6247",2479851,"wl","highanchor",38000
"6248",2479861,"wl","lowanchor",8000
"6249",2479943,"wl","highanchor",28000
"6250",2480471,"wl","highanchor",10000
"6251",2480476,"wl","lowanchor",3000
"6252",2480478,"wl","lowanchor",15000
"6253",2480480,"wl","highanchor",40000
"6254",2480482,"wl","highanchor",32000
"6255",2480484,"wl","highanchor",30000
"6257",2481507,"wl","lowanchor",5000
