"","session_id","referrer","anch3group","anchoring3"
"672",2419021,"jmu","lowanchor",5000
"674",2419039,"jmu","lowanchor",6000
"675",2419118,"jmu","lowanchor",3600
"676",2419123,"jmu","highanchor",30000
"677",2419126,"jmu","highanchor",21569
"678",2419136,"jmu","highanchor",40000
"679",2419214,"jmu","lowanchor",2500
"681",2419308,"jmu","lowanchor",10000
"682",2419313,"jmu","lowanchor",3000
"683",2419389,"jmu","highanchor",21000
"684",2419391,"jmu","lowanchor",2500
"685",2419455,"jmu","lowanchor",28000
"686",2419461,"jmu","lowanchor",4100
"687",2419527,"jmu","highanchor",42000
"689",2419674,"jmu","highanchor",30000
"690",2419767,"jmu","highanchor",36000
"691",2419793,"jmu","lowanchor",4000
"693",2419826,"jmu","highanchor",40000
"694",2419847,"jmu","lowanchor",5000
"695",2419887,"jmu","highanchor",3500
"696",2419919,"jmu","lowanchor",29000
"697",2420020,"jmu","lowanchor",3600
"698",2420156,"jmu","lowanchor",29000
"699",2420182,"jmu","highanchor",41500
"701",2420247,"jmu","lowanchor",10000
"702",2420251,"jmu","lowanchor",16000
"703",2420252,"jmu","lowanchor",5035
"704",2420253,"jmu","highanchor",45000
"705",2420255,"jmu","lowanchor",4000
"707",2420262,"jmu","highanchor",31000
"708",2420266,"jmu","lowanchor",10000
"709",2420272,"jmu","highanchor",45000
"710",2420273,"jmu","lowanchor",3100
"711",2420275,"jmu","highanchor",29000
"712",2420276,"jmu","highanchor",38000
"713",2420281,"jmu","lowanchor",8076
"714",2420284,"jmu","highanchor",34500
"715",2420294,"jmu","highanchor",4500
"716",2420305,"jmu","highanchor",5000
"717",2420311,"jmu","highanchor",30000
"718",2420319,"jmu","lowanchor",15000
"719",2420326,"jmu","highanchor",44587
"720",2420327,"jmu","lowanchor",2500
"721",2420330,"jmu","lowanchor",29000
"722",2420338,"jmu","highanchor",35000
"723",2420341,"jmu","highanchor",38000
"724",2420345,"jmu","highanchor",20000
"726",2420359,"jmu","lowanchor",4000
"727",2420361,"jmu","highanchor",35500
"729",2420382,"jmu","lowanchor",3000
"730",2420386,"jmu","lowanchor",12543
"731",2420405,"jmu","lowanchor",5000
"732",2420433,"jmu","highanchor",40000
"733",2420456,"jmu","lowanchor",40000
"734",2420459,"jmu","lowanchor",5000
"735",2420463,"jmu","lowanchor",14000
