"","session_id","referrer","anch3group","anchoring3"
"5429",2489735,"tilburg","lowanchor",11154.72
"5430",2489737,"tilburg","highanchor",42650.4
"5431",2489745,"tilburg","lowanchor",11810.88
"5432",2489754,"tilburg","lowanchor",4593.12
"5434",2489759,"tilburg","highanchor",39369.6
"5435",2489763,"tilburg","lowanchor",27627.6168
"5436",2489764,"tilburg","lowanchor",17821.3056
"5437",2489765,"tilburg","lowanchor",19684.8
"5438",2489766,"tilburg","lowanchor",19684.8
"5439",2489777,"tilburg","lowanchor",10498.56
"5440",2489790,"tilburg","lowanchor",8202
"5441",2489797,"tilburg","highanchor",42650.4
"5442",2489800,"tilburg","lowanchor",28542.96
"5443",2489804,"tilburg","highanchor",26902.56
"5444",2489805,"tilburg","highanchor",32808
"5445",2489813,"tilburg","highanchor",26246.4
"5446",2489815,"tilburg","lowanchor",9842.4
"5447",2489819,"tilburg","highanchor",19684.8
"5448",2489821,"tilburg","lowanchor",26246.4
"5449",2489838,"tilburg","highanchor",15911.88
"5450",2489840,"tilburg","lowanchor",9842.4
"5452",2489842,"tilburg","lowanchor",2906.7888
"5453",2489843,"tilburg","lowanchor",8202
"5454",2489845,"tilburg","lowanchor",4192.8624
"5455",2489846,"tilburg","lowanchor",3936.96
"5456",2489847,"tilburg","lowanchor",3379.224
"5458",2491639,"tilburg","lowanchor",3280.8
"5459",2491640,"tilburg","lowanchor",10498.56
"5461",2491660,"tilburg","lowanchor",11810.88
"5462",2491661,"tilburg","lowanchor",2952.72
"5463",2491663,"tilburg","lowanchor",26246.4
"5464",2491675,"tilburg","highanchor",32808
"5465",2491681,"tilburg","highanchor",39369.6
"5467",2491691,"tilburg","lowanchor",5249.28
"5468",2491692,"tilburg","lowanchor",4265.04
"5470",2491695,"tilburg","lowanchor",11482.8
"5471",2491697,"tilburg","lowanchor",3280.8
"5474",2493370,"tilburg","lowanchor",6561.6
"5475",2493371,"tilburg","lowanchor",6561.6
"5476",2493372,"tilburg","lowanchor",11482.8
"5477",2493374,"tilburg","highanchor",36088.8
"5479",2493403,"tilburg","lowanchor",29028.5184
"5481",2493618,"tilburg","lowanchor",9842.4
"5482",2493623,"tilburg","highanchor",17716.32
"5483",2493627,"tilburg","lowanchor",3608.88
"5484",2493630,"tilburg","lowanchor",26246.4
"5485",2493632,"tilburg","highanchor",4593.12
"5486",2493634,"tilburg","lowanchor",9842.4
"5487",2493639,"tilburg","highanchor",37729.2
"5488",2493643,"tilburg","highanchor",22965.6
"5489",2495318,"tilburg","lowanchor",7053.72
"5490",2495320,"tilburg","lowanchor",2578.7088
"5492",2495322,"tilburg","lowanchor",2841.1728
"5493",2495352,"tilburg","lowanchor",16404
"5494",2495425,"tilburg","lowanchor",5905.44
"5495",2495427,"tilburg","highanchor",4921.2
"5496",2495429,"tilburg","highanchor",44290.8
"5497",2495430,"tilburg","lowanchor",2624.64
"5500",2495435,"tilburg","lowanchor",27886.8
"5501",2495438,"tilburg","lowanchor",4921.2
"5502",2495440,"tilburg","lowanchor",10498.56
"5504",2495460,"tilburg","lowanchor",26246.4
"5505",2495590,"tilburg","lowanchor",26246.4
"5506",2497280,"tilburg","lowanchor",5905.44
"5507",2497308,"tilburg","lowanchor",12795.12
