"","session_id","referrer","anch4group","anchoring4"
"1",2400853,"abington","highanchor",10000
"2",2400856,"abington","lowanchor",5000
"3",2400860,"abington","highanchor",25000
"4",2400868,"abington","lowanchor",400
"5",2400872,"abington","lowanchor",156
"7",2400916,"abington","lowanchor",300
"8",2400925,"abington","highanchor",1000
"10",2407192,"abington","highanchor",35000
"11",2407222,"abington","highanchor",30000
"12",2407225,"abington","highanchor",136
"13",2407227,"abington","highanchor",15000
"14",2407268,"abington","lowanchor",500
"15",2407271,"abington","highanchor",40000
"16",2407288,"abington","lowanchor",300
"17",2407289,"abington","highanchor",45000
"19",2407367,"abington","lowanchor",323
"20",2407368,"abington","highanchor",25000
"21",2407369,"abington","lowanchor",300
"22",2407370,"abington","lowanchor",353
"23",2407373,"abington","highanchor",35000
"24",2407395,"abington","highanchor",10000
"25",2407403,"abington","highanchor",1000
"26",2407404,"abington","highanchor",15000
"27",2407405,"abington","lowanchor",563
"29",2407412,"abington","highanchor",20000
"31",2407866,"abington","highanchor",32000
"32",2407983,"abington","highanchor",25000
"33",2407987,"abington","highanchor",20000
"34",2408017,"abington","highanchor",500
"35",2408033,"abington","lowanchor",500
"36",2408059,"abington","highanchor",350
"38",2409135,"abington","lowanchor",500
"39",2409137,"abington","lowanchor",200
"40",2409138,"abington","highanchor",1000
"41",2409144,"abington","highanchor",35000
"42",2409145,"abington","lowanchor",2000
"43",2409147,"abington","highanchor",10000
"44",2409150,"abington","lowanchor",354
"45",2409203,"abington","highanchor",10000
"46",2409204,"abington","highanchor",20000
"47",2409209,"abington","highanchor",38000
"48",2409214,"abington","lowanchor",400
"49",2409217,"abington","highanchor",20000
"50",2409255,"abington","highanchor",250
"51",2409256,"abington","lowanchor",1100
"52",2409259,"abington","lowanchor",110
"53",2409260,"abington","highanchor",20000
"55",2409552,"abington","highanchor",43109
"56",2409555,"abington","highanchor",49500
"57",2409556,"abington","highanchor",1000
"58",2409603,"abington","lowanchor",500
"59",2409605,"abington","lowanchor",400
"60",2409606,"abington","highanchor",24000
"61",2409607,"abington","highanchor",25000
"62",2410995,"abington","highanchor",16000
"63",2410997,"abington","lowanchor",20000
"65",2411191,"abington","highanchor",10000
"66",2411192,"abington","highanchor",1000
"67",2411195,"abington","lowanchor",250
"68",2411198,"abington","lowanchor",5500
"69",2411199,"abington","highanchor",35000
"71",2411203,"abington","highanchor",30000
"72",2411204,"abington","highanchor",35000
"73",2411205,"abington","highanchor",20000
"74",2411301,"abington","lowanchor",150
"75",2411308,"abington","highanchor",1000
"76",2411379,"abington","highanchor",20000
"77",2411382,"abington","highanchor",29000
"78",2411384,"abington","highanchor",30000
"79",2411385,"abington","lowanchor",150
"80",2411395,"abington","lowanchor",150
"81",2411401,"abington","highanchor",48900
"82",2411402,"abington","highanchor",28846
"83",2411443,"abington","highanchor",45000
"84",2411445,"abington","lowanchor",101
