"","session_id","referrer","anch4group","anchoring4"
"86",2401244,"brasilia","lowanchor",200
"87",2401246,"brasilia","lowanchor",250
"88",2401249,"brasilia","lowanchor",150
"89",2401250,"brasilia","lowanchor",150
"90",2401251,"brasilia","highanchor",1000
"93",2401257,"brasilia","highanchor",37870
"94",2401258,"brasilia","highanchor",20000
"95",2401259,"brasilia","highanchor",6000
"96",2401260,"brasilia","lowanchor",125
"103",2401316,"brasilia","highanchor",30000
"104",2401319,"brasilia","lowanchor",973
"105",2401320,"brasilia","lowanchor",200
"107",2401325,"brasilia","highanchor",37452
"109",2401329,"brasilia","highanchor",1000
"110",2401335,"brasilia","lowanchor",3000
"112",2401341,"brasilia","lowanchor",497
"113",2401343,"brasilia","highanchor",1200
"114",2401352,"brasilia","lowanchor",123
"115",2401368,"brasilia","lowanchor",1000
"116",2401371,"brasilia","highanchor",30000
"118",2401382,"brasilia","lowanchor",120
"119",2401385,"brasilia","lowanchor",180
"121",2401389,"brasilia","lowanchor",103
"123",2401391,"brasilia","lowanchor",8000
"125",2401396,"brasilia","lowanchor",200
"126",2401398,"brasilia","highanchor",30000
"127",2401399,"brasilia","highanchor",30000
"129",2401402,"brasilia","highanchor",40000
"131",2401417,"brasilia","lowanchor",110
"135",2401464,"brasilia","lowanchor",2500
"136",2401466,"brasilia","lowanchor",500
"137",2401472,"brasilia","highanchor",10000
"138",2401476,"brasilia","lowanchor",120
"139",2401485,"brasilia","lowanchor",150
"140",2401488,"brasilia","lowanchor",115
"141",2401489,"brasilia","highanchor",1000
"143",2401494,"brasilia","lowanchor",150
"144",2401495,"brasilia","highanchor",130
"145",2401497,"brasilia","highanchor",43000
"146",2402832,"brasilia","highanchor",45000
"149",2406260,"brasilia","lowanchor",550
"153",2422422,"brasilia","highanchor",40000
"154",2422639,"brasilia","highanchor",1200
"155",2426482,"brasilia","highanchor",30000
"158",2429105,"brasilia","highanchor",35000
"159",2429257,"brasilia","highanchor",500
"160",2439535,"brasilia","lowanchor",500
"161",2442313,"brasilia","highanchor",20000
"162",2442618,"brasilia","lowanchor",150
"163",2442751,"brasilia","highanchor",4500
"165",2446096,"brasilia","highanchor",40000
"166",2451802,"brasilia","lowanchor",5000
"167",2452252,"brasilia","lowanchor",120
"168",2452326,"brasilia","highanchor",35000
"169",2453867,"brasilia","lowanchor",2000
"170",2457082,"brasilia","highanchor",47000
"171",2457236,"brasilia","highanchor",5000
"174",2458919,"brasilia","lowanchor",400
"175",2462035,"brasilia","highanchor",25000
"177",2465673,"brasilia","lowanchor",300
"178",2465905,"brasilia","lowanchor",1500
"179",2466041,"brasilia","lowanchor",1000
"180",2466133,"brasilia","highanchor",45000
"182",2467639,"brasilia","lowanchor",125
"183",2467777,"brasilia","highanchor",1200
"184",2467949,"brasilia","highanchor",40000
"186",2469707,"brasilia","lowanchor",1000
"188",2469887,"brasilia","highanchor",15000
"189",2470010,"brasilia","highanchor",3000
"190",2470140,"brasilia","highanchor",30000
"194",2472309,"brasilia","lowanchor",500
"195",2477425,"brasilia","lowanchor",30000
"198",2477847,"brasilia","highanchor",30000
"199",2479434,"brasilia","lowanchor",40000
"200",2479598,"brasilia","lowanchor",103
"201",2479656,"brasilia","highanchor",49000
"202",2479774,"brasilia","lowanchor",109
"204",2482575,"brasilia","highanchor",49000
