"","session_id","referrer","anch4group","anchoring4"
"582",2409609,"ithaca","lowanchor",500
"583",2442646,"ithaca","highanchor",30000
"584",2442662,"ithaca","highanchor",37000
"585",2442673,"ithaca","highanchor",30000
"586",2442680,"ithaca","lowanchor",20000
"587",2442692,"ithaca","highanchor",40000
"588",2442700,"ithaca","lowanchor",5000
"589",2442711,"ithaca","lowanchor",36000
"590",2442718,"ithaca","highanchor",35000
"591",2442903,"ithaca","lowanchor",1000
"592",2442906,"ithaca","lowanchor",600
"593",2442910,"ithaca","lowanchor",1000
"594",2443194,"ithaca","highanchor",40000
"595",2443210,"ithaca","highanchor",20000
"596",2443211,"ithaca","highanchor",45000
"597",2443215,"ithaca","lowanchor",1000
"598",2443407,"ithaca","highanchor",45000
"599",2443413,"ithaca","lowanchor",10000
"600",2443419,"ithaca","highanchor",25000
"601",2451795,"ithaca","lowanchor",5000
"602",2451900,"ithaca","lowanchor",4000
"603",2451905,"ithaca","highanchor",10000
"604",2451911,"ithaca","lowanchor",250
"605",2451919,"ithaca","highanchor",25000
"606",2451922,"ithaca","highanchor",42000
"607",2451925,"ithaca","highanchor",30000
"608",2451932,"ithaca","highanchor",25000
"609",2453957,"ithaca","highanchor",40000
"610",2453961,"ithaca","highanchor",48000
"611",2454068,"ithaca","lowanchor",500
"612",2454073,"ithaca","lowanchor",300
"613",2454074,"ithaca","highanchor",25000
"614",2454076,"ithaca","lowanchor",423
"615",2454080,"ithaca","lowanchor",1050
"616",2454084,"ithaca","lowanchor",1000
"617",2454086,"ithaca","lowanchor",560
"618",2454088,"ithaca","highanchor",25000
"619",2454089,"ithaca","highanchor",30000
"620",2454090,"ithaca","highanchor",29000
"621",2454460,"ithaca","highanchor",10000
"623",2454494,"ithaca","lowanchor",300
"624",2454600,"ithaca","lowanchor",150
"625",2456447,"ithaca","highanchor",45000
"626",2456450,"ithaca","lowanchor",2500
"627",2456456,"ithaca","highanchor",45000
"628",2456459,"ithaca","lowanchor",1000
"629",2456460,"ithaca","highanchor",42000
"630",2456463,"ithaca","lowanchor",400
"631",2456625,"ithaca","lowanchor",1000
"632",2456811,"ithaca","lowanchor",460
"633",2456933,"ithaca","lowanchor",250
"634",2456936,"ithaca","lowanchor",1000
"635",2465685,"ithaca","highanchor",30000
"636",2465686,"ithaca","highanchor",30000
"637",2465689,"ithaca","lowanchor",1000
"638",2465799,"ithaca","lowanchor",1000
"639",2465800,"ithaca","highanchor",25000
"640",2465802,"ithaca","highanchor",23000
"641",2465803,"ithaca","lowanchor",605
"642",2465808,"ithaca","highanchor",20000
"643",2467455,"ithaca","highanchor",20000
"644",2467466,"ithaca","lowanchor",175
"645",2467471,"ithaca","lowanchor",300
"646",2467477,"ithaca","highanchor",40000
"647",2467622,"ithaca","lowanchor",2000
"648",2467625,"ithaca","lowanchor",190
"649",2467630,"ithaca","highanchor",45000
"650",2467632,"ithaca","highanchor",3000
"651",2467930,"ithaca","lowanchor",2000
"652",2467935,"ithaca","highanchor",30000
"653",2467937,"ithaca","lowanchor",1000
"654",2468023,"ithaca","lowanchor",250
"655",2468025,"ithaca","lowanchor",1000
"656",2469961,"ithaca","highanchor",2000
"657",2470134,"ithaca","highanchor",24000
"658",2470138,"ithaca","highanchor",15000
"659",2470304,"ithaca","highanchor",20000
"660",2470307,"ithaca","highanchor",30000
"661",2470311,"ithaca","lowanchor",250
"662",2477383,"ithaca","lowanchor",275
"663",2477497,"ithaca","highanchor",15000
"665",2477501,"ithaca","highanchor",30000
"666",2477502,"ithaca","lowanchor",500
"667",2477504,"ithaca","highanchor",25000
"668",2477506,"ithaca","lowanchor",500
"669",2477509,"ithaca","highanchor",43000
"670",2477515,"ithaca","lowanchor",800
