"","session_id","referrer","anch4group","anchoring4"
"672",2419021,"jmu","lowanchor",205
"673",2419031,"jmu","highanchor",2850
"674",2419039,"jmu","highanchor",20000
"675",2419118,"jmu","highanchor",28000
"676",2419123,"jmu","highanchor",25000
"677",2419126,"jmu","lowanchor",2000
"678",2419136,"jmu","lowanchor",270
"679",2419214,"jmu","lowanchor",35000
"680",2419302,"jmu","lowanchor",333
"681",2419308,"jmu","highanchor",45000
"682",2419313,"jmu","highanchor",25000
"683",2419389,"jmu","lowanchor",10000
"684",2419391,"jmu","highanchor",15000
"685",2419455,"jmu","highanchor",30000
"687",2419527,"jmu","lowanchor",200
"688",2419592,"jmu","lowanchor",150
"689",2419674,"jmu","highanchor",10000
"690",2419767,"jmu","lowanchor",10000
"691",2419793,"jmu","lowanchor",500
"692",2419818,"jmu","highanchor",10000
"693",2419826,"jmu","lowanchor",232
"694",2419847,"jmu","lowanchor",300
"695",2419887,"jmu","lowanchor",550
"697",2420020,"jmu","highanchor",26000
"699",2420182,"jmu","lowanchor",120
"701",2420247,"jmu","highanchor",35000
"702",2420251,"jmu","lowanchor",500
"703",2420252,"jmu","highanchor",30000
"704",2420253,"jmu","highanchor",35000
"705",2420255,"jmu","lowanchor",2000
"706",2420258,"jmu","lowanchor",300
"707",2420262,"jmu","highanchor",9000
"708",2420266,"jmu","lowanchor",20000
"709",2420272,"jmu","highanchor",30000
"710",2420273,"jmu","highanchor",10000
"711",2420275,"jmu","lowanchor",11000
"712",2420276,"jmu","highanchor",10000
"713",2420281,"jmu","lowanchor",378
"714",2420284,"jmu","highanchor",37000
"715",2420294,"jmu","highanchor",23000
"716",2420305,"jmu","lowanchor",3000
"717",2420311,"jmu","lowanchor",500
"718",2420319,"jmu","highanchor",15000
"719",2420326,"jmu","lowanchor",35000
"720",2420327,"jmu","lowanchor",150
"721",2420330,"jmu","highanchor",10000
"723",2420341,"jmu","lowanchor",1000
"724",2420345,"jmu","lowanchor",600
"725",2420356,"jmu","lowanchor",30000
"726",2420359,"jmu","highanchor",49000
"727",2420361,"jmu","lowanchor",130
"728",2420367,"jmu","highanchor",4000
"729",2420382,"jmu","highanchor",32000
"730",2420386,"jmu","highanchor",26300
"731",2420405,"jmu","lowanchor",250
"732",2420433,"jmu","highanchor",20000
"733",2420456,"jmu","highanchor",25000
"734",2420459,"jmu","highanchor",20000
"735",2420463,"jmu","lowanchor",1500
"736",2420467,"jmu","highanchor",17000
"737",2420471,"jmu","highanchor",35000
"739",2420482,"jmu","lowanchor",600
"741",2420514,"jmu","lowanchor",101
"742",2420517,"jmu","lowanchor",200
"743",2420518,"jmu","highanchor",27500
"744",2420529,"jmu","highanchor",20000
"745",2420534,"jmu","lowanchor",250
"746",2420543,"jmu","highanchor",45000
"747",2420572,"jmu","highanchor",25000
"748",2420580,"jmu","highanchor",1600
"749",2420605,"jmu","lowanchor",500
"750",2420622,"jmu","lowanchor",2000
"752",2420646,"jmu","highanchor",10000
"753",2420663,"jmu","lowanchor",500
"754",2420692,"jmu","lowanchor",45000
"755",2420694,"jmu","lowanchor",500
"756",2420717,"jmu","lowanchor",5000
"757",2420719,"jmu","highanchor",20000
"758",2420736,"jmu","highanchor",11000
"759",2420748,"jmu","lowanchor",150
"760",2420770,"jmu","lowanchor",2000
"761",2420808,"jmu","highanchor",23000
"762",2420827,"jmu","highanchor",40000
"764",2420912,"jmu","highanchor",45000
"765",2420960,"jmu","lowanchor",200
"766",2421044,"jmu","highanchor",30000
"767",2421241,"jmu","lowanchor",10000
"768",2421264,"jmu","highanchor",30000
"769",2421291,"jmu","highanchor",32000
"770",2421306,"jmu","lowanchor",1000
"771",2421347,"jmu","lowanchor",3000
"773",2421370,"jmu","lowanchor",2000
"774",2421397,"jmu","highanchor",35000
"775",2421398,"jmu","highanchor",25000
"776",2421442,"jmu","highanchor",20000
"777",2421474,"jmu","highanchor",20000
