"","session_id","referrer","anch4group","anchoring4"
"1348",2451767,"luc","highanchor",48000
"1349",2451771,"luc","lowanchor",150
"1350",2451779,"luc","highanchor",43000
"1351",2451792,"luc","highanchor",8000
"1352",2452088,"luc","lowanchor",250
"1354",2452092,"luc","lowanchor",200
"1355",2452094,"luc","highanchor",10000
"1356",2452100,"luc","highanchor",30000
"1357",2452275,"luc","lowanchor",10000
"1358",2452282,"luc","highanchor",35000
"1359",2452290,"luc","highanchor",25000
"1360",2452295,"luc","lowanchor",841
"1361",2452386,"luc","highanchor",45000
"1362",2452390,"luc","lowanchor",160
"1363",2452391,"luc","highanchor",49000
"1364",2452392,"luc","highanchor",25000
"1365",2452399,"luc","lowanchor",300
"1366",2452769,"luc","highanchor",25000
"1367",2452772,"luc","lowanchor",450
"1368",2452776,"luc","lowanchor",300
"1369",2452780,"luc","lowanchor",500
"1370",2452782,"luc","highanchor",20000
"1371",2452877,"luc","highanchor",14000
"1372",2452890,"luc","lowanchor",102
"1373",2456872,"luc","highanchor",35000
"1374",2456978,"luc","highanchor",34000
"1375",2457300,"luc","highanchor",30000
"1377",2458634,"luc","highanchor",39000
"1378",2458720,"luc","lowanchor",300
"1379",2459183,"luc","lowanchor",1000
"1380",2459311,"luc","highanchor",15000
"1381",2459317,"luc","highanchor",25000
"1383",2461808,"luc","highanchor",47000
"1384",2462172,"luc","highanchor",40000
"1385",2462453,"luc","lowanchor",300
"1386",2462479,"luc","highanchor",20000
"1387",2465954,"luc","highanchor",10000
"1388",2466179,"luc","lowanchor",500
"1390",2466187,"luc","lowanchor",375
"1391",2466456,"luc","highanchor",30000
"1392",2466507,"luc","highanchor",20000
"1393",2466516,"luc","highanchor",30000
"1394",2466518,"luc","highanchor",20000
"1395",2466528,"luc","lowanchor",800
"1396",2466602,"luc","lowanchor",153
"1397",2466617,"luc","highanchor",20000
"1398",2466618,"luc","highanchor",5000
"1399",2467661,"luc","lowanchor",450
"1400",2467761,"luc","highanchor",20000
"1401",2467845,"luc","lowanchor",10000
"1402",2467850,"luc","highanchor",25000
"1403",2467851,"luc","highanchor",25000
"1404",2467880,"luc","lowanchor",1500
"1405",2468035,"luc","highanchor",30000
"1407",2468404,"luc","highanchor",1000
"1408",2468405,"luc","lowanchor",300
"1409",2468407,"luc","highanchor",20000
"1410",2468495,"luc","highanchor",45000
"1411",2468500,"luc","highanchor",12000
"1412",2468578,"luc","highanchor",500
"1413",2468580,"luc","highanchor",10000
"1414",2469734,"luc","lowanchor",5000
"1415",2469736,"luc","lowanchor",2000
"1416",2470219,"luc","lowanchor",140
"1417",2470513,"luc","highanchor",42001
"1418",2470516,"luc","highanchor",10000
"1419",2470529,"luc","lowanchor",3000
"1420",2470662,"luc","highanchor",20000
"1421",2470667,"luc","lowanchor",500
"1422",2470690,"luc","highanchor",1000
"1423",2470838,"luc","highanchor",20000
"1424",2470917,"luc","lowanchor",15000
"1425",2471871,"luc","lowanchor",10000
"1426",2472160,"luc","lowanchor",500
"1427",2472634,"luc","highanchor",35000
"1428",2472639,"luc","highanchor",40000
"1429",2472648,"luc","lowanchor",150
"1430",2472651,"luc","lowanchor",200
"1431",2472658,"luc","highanchor",20000
"1432",2472667,"luc","lowanchor",483
"1434",2472803,"luc","lowanchor",375
"1435",2472847,"luc","lowanchor",48000
"1436",2472871,"luc","highanchor",25000
"1437",2473592,"luc","lowanchor",150
"1438",2473867,"luc","highanchor",25000
"1439",2473958,"luc","highanchor",20000
"1440",2473963,"luc","highanchor",48000
"1441",2474074,"luc","lowanchor",300
"1442",2474078,"luc","highanchor",6000
"1443",2474085,"luc","highanchor",49000
"1445",2474142,"luc","lowanchor",1000
"1447",2482189,"luc","highanchor",40000
"1448",2482407,"luc","lowanchor",600
"1449",2482414,"luc","highanchor",40000
"1450",2482597,"luc","lowanchor",4000
"1452",2482937,"luc","highanchor",45000
"1453",2482938,"luc","lowanchor",300
"1454",2482939,"luc","highanchor",45000
"1455",2482940,"luc","highanchor",40000
"1456",2482943,"luc","highanchor",35000
"1457",2482948,"luc","highanchor",49000
"1458",2483015,"luc","highanchor",30000
"1460",2483025,"luc","lowanchor",1000
"1461",2485100,"luc","lowanchor",250
"1462",2485116,"luc","highanchor",45000
"1463",2485124,"luc","highanchor",49000
"1464",2485126,"luc","highanchor",30000
"1465",2485131,"luc","highanchor",10000
"1466",2485209,"luc","lowanchor",350
"1467",2485211,"luc","lowanchor",1000
"1468",2485214,"luc","lowanchor",8000
"1469",2485217,"luc","lowanchor",1000
"1470",2485220,"luc","lowanchor",470
"1473",2485430,"luc","highanchor",9000
"1474",2486251,"luc","highanchor",45000
"1475",2486475,"luc","lowanchor",184
"1476",2486827,"luc","highanchor",18500
"1477",2487052,"luc","highanchor",30000
"1478",2487127,"luc","lowanchor",500
"1479",2490201,"luc","lowanchor",250
"1481",2490444,"luc","highanchor",23000
"1483",2490694,"luc","highanchor",20000
"1484",2490695,"luc","highanchor",30000
"1485",2490700,"luc","highanchor",30000
"1486",2491069,"luc","highanchor",30000
"1488",2492445,"luc","highanchor",34000
"1489",2492459,"luc","highanchor",5000
"1490",2492856,"luc","highanchor",20000
"1491",2492865,"luc","highanchor",1000
"1492",2492867,"luc","highanchor",30000
