"","session_id","referrer","anch4group","anchoring4"
"1494",2399787,"mcdaniel","lowanchor",28800
"1495",2399902,"mcdaniel","highanchor",18000
"1496",2400037,"mcdaniel","lowanchor",2000
"1497",2400210,"mcdaniel","lowanchor",150
"1498",2400235,"mcdaniel","lowanchor",250
"1500",2401951,"mcdaniel","lowanchor",1899
"1501",2402044,"mcdaniel","lowanchor",500
"1504",2403281,"mcdaniel","lowanchor",300
"1506",2403994,"mcdaniel","lowanchor",1000
"1507",2404062,"mcdaniel","highanchor",35000
"1508",2404410,"mcdaniel","highanchor",10000
"1510",2406245,"mcdaniel","highanchor",30000
"1511",2406254,"mcdaniel","lowanchor",10000
"1512",2406284,"mcdaniel","lowanchor",10000
"1514",2406430,"mcdaniel","lowanchor",150
"1515",2406659,"mcdaniel","lowanchor",150
"1516",2407838,"mcdaniel","lowanchor",250
"1517",2407974,"mcdaniel","highanchor",30000
"1518",2408350,"mcdaniel","lowanchor",1000
"1519",2411236,"mcdaniel","highanchor",45000
"1520",2417482,"mcdaniel","lowanchor",1000
"1521",2417521,"mcdaniel","highanchor",25000
"1523",2419449,"mcdaniel","lowanchor",265
"1524",2419466,"mcdaniel","highanchor",30000
"1525",2422137,"mcdaniel","lowanchor",300
"1526",2426038,"mcdaniel","highanchor",37655.5
"1527",2427815,"mcdaniel","highanchor",4059
"1528",2432796,"mcdaniel","highanchor",35000
"1530",2437191,"mcdaniel","lowanchor",200
"1531",2443785,"mcdaniel","lowanchor",200
"1532",2450946,"mcdaniel","highanchor",25000
"1533",2451040,"mcdaniel","lowanchor",2500
"1534",2451047,"mcdaniel","lowanchor",1500
"1535",2451061,"mcdaniel","lowanchor",300
"1536",2451063,"mcdaniel","highanchor",1000
"1537",2451168,"mcdaniel","highanchor",26000
"1538",2451581,"mcdaniel","lowanchor",10000
"1539",2452524,"mcdaniel","lowanchor",360
"1540",2452700,"mcdaniel","highanchor",30000
"1541",2452715,"mcdaniel","lowanchor",1200
"1542",2453249,"mcdaniel","highanchor",4000
"1543",2453291,"mcdaniel","lowanchor",500
"1544",2455264,"mcdaniel","highanchor",20000
"1545",2457301,"mcdaniel","lowanchor",450
"1546",2457522,"mcdaniel","lowanchor",20000
"1547",2457617,"mcdaniel","lowanchor",300
"1548",2463756,"mcdaniel","highanchor",10000
"1549",2465487,"mcdaniel","highanchor",10500
"1550",2465595,"mcdaniel","highanchor",30000
"1551",2465691,"mcdaniel","highanchor",23000
"1552",2465895,"mcdaniel","lowanchor",700
"1553",2465948,"mcdaniel","highanchor",23000
"1554",2465952,"mcdaniel","highanchor",25000
"1555",2466277,"mcdaniel","lowanchor",150
"1556",2466426,"mcdaniel","lowanchor",180
"1557",2466569,"mcdaniel","highanchor",35750
"1558",2468447,"mcdaniel","lowanchor",200
"1560",2475870,"mcdaniel","lowanchor",200
"1561",2475950,"mcdaniel","highanchor",30000
"1562",2475968,"mcdaniel","lowanchor",300
"1563",2475985,"mcdaniel","lowanchor",101
"1565",2476046,"mcdaniel","lowanchor",1000
"1566",2476444,"mcdaniel","lowanchor",250
"1567",2476544,"mcdaniel","lowanchor",250
"1569",2476586,"mcdaniel","highanchor",1000
"1570",2476588,"mcdaniel","lowanchor",350
"1571",2476678,"mcdaniel","lowanchor",1000
"1572",2477597,"mcdaniel","highanchor",43056
"1574",2478285,"mcdaniel","highanchor",20000
"1575",2478338,"mcdaniel","highanchor",45000
"1576",2478384,"mcdaniel","lowanchor",450
"1577",2478426,"mcdaniel","highanchor",10000
"1579",2478500,"mcdaniel","highanchor",10000
"1580",2478592,"mcdaniel","lowanchor",1000
"1581",2478634,"mcdaniel","highanchor",20000
"1583",2479770,"mcdaniel","highanchor",2000
"1584",2479919,"mcdaniel","lowanchor",4000
"1585",2480394,"mcdaniel","highanchor",40000
"1586",2480401,"mcdaniel","lowanchor",1000
"1587",2481545,"mcdaniel","lowanchor",1500
"1588",2482952,"mcdaniel","highanchor",40500
"1589",2483183,"mcdaniel","highanchor",30000
"1590",2483263,"mcdaniel","lowanchor",2000
"1591",2491455,"mcdaniel","lowanchor",10000
