"","session_id","referrer","anch4group","anchoring4"
"2784",2462516,"oxy","highanchor",30000
"2786",2467505,"oxy","highanchor",25000
"2787",2468479,"oxy","highanchor",15000
"2788",2468498,"oxy","lowanchor",300
"2790",2468562,"oxy","highanchor",10000
"2791",2470610,"oxy","lowanchor",130
"2792",2472850,"oxy","lowanchor",500
"2793",2472858,"oxy","highanchor",20000
"2794",2473837,"oxy","lowanchor",1000
"2795",2474014,"oxy","lowanchor",10000
"2796",2474020,"oxy","lowanchor",2000
"2798",2474176,"oxy","lowanchor",1000
"2799",2474177,"oxy","highanchor",20000
"2800",2474189,"oxy","lowanchor",850
"2801",2474252,"oxy","lowanchor",1000
"2802",2474254,"oxy","highanchor",10000
"2803",2477323,"oxy","lowanchor",10000
"2804",2477855,"oxy","lowanchor",500
"2805",2477933,"oxy","lowanchor",200
"2806",2477938,"oxy","lowanchor",500
"2807",2478303,"oxy","highanchor",35000
"2808",2478307,"oxy","lowanchor",500
"2809",2478344,"oxy","highanchor",25000
"2810",2478349,"oxy","highanchor",35000
"2811",2479320,"oxy","lowanchor",500
"2812",2479506,"oxy","highanchor",8000
"2813",2479520,"oxy","highanchor",40000
"2814",2479543,"oxy","lowanchor",120
"2815",2479549,"oxy","highanchor",25000
"2816",2479567,"oxy","highanchor",3000
"2817",2479599,"oxy","highanchor",30000
"2818",2480067,"oxy","lowanchor",2000
"2819",2480069,"oxy","highanchor",45000
"2820",2480096,"oxy","highanchor",30000
"2821",2480103,"oxy","highanchor",30000
"2822",2480200,"oxy","lowanchor",500
"2823",2480203,"oxy","highanchor",45000
"2824",2480294,"oxy","lowanchor",5000
"2825",2480312,"oxy","highanchor",30000
"2826",2480351,"oxy","highanchor",30000
"2827",2480368,"oxy","lowanchor",12000
"2828",2480423,"oxy","highanchor",30000
"2829",2480898,"oxy","lowanchor",200
"2830",2482032,"oxy","highanchor",25000
"2831",2482046,"oxy","highanchor",15000
"2832",2482113,"oxy","lowanchor",5000
"2833",2482637,"oxy","highanchor",38000
"2834",2482713,"oxy","lowanchor",800
"2835",2482718,"oxy","lowanchor",2000
"2836",2482744,"oxy","highanchor",2000
"2838",2482785,"oxy","lowanchor",5000
"2839",2482886,"oxy","highanchor",36000
"2840",2482887,"oxy","highanchor",43700
"2841",2482889,"oxy","lowanchor",500
"2843",2483379,"oxy","highanchor",37000
"2844",2483385,"oxy","highanchor",20000
"2845",2484212,"oxy","lowanchor",700
"2846",2484256,"oxy","lowanchor",600
"2847",2484273,"oxy","highanchor",30000
"2848",2484301,"oxy","lowanchor",300
"2849",2484312,"oxy","highanchor",40000
"2850",2484316,"oxy","lowanchor",1000
"2851",2484345,"oxy","lowanchor",143
"2852",2484429,"oxy","highanchor",3000
"2853",2484440,"oxy","highanchor",30000
"2854",2484486,"oxy","highanchor",15000
"2855",2484488,"oxy","lowanchor",1000
"2857",2484632,"oxy","highanchor",30000
"2858",2484634,"oxy","lowanchor",1000
"2859",2484656,"oxy","lowanchor",200
"2860",2484661,"oxy","highanchor",25000
"2862",2484741,"oxy","highanchor",25000
"2864",2484875,"oxy","highanchor",12000
"2865",2485179,"oxy","highanchor",40000
"2866",2485308,"oxy","lowanchor",30000
"2867",2485317,"oxy","lowanchor",300
"2868",2485321,"oxy","highanchor",40900
"2869",2485328,"oxy","highanchor",25000
"2870",2485335,"oxy","lowanchor",1500
"2871",2485350,"oxy","lowanchor",2000
"2872",2485352,"oxy","highanchor",30000
"2873",2485378,"oxy","highanchor",30000
"2874",2485381,"oxy","lowanchor",2000
"2875",2485408,"oxy","lowanchor",15000
"2876",2485423,"oxy","lowanchor",20000
"2877",2485616,"oxy","lowanchor",950
"2878",2486362,"oxy","highanchor",45000
"2879",2486467,"oxy","highanchor",1000
"2880",2486468,"oxy","highanchor",2000
"2882",2486686,"oxy","lowanchor",600
"2884",2486762,"oxy","lowanchor",150
"2885",2487006,"oxy","lowanchor",10000
"2886",2487036,"oxy","lowanchor",1000
"2887",2487040,"oxy","lowanchor",3000
"2888",2487042,"oxy","lowanchor",4000
"2889",2487072,"oxy","lowanchor",1000
"2890",2487074,"oxy","highanchor",25000
"2891",2487113,"oxy","highanchor",25000
"2892",2487115,"oxy","highanchor",10000
"2893",2487152,"oxy","lowanchor",10000
"2894",2487187,"oxy","highanchor",30000
"2895",2487188,"oxy","lowanchor",3000
"2896",2487191,"oxy","highanchor",20000
"2897",2487196,"oxy","lowanchor",6000
"2899",2487225,"oxy","highanchor",30000
"2900",2487227,"oxy","highanchor",2000
"2902",2487257,"oxy","highanchor",6500
"2903",2487268,"oxy","highanchor",2000
"2904",2487272,"oxy","lowanchor",300
"2905",2487330,"oxy","lowanchor",2000
"2906",2496938,"oxy","lowanchor",150
