"","session_id","referrer","anch4group","anchoring4"
"4762",2435236,"swpson","lowanchor",110
"4763",2435237,"swpson","lowanchor",20000
"4764",2435239,"swpson","highanchor",36000
"4765",2435240,"swpson","lowanchor",180
"4766",2435243,"swpson","lowanchor",5000
"4767",2435245,"swpson","lowanchor",10000
"4768",2435247,"swpson","highanchor",49000
"4770",2435256,"swpson","lowanchor",2000
"4771",2435258,"swpson","lowanchor",110
"4772",2435262,"swpson","lowanchor",600
"4774",2435279,"swpson","lowanchor",101
"4775",2435283,"swpson","lowanchor",120
"4776",2435301,"swpson","highanchor",10000
"4778",2435307,"swpson","highanchor",10000
"4779",2435319,"swpson","lowanchor",450
"4781",2435371,"swpson","highanchor",25000
"4782",2435417,"swpson","highanchor",20000
"4783",2435424,"swpson","highanchor",30000
"4784",2435430,"swpson","lowanchor",15000
"4785",2435433,"swpson","lowanchor",178
"4787",2435464,"swpson","lowanchor",1000
"4788",2435472,"swpson","lowanchor",123
"4789",2435540,"swpson","highanchor",35660
"4790",2435554,"swpson","highanchor",10000
"4791",2435619,"swpson","highanchor",20000
"4793",2435695,"swpson","highanchor",2500
"4794",2435842,"swpson","highanchor",23742
"4796",2435854,"swpson","highanchor",27000
"4797",2435895,"swpson","highanchor",38000
"4798",2435947,"swpson","lowanchor",3000
"4799",2435961,"swpson","highanchor",45000
"4800",2435964,"swpson","lowanchor",500
"4801",2436064,"swpson","lowanchor",350
"4802",2436403,"swpson","highanchor",2000
"4803",2436426,"swpson","highanchor",40000
"4804",2436504,"swpson","lowanchor",1000
"4805",2436551,"swpson","highanchor",25000
"4806",2438531,"swpson","highanchor",25000
"4807",2438839,"swpson","lowanchor",1000
"4808",2438844,"swpson","lowanchor",6000
"4809",2438847,"swpson","lowanchor",20000
"4811",2439453,"swpson","lowanchor",400
"4812",2439491,"swpson","lowanchor",5000
"4813",2439602,"swpson","highanchor",34000
"4814",2439734,"swpson","lowanchor",5000
"4815",2439750,"swpson","highanchor",20000
"4816",2439756,"swpson","lowanchor",20000
"4817",2439810,"swpson","lowanchor",1000
"4818",2439812,"swpson","highanchor",15000
"4819",2440011,"swpson","highanchor",10000
"4820",2440042,"swpson","lowanchor",115
"4821",2440045,"swpson","lowanchor",3000
"4822",2440083,"swpson","lowanchor",268
"4823",2440139,"swpson","lowanchor",150
"4824",2440298,"swpson","highanchor",47000
"4825",2440371,"swpson","highanchor",5000
"4826",2441860,"swpson","highanchor",35000
"4827",2441985,"swpson","highanchor",20000
"4828",2442005,"swpson","highanchor",10000
"4829",2442014,"swpson","highanchor",36000
"4830",2442029,"swpson","lowanchor",3000
"4831",2442034,"swpson","lowanchor",2000
"4832",2442091,"swpson","lowanchor",30000
"4833",2442112,"swpson","highanchor",30000
"4834",2442170,"swpson","lowanchor",110
"4835",2442182,"swpson","highanchor",49000
"4836",2442192,"swpson","lowanchor",120
"4837",2442193,"swpson","highanchor",25000
"4839",2442205,"swpson","highanchor",20000
"4840",2442973,"swpson","highanchor",40000
"4841",2443181,"swpson","highanchor",30000
"4842",2443337,"swpson","highanchor",28000
"4843",2443603,"swpson","lowanchor",115
"4844",2443849,"swpson","lowanchor",101
"4845",2445068,"swpson","lowanchor",111
"4846",2445072,"swpson","highanchor",27000
"4848",2445081,"swpson","highanchor",37000
"4850",2445092,"swpson","lowanchor",18000
"4851",2445093,"swpson","lowanchor",1000
"4852",2445094,"swpson","highanchor",25000
"4853",2445097,"swpson","highanchor",20000
"4855",2445104,"swpson","lowanchor",1000
"4856",2445107,"swpson","highanchor",10000
