"","session_id","referrer","anch4group","anchoring4"
"5969",2451755,"wisc","lowanchor",1500
"5970",2451756,"wisc","highanchor",45000
"5971",2451762,"wisc","highanchor",30000
"5972",2451763,"wisc","lowanchor",200
"5973",2451765,"wisc","highanchor",5000
"5974",2451768,"wisc","highanchor",25000
"5975",2451769,"wisc","highanchor",30000
"5976",2451773,"wisc","highanchor",40000
"5977",2451775,"wisc","highanchor",40000
"5978",2451782,"wisc","highanchor",20000
"5980",2451854,"wisc","lowanchor",200
"5981",2451914,"wisc","lowanchor",8000
"5982",2451915,"wisc","lowanchor",5000
"5983",2451917,"wisc","lowanchor",102
"5984",2451918,"wisc","highanchor",40000
"5985",2451920,"wisc","highanchor",20000
"5986",2451921,"wisc","highanchor",25000
"5987",2451924,"wisc","highanchor",30000
"5989",2451927,"wisc","highanchor",36000
"5991",2451942,"wisc","lowanchor",200
"5992",2451979,"wisc","highanchor",40000
"5993",2451983,"wisc","lowanchor",500
"5994",2461615,"wisc","lowanchor",640
"5995",2461618,"wisc","lowanchor",1000
"5996",2461619,"wisc","lowanchor",150
"5997",2461623,"wisc","highanchor",40000
"5998",2461641,"wisc","lowanchor",10000
"5999",2461643,"wisc","highanchor",20000
"6000",2461658,"wisc","lowanchor",1200
"6001",2461749,"wisc","highanchor",25000
"6002",2461756,"wisc","lowanchor",10000
"6003",2461765,"wisc","lowanchor",10000
"6004",2461774,"wisc","highanchor",25000
"6005",2461788,"wisc","highanchor",30500
"6006",2461790,"wisc","highanchor",35000
"6007",2461792,"wisc","lowanchor",200
"6008",2461806,"wisc","lowanchor",5000
"6009",2461810,"wisc","highanchor",30000
"6010",2461899,"wisc","highanchor",38000
"6011",2461906,"wisc","lowanchor",110
"6013",2461913,"wisc","lowanchor",116
"6014",2461915,"wisc","lowanchor",300
"6015",2461918,"wisc","lowanchor",500
"6016",2461920,"wisc","lowanchor",15000
"6017",2461921,"wisc","lowanchor",333
"6018",2461924,"wisc","lowanchor",200
"6019",2461974,"wisc","lowanchor",5000
"6020",2461982,"wisc","highanchor",28000
"6021",2461986,"wisc","lowanchor",200
"6022",2461988,"wisc","highanchor",38000
"6023",2461994,"wisc","highanchor",25000
"6024",2462000,"wisc","highanchor",25000
"6026",2462007,"wisc","highanchor",5000
"6027",2462009,"wisc","lowanchor",2400
"6028",2462013,"wisc","lowanchor",1700
"6029",2462014,"wisc","highanchor",30000
"6030",2462063,"wisc","highanchor",20000
"6031",2462080,"wisc","lowanchor",700
"6032",2462088,"wisc","highanchor",10000
"6033",2462094,"wisc","highanchor",33000
"6034",2462102,"wisc","highanchor",30000
"6035",2462104,"wisc","lowanchor",5000
"6036",2462128,"wisc","lowanchor",3000
"6037",2462132,"wisc","highanchor",10000
"6038",2462133,"wisc","lowanchor",400
"6039",2462137,"wisc","lowanchor",1500
"6040",2462152,"wisc","highanchor",35000
"6041",2462184,"wisc","highanchor",20000
"6042",2462186,"wisc","lowanchor",700
"6044",2462188,"wisc","lowanchor",2000
"6045",2462194,"wisc","highanchor",20000
"6047",2465659,"wisc","lowanchor",123
"6049",2465664,"wisc","lowanchor",130
"6050",2465666,"wisc","highanchor",20000
"6051",2465667,"wisc","highanchor",25000
"6052",2465671,"wisc","lowanchor",155
"6053",2465672,"wisc","lowanchor",500
"6054",2465677,"wisc","lowanchor",5000
"6055",2465714,"wisc","lowanchor",2000
"6056",2465716,"wisc","highanchor",30000
"6057",2477361,"wisc","lowanchor",290
"6058",2477363,"wisc","lowanchor",2000
"6059",2477365,"wisc","lowanchor",500
"6060",2477368,"wisc","lowanchor",1200
"6061",2477371,"wisc","highanchor",10000
"6062",2477374,"wisc","lowanchor",500
"6063",2477375,"wisc","lowanchor",450
"6064",2477418,"wisc","highanchor",30000
