"","session_id","referrer","MoneyGroup","Sysjust"
"85",2401243,"brasilia","Money priming group",2.75
"86",2401244,"brasilia","Control group",3
"87",2401246,"brasilia","Control group",2.375
"88",2401249,"brasilia","Money priming group",2.5
"89",2401250,"brasilia","Control group",2.625
"90",2401251,"brasilia","Money priming group",2.125
"91",2401252,"brasilia","Money priming group",2.5
"92",2401255,"brasilia","Control group",4
"93",2401257,"brasilia","Money priming group",3.875
"94",2401258,"brasilia","Money priming group",1.875
"95",2401259,"brasilia","Money priming group",2.125
"96",2401260,"brasilia","Money priming group",2.375
"97",2401261,"brasilia","Money priming group",3.875
"98",2401305,"brasilia","Money priming group",2.125
"99",2401306,"brasilia","Control group",2.375
"100",2401308,"brasilia","Control group",3
"101",2401309,"brasilia","Control group",2.125
"102",2401312,"brasilia","Money priming group",4.25
"103",2401316,"brasilia","Control group",1.75
"104",2401319,"brasilia","Control group",3
"105",2401320,"brasilia","Money priming group",2.125
"106",2401322,"brasilia","Money priming group",4.125
"107",2401325,"brasilia","Control group",1.75
"108",2401328,"brasilia","Money priming group",2.625
"109",2401329,"brasilia","Control group",4.5
"110",2401335,"brasilia","Control group",4.625
"111",2401336,"brasilia","Control group",2.75
"112",2401341,"brasilia","Control group",2.375
"113",2401343,"brasilia","Control group",2.25
"114",2401352,"brasilia","Control group",3.125
"115",2401368,"brasilia","Money priming group",3
"116",2401371,"brasilia","Control group",4
"117",2401380,"brasilia","Control group",2.625
"118",2401382,"brasilia","Money priming group",3.5
"119",2401385,"brasilia","Control group",1.875
"120",2401388,"brasilia","Money priming group",3.5
"121",2401389,"brasilia","Control group",1.75
"122",2401390,"brasilia","Control group",1.875
"123",2401391,"brasilia","Money priming group",2.375
"124",2401393,"brasilia","Control group",2.25
"125",2401396,"brasilia","Money priming group",3.5
"126",2401398,"brasilia","Money priming group",1.875
"127",2401399,"brasilia","Money priming group",2.375
"128",2401400,"brasilia","Money priming group",2.75
"129",2401402,"brasilia","Money priming group",2.125
"130",2401405,"brasilia","Control group",3.25
"131",2401417,"brasilia","Control group",2.375
"132",2401440,"brasilia","Money priming group",3.5
"133",2401462,"brasilia","Control group",2.625
"134",2401463,"brasilia","Control group",3.125
"135",2401464,"brasilia","Control group",2.25
"136",2401466,"brasilia","Control group",2.14285714285714
"137",2401472,"brasilia","Money priming group",2.375
"138",2401476,"brasilia","Money priming group",3.25
"139",2401485,"brasilia","Money priming group",1.875
"140",2401488,"brasilia","Money priming group",3.375
"141",2401489,"brasilia","Control group",3.75
"142",2401490,"brasilia","Money priming group",2.125
"143",2401494,"brasilia","Money priming group",2.875
"144",2401495,"brasilia","Money priming group",2.125
"145",2401497,"brasilia","Money priming group",3.625
"146",2402832,"brasilia","Control group",3.375
"147",2403781,"brasilia","Control group",1.875
"148",2404006,"brasilia","Money priming group",3.75
"149",2406260,"brasilia","Money priming group",2.375
"150",2413394,"brasilia","Money priming group",2.75
"151",2413458,"brasilia","Control group",1.25
"152",2422247,"brasilia","Control group",1.75
"153",2422422,"brasilia","Control group",2.625
"154",2422639,"brasilia","Control group",3.25
"155",2426482,"brasilia","Control group",2.25
"156",2428845,"brasilia","Money priming group",2.75
"157",2428937,"brasilia","Money priming group",3.125
"158",2429105,"brasilia","Control group",3.125
"159",2429257,"brasilia","Money priming group",2.375
"160",2439535,"brasilia","Control group",3.625
"161",2442313,"brasilia","Control group",1.75
"162",2442618,"brasilia","Control group",2
"163",2442751,"brasilia","Control group",3.125
"164",2445814,"brasilia","Money priming group",3.375
"165",2446096,"brasilia","Money priming group",2.75
"166",2451802,"brasilia","Control group",4
"167",2452252,"brasilia","Control group",3
"168",2452326,"brasilia","Money priming group",2.875
"169",2453867,"brasilia","Control group",2.375
"170",2457082,"brasilia","Money priming group",2.875
"171",2457236,"brasilia","Money priming group",3
"172",2458747,"brasilia","Control group",3
"173",2458796,"brasilia","Money priming group",3.125
"174",2458919,"brasilia","Control group",1.875
"175",2462035,"brasilia","Control group",3.375
"176",2465382,"brasilia","Money priming group",2.375
"177",2465673,"brasilia","Control group",2.75
"178",2465905,"brasilia","Control group",2.5
"179",2466041,"brasilia","Control group",3.125
"180",2466133,"brasilia","Control group",4.5
"181",2467447,"brasilia","Money priming group",4.25
"182",2467639,"brasilia","Control group",3.5
"183",2467777,"brasilia","Money priming group",4
"184",2467949,"brasilia","Control group",2.5
"185",2468111,"brasilia","Money priming group",4.125
"186",2469707,"brasilia","Control group",2.125
"187",2469812,"brasilia","Money priming group",2.25
"188",2469887,"brasilia","Money priming group",2.625
"189",2470010,"brasilia","Money priming group",2.625
"190",2470140,"brasilia","Money priming group",3
"191",2471873,"brasilia","Money priming group",3.875
"192",2472163,"brasilia","Control group",3.125
"193",2472247,"brasilia","Control group",3
"194",2472309,"brasilia","Control group",2.5
"195",2477425,"brasilia","Control group",3.25
"196",2477613,"brasilia","Money priming group",3
"197",2477757,"brasilia","Control group",2.375
"198",2477847,"brasilia","Money priming group",3.5
"199",2479434,"brasilia","Money priming group",2.5
"200",2479598,"brasilia","Money priming group",3.25
"201",2479656,"brasilia","Money priming group",3.125
"202",2479774,"brasilia","Control group",3.875
"203",2482449,"brasilia","Money priming group",2.625
"204",2482575,"brasilia","Control group",3.5
