"","session_id","referrer","MoneyGroup","Sysjust"
"480",2478532,"help","Control group",2.875
"481",2478534,"help","Control group",3.375
"482",2478570,"help","Control group",4
"483",2478574,"help","Control group",3.375
"484",2478584,"help","Money priming group",3.875
"485",2478593,"help","Control group",2.75
"486",2478626,"help","Control group",3.75
"487",2478643,"help","Control group",3.25
"488",2478644,"help","Control group",3.625
"489",2478657,"help","Money priming group",2.375
"490",2478672,"help","Money priming group",2.25
"491",2478681,"help","Control group",2
"492",2478687,"help","Money priming group",2.33333333333333
"493",2478688,"help","Control group",3.375
"494",2478703,"help","Control group",2.875
"495",2478706,"help","Control group",1.625
"496",2478718,"help","Control group",2.5
"497",2478726,"help","Money priming group",1.625
"498",2478727,"help","Money priming group",1.375
"499",2478764,"help","Control group",3.25
"500",2480748,"help","Money priming group",3.5
"501",2480756,"help","Money priming group",2.25
"502",2480784,"help","Control group",4
"503",2480786,"help","Control group",3.25
"504",2480821,"help","Money priming group",4.5
"505",2480823,"help","Money priming group",2.375
"506",2480862,"help","Control group",3.25
"507",2480891,"help","Money priming group",1.625
"508",2480894,"help","Money priming group",3.5
"509",2480933,"help","Money priming group",3.75
"510",2480935,"help","Control group",3.25
"511",2480961,"help","Money priming group",4.5
"512",2480965,"help","Control group",3.875
"513",2481000,"help","Money priming group",3.5
"514",2481002,"help","Money priming group",2.71428571428571
"515",2481015,"help","Control group",2.375
"516",2481016,"help","Money priming group",3.375
"517",2481028,"help","Control group",2.125
"518",2481030,"help","Control group",2.75
"519",2481059,"help","Control group",2.625
"520",2481060,"help","Money priming group",3.125
"521",2481065,"help","Money priming group",4
"522",2481066,"help","Money priming group",2.75
"523",2481079,"help","Control group",2.375
"524",2481090,"help","Control group",2.5
"525",2483090,"help","Control group",3.5
"526",2483097,"help","Control group",3.75
"527",2483124,"help","Money priming group",3.42857142857143
"528",2483188,"help","Money priming group",2.375
"529",2483238,"help","Money priming group",2.75
"530",2483246,"help","Money priming group",3.375
"531",2483286,"help","Control group",3.75
"532",2483295,"help","Control group",1.75
"533",2483343,"help","Control group",2.5
"534",2483345,"help","Control group",2.625
"535",2483375,"help","Money priming group",2
"536",2483396,"help","Money priming group",2.5
"537",2483399,"help","Control group",4.375
"538",2483434,"help","Control group",2.625
"539",2483460,"help","Control group",2.875
"540",2483461,"help","Money priming group",2.125
"541",2483488,"help","Control group",3.25
"542",2483491,"help","Money priming group",2.75
"543",2483512,"help","Control group",2.75
"544",2483513,"help","Control group",2.5
"545",2483540,"help","Money priming group",3
"546",2483542,"help","Control group",4.125
"547",2483554,"help","Control group",3
"548",2483555,"help","Money priming group",4.125
"549",2483574,"help","Money priming group",2
"550",2483575,"help","Money priming group",3.75
"551",2483587,"help","Money priming group",2.75
"552",2483588,"help","Control group",4.125
"553",2483613,"help","Money priming group",2.125
"554",2483614,"help","Money priming group",3
"555",2483640,"help","Control group",1.875
"556",2483641,"help","Control group",3.75
"557",2484192,"help","Control group",2.875
"558",2485486,"help","Money priming group",3.625
"559",2485537,"help","Control group",2.375
"560",2485604,"help","Control group",2.5
"561",2485607,"help","Control group",2.5
"562",2485651,"help","Money priming group",2
"563",2485653,"help","Money priming group",2.375
"564",2485691,"help","Control group",3.625
"565",2485699,"help","Money priming group",3.5
"566",2485753,"help","Money priming group",3.5
"567",2485755,"help","Money priming group",2.375
"568",2485804,"help","Money priming group",2.875
"569",2485842,"help","Control group",2.71428571428571
"570",2485852,"help","Money priming group",3.75
"571",2485882,"help","Control group",3.75
"572",2485885,"help","Money priming group",2.75
"573",2485905,"help","Money priming group",1.875
"574",2485906,"help","Control group",2.75
"575",2485964,"help","Money priming group",1.875
"576",2485966,"help","Control group",3.5
"577",2485988,"help","Control group",3.5
"578",2486008,"help","Control group",3
"579",2486012,"help","Money priming group",3.625
"580",2486028,"help","Money priming group",2.375
"581",2486032,"help","Control group",3
