"","session_id","referrer","MoneyGroup","Sysjust"
"1348",2451767,"luc","Control group",3.125
"1349",2451771,"luc","Money priming group",3.875
"1350",2451779,"luc","Control group",3.375
"1351",2451792,"luc","Control group",3
"1352",2452088,"luc","Control group",1.75
"1353",2452090,"luc","Control group",4.125
"1354",2452092,"luc","Control group",2.875
"1355",2452094,"luc","Money priming group",3.375
"1356",2452100,"luc","Control group",2.625
"1357",2452275,"luc","Control group",3.5
"1358",2452282,"luc","Control group",3.75
"1359",2452290,"luc","Money priming group",4.25
"1360",2452295,"luc","Money priming group",3.75
"1361",2452386,"luc","Money priming group",3.5
"1362",2452390,"luc","Control group",4.125
"1363",2452391,"luc","Money priming group",3.875
"1364",2452392,"luc","Control group",3.625
"1365",2452399,"luc","Money priming group",1.875
"1366",2452769,"luc","Money priming group",3.5
"1367",2452772,"luc","Control group",2.25
"1368",2452776,"luc","Control group",5.375
"1369",2452780,"luc","Control group",3.5
"1370",2452782,"luc","Money priming group",3.75
"1371",2452877,"luc","Money priming group",5.125
"1372",2452890,"luc","Control group",3.875
"1373",2456872,"luc","Control group",5.125
"1374",2456978,"luc","Money priming group",5.125
"1375",2457300,"luc","Money priming group",1.875
"1376",2457542,"luc","Control group",4.25
"1377",2458634,"luc","Money priming group",2.25
"1378",2458720,"luc","Money priming group",3.375
"1379",2459183,"luc","Money priming group",4.125
"1380",2459311,"luc","Control group",2.875
"1381",2459317,"luc","Money priming group",2.875
"1382",2459322,"luc","Money priming group",3.5
"1383",2461808,"luc","Money priming group",4.5
"1384",2462172,"luc","Money priming group",3
"1385",2462453,"luc","Control group",2.75
"1386",2462479,"luc","Control group",1.5
"1387",2465954,"luc","Money priming group",3.5
"1388",2466179,"luc","Money priming group",1.875
"1389",2466185,"luc","Money priming group",2.125
"1390",2466187,"luc","Money priming group",2.5
"1391",2466456,"luc","Control group",3.625
"1392",2466507,"luc","Control group",3.625
"1393",2466516,"luc","Money priming group",3.625
"1394",2466518,"luc","Money priming group",3.25
"1395",2466528,"luc","Money priming group",4.375
"1396",2466602,"luc","Control group",3.5
"1397",2466617,"luc","Money priming group",1
"1398",2466618,"luc","Control group",4
"1399",2467661,"luc","Control group",1.125
"1400",2467761,"luc","Money priming group",3.85714285714286
"1401",2467845,"luc","Control group",4.25
"1402",2467850,"luc","Money priming group",3.75
"1403",2467851,"luc","Control group",4.375
"1404",2467880,"luc","Money priming group",2.625
"1405",2468035,"luc","Money priming group",4.625
"1406",2468400,"luc","Money priming group",4.375
"1407",2468404,"luc","Money priming group",1.125
"1408",2468405,"luc","Money priming group",4
"1409",2468407,"luc","Control group",3.5
"1410",2468495,"luc","Money priming group",4.25
"1411",2468500,"luc","Control group",4.875
"1412",2468578,"luc","Control group",5.125
"1413",2468580,"luc","Money priming group",4
"1414",2469734,"luc","Control group",3.125
"1415",2469736,"luc","Control group",3.625
"1416",2470219,"luc","Control group",3.625
"1417",2470513,"luc","Control group",2.75
"1418",2470516,"luc","Control group",2.5
"1419",2470529,"luc","Money priming group",4.375
"1420",2470662,"luc","Money priming group",2
"1421",2470667,"luc","Control group",2.875
"1422",2470690,"luc","Money priming group",4.25
"1423",2470838,"luc","Control group",4.25
"1424",2470917,"luc","Control group",3.5
"1425",2471871,"luc","Control group",3.875
"1426",2472160,"luc","Money priming group",4.375
"1427",2472634,"luc","Control group",2.75
"1428",2472639,"luc","Money priming group",3.875
"1429",2472648,"luc","Control group",2.625
"1430",2472651,"luc","Money priming group",3.375
"1431",2472658,"luc","Control group",4.125
"1432",2472667,"luc","Money priming group",2.75
"1433",2472724,"luc","Control group",3.875
"1434",2472803,"luc","Control group",4.25
"1435",2472847,"luc","Control group",4.375
"1436",2472871,"luc","Control group",3.625
"1437",2473592,"luc","Control group",5.25
"1438",2473867,"luc","Control group",5.125
"1439",2473958,"luc","Control group",2.875
"1440",2473963,"luc","Money priming group",4.5
"1441",2474074,"luc","Control group",3.125
"1442",2474078,"luc","Money priming group",5.625
"1443",2474085,"luc","Control group",2.375
"1444",2474087,"luc","Control group",4.625
"1445",2474142,"luc","Money priming group",2.875
"1446",2474145,"luc","Control group",3.5
"1447",2482189,"luc","Control group",2.375
"1448",2482407,"luc","Money priming group",3.75
"1449",2482414,"luc","Control group",3.875
"1450",2482597,"luc","Control group",3.25
"1451",2482607,"luc","Money priming group",3.875
"1452",2482937,"luc","Control group",3.5
"1453",2482938,"luc","Money priming group",3.75
"1454",2482939,"luc","Money priming group",3
"1455",2482940,"luc","Money priming group",3
"1456",2482943,"luc","Control group",3
"1457",2482948,"luc","Control group",4
"1458",2483015,"luc","Control group",3
"1459",2483016,"luc","Money priming group",1.875
"1460",2483025,"luc","Control group",2.25
"1461",2485100,"luc","Control group",4.125
"1462",2485116,"luc","Control group",4.375
"1463",2485124,"luc","Money priming group",2.75
"1464",2485126,"luc","Control group",3.25
"1465",2485131,"luc","Money priming group",3.25
"1466",2485209,"luc","Money priming group",2.375
"1467",2485211,"luc","Control group",3.25
"1468",2485214,"luc","Money priming group",5.375
"1469",2485217,"luc","Control group",3.25
"1470",2485220,"luc","Control group",2.375
"1471",2485330,"luc","Control group",3.875
"1472",2485341,"luc","Money priming group",4
"1473",2485430,"luc","Control group",3.875
"1474",2486251,"luc","Control group",3.375
"1475",2486475,"luc","Control group",4.375
"1476",2486827,"luc","Control group",2.625
"1477",2487052,"luc","Money priming group",4.125
"1478",2487127,"luc","Control group",3.875
"1479",2490201,"luc","Control group",2.625
"1480",2490205,"luc","Control group",4.75
"1482",2490448,"luc","Control group",2.25
"1483",2490694,"luc","Money priming group",3.75
"1484",2490695,"luc","Money priming group",3.75
"1485",2490700,"luc","Control group",5.875
"1486",2491069,"luc","Money priming group",1.5
"1487",2492314,"luc","Money priming group",3.5
"1488",2492445,"luc","Money priming group",4
"1489",2492459,"luc","Money priming group",3
"1490",2492856,"luc","Control group",2.42857142857143
"1491",2492865,"luc","Control group",4.125
"1492",2492867,"luc","Control group",3.75
"1493",2492869,"luc","Control group",3.25
