"","session_id","referrer","MoneyGroup","Sysjust"
"4236",2484525,"psu","Control group",2.375
"4237",2484526,"psu","Control group",4.75
"4238",2484535,"psu","Control group",3.25
"4239",2484537,"psu","Money priming group",4.75
"4240",2484538,"psu","Control group",3.75
"4241",2484548,"psu","Control group",3.75
"4242",2484626,"psu","Control group",3.375
"4243",2484631,"psu","Control group",3.875
"4244",2484633,"psu","Money priming group",4.5
"4245",2484635,"psu","Money priming group",4
"4246",2484650,"psu","Control group",4.375
"4247",2484652,"psu","Control group",4.5
"4248",2484726,"psu","Money priming group",4.125
"4249",2484730,"psu","Money priming group",2.75
"4250",2484746,"psu","Control group",4.375
"4251",2484761,"psu","Money priming group",3.25
"4252",2484762,"psu","Money priming group",3.75
"4253",2484765,"psu","Money priming group",3.625
"4254",2484829,"psu","Money priming group",2.875
"4255",2484831,"psu","Control group",4.625
"4256",2484832,"psu","Money priming group",5.25
"4257",2484833,"psu","Money priming group",4.375
"4258",2484835,"psu","Money priming group",5.375
"4259",2484850,"psu","Money priming group",3.875
"4260",2484921,"psu","Control group",4.875
"4261",2484923,"psu","Control group",3.625
"4262",2484927,"psu","Money priming group",3.75
"4263",2484936,"psu","Money priming group",2.71428571428571
"4264",2484944,"psu","Money priming group",4.5
"4265",2490490,"psu","Money priming group",4.25
"4266",2490493,"psu","Money priming group",2.75
"4267",2490496,"psu","Control group",3.875
"4268",2490499,"psu","Money priming group",2.375
"4269",2490501,"psu","Money priming group",3.5
"4270",2490558,"psu","Control group",3.75
"4271",2490564,"psu","Control group",2.25
"4272",2490571,"psu","Control group",3.375
"4273",2490574,"psu","Control group",4.25
"4274",2490582,"psu","Money priming group",4.625
"4275",2490586,"psu","Control group",4.625
"4276",2490596,"psu","Money priming group",3.625
"4277",2490616,"psu","Control group",2.875
"4278",2490617,"psu","Control group",5.25
"4279",2490624,"psu","Control group",2.75
"4280",2490644,"psu","Control group",4.625
"4281",2490651,"psu","Control group",3.625
"4282",2490658,"psu","Money priming group",2.75
"4283",2490661,"psu","Money priming group",3.625
"4284",2490664,"psu","Money priming group",3.625
"4285",2490682,"psu","Control group",2.375
"4286",2490703,"psu","Control group",5.125
"4287",2490714,"psu","Money priming group",4.125
"4288",2490730,"psu","Control group",4.25
"4289",2490736,"psu","Money priming group",4.875
"4290",2490738,"psu","Control group",4.25
"4291",2490741,"psu","Money priming group",3
"4292",2490743,"psu","Control group",3.75
"4293",2490756,"psu","Money priming group",4.125
"4294",2490791,"psu","Money priming group",4
"4295",2490804,"psu","Money priming group",4.25
"4296",2492277,"psu","Control group",4
"4297",2492280,"psu","Money priming group",4.375
"4298",2492283,"psu","Money priming group",3.875
"4299",2492337,"psu","Money priming group",4
"4300",2492339,"psu","Money priming group",3.5
"4301",2492340,"psu","Control group",4
"4302",2492360,"psu","Control group",4.875
"4303",2492363,"psu","Control group",3
"4304",2492365,"psu","Control group",4.375
"4305",2492377,"psu","Control group",4.25
"4306",2492422,"psu","Money priming group",5.125
"4307",2492424,"psu","Money priming group",3.625
"4308",2492428,"psu","Money priming group",4.125
"4309",2492477,"psu","Money priming group",4.125
"4310",2492480,"psu","Control group",4.625
"4311",2492498,"psu","Control group",3.5
"4312",2492499,"psu","Control group",3.75
"4313",2493991,"psu","Money priming group",3
"4314",2493995,"psu","Control group",3.875
"4315",2493998,"psu","Control group",4.875
"4316",2493999,"psu","Control group",3.875
"4317",2494001,"psu","Control group",3.625
"4318",2494004,"psu","Control group",2
"4319",2494055,"psu","Control group",2.625
"4320",2494062,"psu","Control group",3.375
"4321",2494064,"psu","Control group",3.375
"4322",2494069,"psu","Control group",3.75
"4323",2494070,"psu","Control group",4.5
"4324",2494092,"psu","Money priming group",4.25
"4325",2494117,"psu","Control group",3.25
"4326",2494131,"psu","Money priming group",3
"4327",2494134,"psu","Control group",4.5
"4328",2494135,"psu","Control group",4.25
"4329",2494139,"psu","Money priming group",3.625
"4330",2494171,"psu","Money priming group",4.625
