"","session_id","referrer","MoneyGroup","Sysjust"
"5117",2399681,"tamuc","Control group",4.375
"5118",2399926,"tamuc","Control group",3.625
"5119",2399928,"tamuc","Money priming group",3
"5120",2403003,"tamuc","Money priming group",2.75
"5121",2407135,"tamuc","Money priming group",1.75
"5122",2407136,"tamuc","Control group",2.875
"5123",2407234,"tamuc","Control group",4
"5124",2407235,"tamuc","Money priming group",3.5
"5125",2407299,"tamuc","Money priming group",3.75
"5126",2407300,"tamuc","Money priming group",1.5
"5127",2407336,"tamuc","Control group",3
"5128",2407384,"tamuc","Control group",3.75
"5129",2407385,"tamuc","Money priming group",3.625
"5130",2407447,"tamuc","Control group",3.25
"5131",2407561,"tamuc","Money priming group",2.25
"5132",2407741,"tamuc","Control group",2.5
"5133",2407755,"tamuc","Control group",3.625
"5134",2407820,"tamuc","Money priming group",2.25
"5135",2413282,"tamuc","Control group",4
"5136",2413487,"tamuc","Money priming group",3.625
"5137",2413488,"tamuc","Money priming group",3.75
"5138",2413530,"tamuc","Money priming group",4.625
"5139",2413538,"tamuc","Control group",5.625
"5140",2413602,"tamuc","Money priming group",3.875
"5141",2418551,"tamuc","Money priming group",3.25
"5142",2418639,"tamuc","Control group",2.75
"5143",2418798,"tamuc","Control group",2.875
"5144",2419124,"tamuc","Money priming group",4.125
"5145",2419734,"tamuc","Control group",2.875
"5146",2421330,"tamuc","Money priming group",2.125
"5147",2421334,"tamuc","Money priming group",3.125
"5148",2421597,"tamuc","Money priming group",3.5
"5149",2421912,"tamuc","Money priming group",2.75
"5150",2421973,"tamuc","Control group",2.5
"5151",2422109,"tamuc","Money priming group",3.25
"5152",2422197,"tamuc","Control group",3.25
"5153",2431092,"tamuc","Control group",2.875
"5154",2431099,"tamuc","Control group",3.875
"5155",2431108,"tamuc","Money priming group",1.625
"5156",2431295,"tamuc","Money priming group",4.25
"5157",2431299,"tamuc","Control group",3.375
"5158",2435426,"tamuc","Money priming group",2.5
"5159",2435447,"tamuc","Money priming group",2.625
"5160",2435535,"tamuc","Control group",4.375
"5161",2435536,"tamuc","Control group",3.625
"5162",2435776,"tamuc","Money priming group",2.125
"5163",2436000,"tamuc","Money priming group",4.875
"5164",2439220,"tamuc","Money priming group",3
"5165",2439240,"tamuc","Money priming group",2
"5166",2439609,"tamuc","Control group",3.375
"5167",2439616,"tamuc","Control group",3.375
"5168",2439786,"tamuc","Money priming group",3
"5169",2439881,"tamuc","Control group",4.625
"5170",2447652,"tamuc","Control group",3.5
"5171",2447655,"tamuc","Control group",2.875
"5172",2447659,"tamuc","Money priming group",4.375
"5173",2447725,"tamuc","Money priming group",5
"5174",2447884,"tamuc","Money priming group",4.625
"5175",2447939,"tamuc","Money priming group",4.125
"5176",2451690,"tamuc","Money priming group",2.375
"5177",2451783,"tamuc","Control group",4.375
"5178",2451969,"tamuc","Money priming group",3
"5179",2452210,"tamuc","Control group",4.625
"5180",2453958,"tamuc","Money priming group",2.375
"5181",2454051,"tamuc","Control group",2.375
"5182",2454120,"tamuc","Money priming group",5.75
"5183",2454221,"tamuc","Money priming group",4
"5184",2454507,"tamuc","Control group",3.375
"5185",2454552,"tamuc","Money priming group",3.75
"5186",2462073,"tamuc","Control group",3.625
"5187",2465510,"tamuc","Control group",2.5
"5188",2465566,"tamuc","Money priming group",4.25
"5189",2465576,"tamuc","Money priming group",4
"5190",2468144,"tamuc","Control group",4.625
"5191",2468148,"tamuc","Money priming group",3.125
"5192",2468150,"tamuc","Control group",4
"5193",2469540,"tamuc","Control group",2.25
"5194",2469559,"tamuc","Control group",5.375
"5195",2471966,"tamuc","Money priming group",4.25
"5196",2472110,"tamuc","Money priming group",4.125
"5197",2472188,"tamuc","Money priming group",2.875
"5198",2472191,"tamuc","Control group",3.5
"5199",2472279,"tamuc","Control group",4
"5200",2472316,"tamuc","Control group",4.125
"5201",2472362,"tamuc","Control group",4.25
"5202",2472396,"tamuc","Money priming group",4.5
"5203",2472517,"tamuc","Control group",3.875
