"","session_id","referrer","MoneyGroup","Sysjust"
"5429",2489735,"tilburg","Money priming group",3.625
"5430",2489737,"tilburg","Money priming group",2.25
"5431",2489745,"tilburg","Control group",4.625
"5432",2489754,"tilburg","Control group",2.75
"5433",2489757,"tilburg","Money priming group",4.75
"5434",2489759,"tilburg","Control group",2.5
"5435",2489763,"tilburg","Control group",2.25
"5436",2489764,"tilburg","Control group",4.375
"5437",2489765,"tilburg","Control group",4.125
"5438",2489766,"tilburg","Money priming group",4.625
"5439",2489777,"tilburg","Money priming group",3.25
"5440",2489790,"tilburg","Control group",5.375
"5441",2489797,"tilburg","Money priming group",2.375
"5442",2489800,"tilburg","Control group",2.875
"5443",2489804,"tilburg","Money priming group",3.5
"5444",2489805,"tilburg","Control group",3.375
"5445",2489813,"tilburg","Money priming group",4.25
"5446",2489815,"tilburg","Control group",2.5
"5447",2489819,"tilburg","Control group",3.5
"5448",2489821,"tilburg","Money priming group",5
"5449",2489838,"tilburg","Money priming group",3.57142857142857
"5450",2489840,"tilburg","Money priming group",5
"5451",2489841,"tilburg","Control group",3.25
"5452",2489842,"tilburg","Money priming group",4.75
"5453",2489843,"tilburg","Money priming group",4.5
"5454",2489845,"tilburg","Money priming group",4.5
"5455",2489846,"tilburg","Control group",4.5
"5456",2489847,"tilburg","Control group",4
"5457",2491621,"tilburg","Money priming group",5.375
"5458",2491639,"tilburg","Control group",3.375
"5459",2491640,"tilburg","Control group",4.625
"5460",2491659,"tilburg","Money priming group",3.25
"5461",2491660,"tilburg","Control group",4.75
"5462",2491661,"tilburg","Money priming group",3.375
"5463",2491663,"tilburg","Money priming group",1.75
"5464",2491675,"tilburg","Money priming group",3.5
"5465",2491681,"tilburg","Control group",4.25
"5466",2491682,"tilburg","Money priming group",3.875
"5467",2491691,"tilburg","Control group",4.5
"5468",2491692,"tilburg","Control group",3
"5469",2491693,"tilburg","Money priming group",3.875
"5470",2491695,"tilburg","Money priming group",4.375
"5471",2491697,"tilburg","Control group",4.5
"5472",2491699,"tilburg","Control group",3.75
"5473",2491701,"tilburg","Money priming group",4.125
"5474",2493370,"tilburg","Control group",2.5
"5475",2493371,"tilburg","Money priming group",3.375
"5476",2493372,"tilburg","Money priming group",3.5
"5477",2493374,"tilburg","Control group",3.25
"5478",2493375,"tilburg","Control group",3.75
"5479",2493403,"tilburg","Control group",4.375
"5480",2493583,"tilburg","Money priming group",3.375
"5481",2493618,"tilburg","Control group",3.25
"5482",2493623,"tilburg","Control group",3.625
"5483",2493627,"tilburg","Control group",3.5
"5484",2493630,"tilburg","Control group",5.75
"5485",2493632,"tilburg","Money priming group",4.75
"5486",2493634,"tilburg","Money priming group",4.75
"5487",2493639,"tilburg","Control group",4.75
"5488",2493643,"tilburg","Control group",3.875
"5489",2495318,"tilburg","Money priming group",5.25
"5490",2495320,"tilburg","Money priming group",1.625
"5491",2495321,"tilburg","Money priming group",4.25
"5492",2495322,"tilburg","Control group",2.75
"5493",2495352,"tilburg","Money priming group",3.25
"5494",2495425,"tilburg","Control group",2.25
"5495",2495427,"tilburg","Control group",5.25
"5496",2495429,"tilburg","Money priming group",4.25
"5497",2495430,"tilburg","Control group",3.875
"5498",2495431,"tilburg","Money priming group",4.375
"5499",2495433,"tilburg","Control group",2.625
"5500",2495435,"tilburg","Control group",3
"5501",2495438,"tilburg","Money priming group",4.375
"5502",2495440,"tilburg","Money priming group",3.25
"5503",2495458,"tilburg","Money priming group",4.125
"5504",2495460,"tilburg","Control group",3.25
"5505",2495590,"tilburg","Money priming group",3.75
"5506",2497280,"tilburg","Control group",2.75
"5507",2497308,"tilburg","Money priming group",4.75
"5508",2497333,"tilburg","Money priming group",2.375
