"","session_id","referrer","MoneyGroup","Sysjust"
"5509",2410996,"ufl","Money priming group",3.25
"5510",2411208,"ufl","Money priming group",4.25
"5511",2411213,"ufl","Money priming group",4.375
"5512",2413016,"ufl","Control group",3.625
"5513",2413017,"ufl","Money priming group",3.625
"5514",2413018,"ufl","Control group",3.375
"5515",2413210,"ufl","Money priming group",3.875
"5516",2413452,"ufl","Money priming group",3.25
"5517",2413453,"ufl","Control group",4.375
"5518",2413454,"ufl","Money priming group",4.375
"5519",2413537,"ufl","Control group",4.125
"5520",2413539,"ufl","Control group",2.125
"5521",2413641,"ufl","Money priming group",4.625
"5522",2413648,"ufl","Control group",3.25
"5523",2413652,"ufl","Money priming group",2.875
"5524",2413747,"ufl","Control group",3.625
"5525",2413749,"ufl","Control group",6.25
"5526",2413752,"ufl","Money priming group",4.625
"5527",2413870,"ufl","Money priming group",2.625
"5528",2413873,"ufl","Control group",4.5
"5529",2413874,"ufl","Control group",4.25
"5530",2413875,"ufl","Money priming group",4.125
"5531",2413936,"ufl","Money priming group",3.25
"5532",2413938,"ufl","Money priming group",2.375
"5533",2413939,"ufl","Money priming group",3.75
"5534",2418384,"ufl","Money priming group",2.375
"5535",2418388,"ufl","Money priming group",4.75
"5536",2418461,"ufl","Money priming group",2.5
"5537",2418506,"ufl","Money priming group",4.625
"5538",2419239,"ufl","Money priming group",5
"5539",2419353,"ufl","Control group",4.625
"5540",2421339,"ufl","Money priming group",2.25
"5541",2421344,"ufl","Money priming group",3.875
"5542",2421349,"ufl","Control group",5
"5543",2421352,"ufl","Control group",2.25
"5544",2421503,"ufl","Control group",4.25
"5545",2421843,"ufl","Control group",4.375
"5546",2422266,"ufl","Control group",3.5
"5547",2422270,"ufl","Money priming group",5.5
"5548",2422294,"ufl","Money priming group",5
"5549",2422898,"ufl","Control group",3.375
"5550",2422904,"ufl","Control group",3.75
"5551",2422910,"ufl","Control group",4.25
"5552",2422918,"ufl","Money priming group",4.25
"5553",2423191,"ufl","Money priming group",3.375
"5554",2425333,"ufl","Control group",4.125
"5555",2425334,"ufl","Control group",4.25
"5556",2425598,"ufl","Money priming group",4
"5557",2425912,"ufl","Control group",4.625
"5558",2425928,"ufl","Control group",3.125
"5559",2428447,"ufl","Money priming group",5
"5560",2428449,"ufl","Control group",2.875
"5561",2428541,"ufl","Money priming group",3.375
"5562",2428543,"ufl","Control group",4.375
"5563",2428704,"ufl","Control group",5
"5564",2428708,"ufl","Money priming group",3.875
"5565",2428710,"ufl","Money priming group",4.125
"5566",2428715,"ufl","Control group",4.5
"5567",2428834,"ufl","Control group",2
"5568",2428836,"ufl","Control group",5.25
