"","session_id","referrer","MoneyGroup","Sysjust"
"6065",2401013,"wku","Control group",5
"6066",2401059,"wku","Money priming group",3.875
"6067",2401273,"wku","Control group",2.125
"6068",2401275,"wku","Money priming group",4
"6069",2401277,"wku","Control group",4.625
"6070",2401278,"wku","Control group",4.375
"6071",2401294,"wku","Control group",3.125
"6072",2401426,"wku","Control group",3.125
"6073",2411348,"wku","Money priming group",3.625
"6074",2411349,"wku","Control group",4.375
"6075",2411350,"wku","Control group",4.375
"6076",2411352,"wku","Control group",3
"6077",2411472,"wku","Control group",2.75
"6078",2411473,"wku","Control group",3.5
"6079",2411474,"wku","Money priming group",1
"6080",2411475,"wku","Control group",3.375
"6081",2411479,"wku","Money priming group",3.875
"6082",2411560,"wku","Money priming group",3.5
"6083",2411561,"wku","Control group",3.5
"6084",2411562,"wku","Control group",4.125
"6085",2411564,"wku","Control group",3.5
"6086",2411568,"wku","Money priming group",3.375
"6087",2411569,"wku","Control group",3.875
"6088",2411724,"wku","Control group",5.375
"6089",2411727,"wku","Control group",2
"6090",2411854,"wku","Money priming group",2.75
"6091",2411858,"wku","Money priming group",3.875
"6092",2411860,"wku","Control group",3.25
"6093",2411862,"wku","Control group",3.625
"6094",2411945,"wku","Money priming group",4.75
"6095",2411946,"wku","Control group",4.375
"6096",2411947,"wku","Money priming group",5.625
"6097",2411954,"wku","Control group",3.875
"6098",2412031,"wku","Money priming group",4.5
"6099",2412032,"wku","Control group",1.75
"6100",2412033,"wku","Control group",3.125
"6101",2412035,"wku","Money priming group",3.875
"6102",2412037,"wku","Control group",4.625
"6103",2412071,"wku","Control group",5
"6104",2412072,"wku","Money priming group",4.25
"6105",2412075,"wku","Control group",2.125
"6106",2412084,"wku","Control group",4.125
"6107",2412085,"wku","Control group",3.25
"6108",2426096,"wku","Money priming group",4.875
"6109",2426218,"wku","Control group",4.25
"6110",2426308,"wku","Money priming group",3.875
"6111",2426586,"wku","Control group",4
"6112",2442947,"wku","Money priming group",4.25
"6113",2442959,"wku","Money priming group",3.875
"6114",2443365,"wku","Control group",3.625
"6115",2443463,"wku","Control group",5.625
"6116",2443466,"wku","Control group",4
"6117",2443468,"wku","Money priming group",3.625
"6118",2443632,"wku","Control group",5.5
"6119",2443634,"wku","Control group",2.625
"6120",2456929,"wku","Control group",4.25
"6121",2456974,"wku","Control group",3.875
"6122",2467295,"wku","Control group",2.5
"6123",2469962,"wku","Control group",3.875
"6124",2469972,"wku","Control group",4.25
"6125",2470019,"wku","Money priming group",3.25
"6126",2470021,"wku","Control group",3.5
"6127",2470108,"wku","Control group",4
"6128",2470118,"wku","Money priming group",3.25
"6129",2470120,"wku","Control group",3.625
"6130",2470122,"wku","Control group",4.625
"6131",2470195,"wku","Control group",3.375
"6132",2470289,"wku","Control group",3.375
"6133",2470353,"wku","Control group",5.375
"6134",2470356,"wku","Money priming group",3.625
"6135",2470433,"wku","Control group",3.25
"6136",2470434,"wku","Control group",3.375
"6137",2470510,"wku","Control group",2.5
"6138",2477199,"wku","Money priming group",5.5
"6139",2477200,"wku","Control group",2.75
"6140",2481988,"wku","Money priming group",3.625
"6141",2482008,"wku","Money priming group",4.57142857142857
"6142",2482011,"wku","Control group",2.125
"6143",2482012,"wku","Control group",4
"6144",2482013,"wku","Control group",2.75
"6145",2482014,"wku","Money priming group",2.625
"6146",2482015,"wku","Control group",3.375
"6147",2482103,"wku","Control group",3.5
"6148",2482104,"wku","Money priming group",3.875
"6149",2482117,"wku","Money priming group",3.875
"6150",2482123,"wku","Money priming group",3.75
"6151",2482124,"wku","Money priming group",2.25
"6152",2482149,"wku","Control group",4.375
"6153",2482150,"wku","Money priming group",4.5
"6154",2482199,"wku","Control group",3.5
"6155",2482203,"wku","Control group",4.375
"6156",2482275,"wku","Money priming group",2.5
"6157",2482278,"wku","Control group",3.5
"6158",2482280,"wku","Control group",3.75
"6159",2482481,"wku","Money priming group",4
"6160",2482485,"wku","Control group",3.125
"6161",2482487,"wku","Money priming group",3.5
"6162",2482573,"wku","Money priming group",4.375
"6163",2482576,"wku","Control group",3.75
"6164",2482577,"wku","Control group",3
"6165",2482581,"wku","Money priming group",5.375
"6166",2482596,"wku","Control group",5.875
"6167",2482610,"wku","Money priming group",5.125
