"","session_id","referrer","MoneyGroup","Sysjust"
"672",2419021,"jmu","Control group",3.875
"673",2419031,"jmu","Money priming group",3.125
"674",2419039,"jmu","Control group",4.625
"675",2419118,"jmu","Control group",3.5
"676",2419123,"jmu","Money priming group",2.75
"677",2419126,"jmu","Money priming group",4.375
"678",2419136,"jmu","Control group",3.875
"679",2419214,"jmu","Control group",5.25
"680",2419302,"jmu","Control group",4.125
"681",2419308,"jmu","Money priming group",4.125
"682",2419313,"jmu","Money priming group",4.375
"683",2419389,"jmu","Control group",4.125
"684",2419391,"jmu","Money priming group",3.625
"685",2419455,"jmu","Money priming group",1.5
"686",2419461,"jmu","Money priming group",3.875
"687",2419527,"jmu","Money priming group",3.75
"688",2419592,"jmu","Control group",3.75
"689",2419674,"jmu","Control group",4.375
"690",2419767,"jmu","Control group",4.625
"691",2419793,"jmu","Money priming group",4
"692",2419818,"jmu","Money priming group",4.375
"693",2419826,"jmu","Control group",2
"694",2419847,"jmu","Control group",2
"695",2419887,"jmu","Control group",3.125
"696",2419919,"jmu","Control group",2.75
"697",2420020,"jmu","Control group",3.125
"698",2420156,"jmu","Control group",3
"699",2420182,"jmu","Money priming group",4
"700",2420235,"jmu","Money priming group",3.75
"701",2420247,"jmu","Money priming group",3.5
"702",2420251,"jmu","Money priming group",5
"703",2420252,"jmu","Money priming group",3
"704",2420253,"jmu","Control group",4.25
"705",2420255,"jmu","Control group",2.125
"706",2420258,"jmu","Money priming group",3.5
"707",2420262,"jmu","Control group",3.5
"708",2420266,"jmu","Money priming group",4.375
"709",2420272,"jmu","Money priming group",4.5
"710",2420273,"jmu","Money priming group",2.5
"711",2420275,"jmu","Money priming group",4.125
"712",2420276,"jmu","Money priming group",2.875
"713",2420281,"jmu","Money priming group",3.375
"714",2420284,"jmu","Money priming group",6
"715",2420294,"jmu","Control group",2.75
"716",2420305,"jmu","Money priming group",2
"717",2420311,"jmu","Money priming group",3.125
"718",2420319,"jmu","Control group",1.875
"719",2420326,"jmu","Control group",4.75
"720",2420327,"jmu","Control group",4.75
"721",2420330,"jmu","Control group",4.5
"722",2420338,"jmu","Control group",5
"723",2420341,"jmu","Money priming group",4.125
"724",2420345,"jmu","Control group",3.75
"725",2420356,"jmu","Money priming group",3.375
