"","session_id","referrer","MoneyGroup","Sysjust"
"2784",2462516,"oxy","Money priming group",3.875
"2785",2466207,"oxy","Control group",3.25
"2786",2467505,"oxy","Control group",2.5
"2787",2468479,"oxy","Control group",2.25
"2788",2468498,"oxy","Control group",4.75
"2789",2468526,"oxy","Money priming group",2.75
"2790",2468562,"oxy","Control group",3.875
"2791",2470610,"oxy","Money priming group",3.5
"2792",2472850,"oxy","Control group",4.375
"2793",2472858,"oxy","Money priming group",3.625
"2794",2473837,"oxy","Control group",4
"2795",2474014,"oxy","Money priming group",3.625
"2796",2474020,"oxy","Control group",5.25
"2797",2474056,"oxy","Control group",3
"2798",2474176,"oxy","Money priming group",1.625
"2799",2474177,"oxy","Money priming group",3.75
"2800",2474189,"oxy","Control group",3
"2801",2474252,"oxy","Control group",2.5
"2802",2474254,"oxy","Money priming group",4.25
"2803",2477323,"oxy","Money priming group",3.25
"2804",2477855,"oxy","Money priming group",4.375
"2805",2477933,"oxy","Money priming group",2.625
"2806",2477938,"oxy","Money priming group",2.625
"2807",2478303,"oxy","Money priming group",1.75
"2808",2478307,"oxy","Control group",4.875
"2809",2478344,"oxy","Control group",2.75
"2810",2478349,"oxy","Money priming group",3.375
"2811",2479320,"oxy","Control group",3.5
"2812",2479506,"oxy","Control group",4.5
"2813",2479520,"oxy","Control group",3.125
"2814",2479543,"oxy","Money priming group",3
"2815",2479549,"oxy","Money priming group",3.5
"2816",2479567,"oxy","Control group",2
"2817",2479599,"oxy","Money priming group",4.125
"2818",2480067,"oxy","Control group",2.125
"2819",2480069,"oxy","Money priming group",2.25
"2820",2480096,"oxy","Control group",2.625
"2821",2480103,"oxy","Control group",2.375
"2822",2480200,"oxy","Control group",3.875
"2823",2480203,"oxy","Money priming group",4
"2824",2480294,"oxy","Money priming group",3.625
"2825",2480312,"oxy","Control group",2.875
"2826",2480351,"oxy","Control group",2.125
"2827",2480368,"oxy","Control group",4.5
"2828",2480423,"oxy","Money priming group",4.5
"2830",2482032,"oxy","Control group",2.25
"2831",2482046,"oxy","Control group",3.625
"2832",2482113,"oxy","Money priming group",3.25
"2833",2482637,"oxy","Control group",3.25
"2834",2482713,"oxy","Control group",2.125
"2835",2482718,"oxy","Control group",2.125
"2836",2482744,"oxy","Control group",5
"2837",2482764,"oxy","Control group",3.25
"2838",2482785,"oxy","Money priming group",3.125
"2839",2482886,"oxy","Money priming group",4.125
"2840",2482887,"oxy","Control group",4.625
"2841",2482889,"oxy","Money priming group",3.125
"2842",2483043,"oxy","Money priming group",2.5
"2843",2483379,"oxy","Control group",3.5
"2844",2483385,"oxy","Control group",3.25
"2845",2484212,"oxy","Money priming group",2.875
"2846",2484256,"oxy","Control group",3.125
"2847",2484273,"oxy","Money priming group",3.25
"2848",2484301,"oxy","Control group",3
"2849",2484312,"oxy","Control group",1.875
"2850",2484316,"oxy","Money priming group",5
"2851",2484345,"oxy","Money priming group",3.375
"2852",2484429,"oxy","Control group",2.625
"2853",2484440,"oxy","Money priming group",3
"2854",2484486,"oxy","Money priming group",2.75
"2855",2484488,"oxy","Control group",4
"2856",2484532,"oxy","Control group",5
"2857",2484632,"oxy","Control group",3.375
"2858",2484634,"oxy","Money priming group",3.5
"2859",2484656,"oxy","Money priming group",3.75
"2860",2484661,"oxy","Money priming group",2.25
"2861",2484737,"oxy","Control group",2.375
"2862",2484741,"oxy","Money priming group",3.25
"2863",2484870,"oxy","Money priming group",3.375
"2864",2484875,"oxy","Control group",5
"2865",2485179,"oxy","Control group",3.875
"2866",2485308,"oxy","Control group",2.5
"2867",2485317,"oxy","Money priming group",3.25
"2868",2485321,"oxy","Money priming group",4.75
"2869",2485328,"oxy","Control group",3.625
"2870",2485335,"oxy","Money priming group",3.625
"2871",2485350,"oxy","Money priming group",4
"2872",2485352,"oxy","Control group",2.375
"2873",2485378,"oxy","Money priming group",3.375
"2874",2485381,"oxy","Money priming group",2.75
"2875",2485408,"oxy","Money priming group",2.375
"2876",2485423,"oxy","Control group",1.375
"2877",2485616,"oxy","Control group",2.25
"2878",2486362,"oxy","Control group",2.75
"2879",2486467,"oxy","Money priming group",4.5
"2880",2486468,"oxy","Control group",4.75
"2881",2486681,"oxy","Control group",2.125
"2882",2486686,"oxy","Money priming group",3.57142857142857
"2883",2486705,"oxy","Control group",3.375
"2884",2486762,"oxy","Control group",3.25
"2885",2487006,"oxy","Money priming group",2.75
"2886",2487036,"oxy","Control group",3.125
"2887",2487040,"oxy","Control group",1.625
"2888",2487042,"oxy","Money priming group",1.875
"2889",2487072,"oxy","Control group",2.875
"2890",2487074,"oxy","Control group",3.125
"2891",2487113,"oxy","Control group",1.875
"2892",2487115,"oxy","Control group",1.5
"2893",2487152,"oxy","Money priming group",3.25
"2894",2487187,"oxy","Control group",3.75
"2895",2487188,"oxy","Money priming group",3.375
"2896",2487191,"oxy","Control group",4.25
"2897",2487196,"oxy","Money priming group",2.125
"2898",2487219,"oxy","Control group",3.375
"2899",2487225,"oxy","Money priming group",2
"2900",2487227,"oxy","Control group",2.375
"2901",2487255,"oxy","Control group",3.875
"2902",2487257,"oxy","Money priming group",2.5
"2903",2487268,"oxy","Control group",1.875
"2904",2487272,"oxy","Control group",5.625
"2905",2487330,"oxy","Money priming group",3
"2906",2496938,"oxy","Control group",4
