"","session_id","referrer","flagGroup","flagdv","flagfilter"
"289",2457210,"conncoll","flag prime",3.125,"include"
"290",2457211,"conncoll","no prime",2.375,"include"
"291",2457212,"conncoll","flag prime",3.875,"include"
"292",2457217,"conncoll","no prime",2.625,"include"
"293",2457219,"conncoll","flag prime",3,"include"
"294",2457222,"conncoll","flag prime",2.375,"include"
"295",2457223,"conncoll","flag prime",1.875,"include"
"296",2457225,"conncoll","no prime",4.14285714285714,"include"
"297",2457226,"conncoll","no prime",3.25,"include"
"298",2457230,"conncoll","no prime",2.125,"include"
"299",2457231,"conncoll","flag prime",2.625,"include"
"300",2457233,"conncoll","no prime",2.625,"include"
"301",2457237,"conncoll","no prime",3.5,"include"
"302",2457239,"conncoll","flag prime",2.625,"include"
"303",2457241,"conncoll","no prime",1.5,"include"
"304",2457242,"conncoll","flag prime",1.875,"include"
"306",2457266,"conncoll","no prime",3.25,"include"
"307",2457376,"conncoll","flag prime",2.75,"include"
"308",2457377,"conncoll","no prime",3.75,"include"
"309",2457395,"conncoll","no prime",2.75,"include"
"310",2457410,"conncoll","flag prime",1.625,"include"
"311",2457483,"conncoll","no prime",2.125,"include"
"312",2457484,"conncoll","flag prime",2.375,"include"
"313",2457485,"conncoll","flag prime",3.125,"include"
"314",2457486,"conncoll","flag prime",2.75,"include"
"315",2457487,"conncoll","no prime",2.5,"include"
"316",2457489,"conncoll","no prime",3.875,"include"
"317",2457490,"conncoll","no prime",2.125,"include"
"318",2457492,"conncoll","no prime",3.375,"include"
"319",2457497,"conncoll","no prime",3,"include"
"320",2457498,"conncoll","no prime",3.125,"include"
"321",2457706,"conncoll","flag prime",3.125,"include"
"322",2457712,"conncoll","no prime",4,"include"
"323",2457722,"conncoll","flag prime",2,"include"
"324",2457723,"conncoll","no prime",2.25,"include"
"325",2457724,"conncoll","no prime",2.125,"include"
"326",2457725,"conncoll","flag prime",2.375,"include"
"327",2457726,"conncoll","flag prime",1.28571428571429,"include"
"328",2457727,"conncoll","flag prime",1.75,"include"
"329",2457728,"conncoll","no prime",2.875,"include"
"330",2457730,"conncoll","flag prime",3.125,"include"
"331",2457731,"conncoll","no prime",2.875,"include"
"332",2457732,"conncoll","flag prime",3.625,"include"
"333",2457733,"conncoll","flag prime",2.125,"include"
"334",2457734,"conncoll","no prime",3,"include"
"335",2457735,"conncoll","no prime",2.625,"include"
"336",2457736,"conncoll","no prime",2.625,"include"
"337",2457737,"conncoll","no prime",3.25,"include"
"338",2457738,"conncoll","flag prime",2.125,"include"
"339",2459368,"conncoll","no prime",1.875,"include"
"340",2459414,"conncoll","flag prime",2.5,"include"
"341",2459417,"conncoll","flag prime",2.375,"include"
"342",2459418,"conncoll","flag prime",2.375,"include"
"343",2459420,"conncoll","flag prime",2.625,"include"
"344",2459421,"conncoll","no prime",2.25,"include"
"345",2459422,"conncoll","no prime",2.375,"include"
"346",2459423,"conncoll","flag prime",2.75,"include"
"347",2459425,"conncoll","no prime",3.25,"include"
"348",2459427,"conncoll","no prime",3.375,"include"
"349",2459429,"conncoll","flag prime",3.125,"include"
"350",2459430,"conncoll","flag prime",1.75,"include"
"351",2459434,"conncoll","flag prime",2.875,"include"
"352",2459436,"conncoll","no prime",4.375,"include"
"353",2459439,"conncoll","no prime",2.125,"include"
"354",2459458,"conncoll","no prime",3.75,"include"
"355",2459547,"conncoll","flag prime",4.125,"include"
"356",2459550,"conncoll","no prime",2.25,"include"
"357",2459551,"conncoll","flag prime",1.75,"include"
"358",2459553,"conncoll","no prime",3.25,"include"
"359",2459554,"conncoll","no prime",2.375,"include"
"360",2459555,"conncoll","flag prime",2.875,"include"
"361",2459556,"conncoll","no prime",2.625,"include"
"362",2459557,"conncoll","no prime",2.125,"include"
"363",2459558,"conncoll","flag prime",1.875,"include"
"364",2459560,"conncoll","flag prime",1.875,"include"
"365",2459562,"conncoll","no prime",3,"include"
"366",2459567,"conncoll","no prime",4.42857142857143,"include"
"367",2459568,"conncoll","no prime",2,"include"
"368",2459575,"conncoll","flag prime",1.57142857142857,"include"
"369",2459709,"conncoll","no prime",3,"include"
"370",2459710,"conncoll","flag prime",3,"include"
"371",2459711,"conncoll","no prime",2.25,"include"
"372",2459712,"conncoll","no prime",2.25,"include"
"373",2459714,"conncoll","flag prime",3.625,"include"
"374",2459715,"conncoll","flag prime",3,"include"
"375",2459716,"conncoll","flag prime",3.625,"include"
"376",2459718,"conncoll","no prime",3.875,"include"
"377",2459720,"conncoll","no prime",3.375,"include"
"378",2459721,"conncoll","flag prime",1.5,"include"
"379",2459722,"conncoll","no prime",4,"include"
"380",2459723,"conncoll","flag prime",2.75,"include"
"381",2459724,"conncoll","no prime",3.75,"include"
"382",2459727,"conncoll","no prime",1.75,"include"
"383",2459730,"conncoll","no prime",2.375,"include"
