"","session_id","referrer","flagGroup","flagdv","flagfilter"
"384",2456784,"csun","no prime",3.5,"include"
"385",2456788,"csun","flag prime",2.125,"include"
"386",2456823,"csun","no prime",1.625,"include"
"387",2456844,"csun","no prime",3.625,"include"
"388",2456892,"csun","no prime",2.5,"include"
"389",2456916,"csun","no prime",2.625,"include"
"390",2456928,"csun","flag prime",3.625,"include"
"391",2457020,"csun","no prime",4.625,"include"
"392",2457046,"csun","no prime",3.25,"include"
"393",2457073,"csun","flag prime",3,"include"
"394",2457074,"csun","no prime",2.375,"include"
"395",2457085,"csun","no prime",2.125,"include"
"396",2457121,"csun","no prime",2.875,"include"
"397",2457137,"csun","no prime",2.75,"include"
"398",2457163,"csun","flag prime",4,"include"
"399",2457186,"csun","no prime",3.375,"include"
"400",2457202,"csun","no prime",3.375,"include"
"401",2457261,"csun","no prime",3.375,"include"
"402",2457268,"csun","flag prime",2.375,"include"
"403",2457292,"csun","flag prime",2.875,"include"
"404",2457303,"csun","flag prime",2.75,"include"
"405",2457311,"csun","no prime",3.85714285714286,"include"
"406",2457318,"csun","no prime",3.25,"include"
"407",2457331,"csun","flag prime",2.875,"include"
"408",2457380,"csun","flag prime",4,"include"
"409",2457385,"csun","no prime",2.5,"include"
"410",2457394,"csun","flag prime",1.375,"include"
"411",2457404,"csun","flag prime",3.125,"include"
"412",2457450,"csun","no prime",3.125,"include"
"413",2457471,"csun","no prime",2.875,"include"
"414",2457473,"csun","flag prime",3,"include"
"415",2457480,"csun","flag prime",3.25,"include"
"416",2457504,"csun","no prime",3.75,"include"
"417",2457572,"csun","no prime",2.875,"include"
"418",2457577,"csun","flag prime",3.375,"include"
"419",2457600,"csun","flag prime",3,"include"
"420",2457611,"csun","no prime",2.375,"include"
"421",2457620,"csun","flag prime",3,"include"
"422",2457623,"csun","no prime",2.375,"include"
"423",2457637,"csun","no prime",4.5,"include"
"424",2457650,"csun","no prime",3.71428571428571,"include"
"425",2457661,"csun","no prime",2.125,"include"
"426",2457672,"csun","no prime",4,"include"
"427",2457686,"csun","flag prime",3.57142857142857,"include"
"428",2457695,"csun","no prime",2.25,"include"
"429",2457718,"csun","flag prime",3.875,"include"
"430",2457739,"csun","no prime",3,"include"
"431",2457741,"csun","flag prime",3.375,"include"
"432",2457742,"csun","no prime",3.5,"include"
"434",2457800,"csun","no prime",3,"include"
"435",2457808,"csun","no prime",5.5,"include"
"436",2457821,"csun","no prime",3.125,"include"
"437",2457822,"csun","no prime",3.375,"include"
"438",2457828,"csun","no prime",3.25,"include"
"439",2457868,"csun","flag prime",4,"include"
"440",2457886,"csun","flag prime",3.5,"include"
"441",2457897,"csun","flag prime",3.25,"include"
"442",2457898,"csun","flag prime",3.125,"include"
"443",2457899,"csun","no prime",4.125,"include"
"444",2457900,"csun","no prime",3.75,"include"
"445",2457901,"csun","no prime",4.875,"include"
"446",2457904,"csun","flag prime",2.25,"include"
"447",2457917,"csun","flag prime",3.625,"include"
"448",2457928,"csun","flag prime",3.25,"include"
"449",2457932,"csun","flag prime",3.375,"include"
"450",2457937,"csun","flag prime",2,"include"
"451",2457943,"csun","flag prime",2.375,"include"
"452",2457949,"csun","flag prime",2.375,"include"
"453",2457954,"csun","flag prime",4.25,"include"
"454",2457958,"csun","flag prime",3.375,"include"
"455",2457975,"csun","no prime",2.625,"include"
"456",2457988,"csun","flag prime",3.6,"include"
"457",2457992,"csun","no prime",4,"include"
"458",2457994,"csun","no prime",5.125,"include"
"459",2458037,"csun","no prime",3.375,"include"
"460",2458042,"csun","flag prime",4.125,"include"
"461",2458045,"csun","flag prime",2.125,"include"
"462",2458056,"csun","flag prime",4,"include"
"463",2458063,"csun","flag prime",3.125,"include"
"464",2458069,"csun","flag prime",3.25,"include"
"465",2458097,"csun","no prime",3.625,"include"
"466",2458116,"csun","flag prime",4.625,"include"
"467",2458145,"csun","flag prime",4.75,"include"
"468",2458488,"csun","flag prime",2.625,"include"
"469",2459401,"csun","no prime",3,"include"
"470",2459660,"csun","no prime",3.25,"include"
"471",2459700,"csun","flag prime",3.25,"include"
"472",2459706,"csun","no prime",2.625,"include"
"473",2459739,"csun","flag prime",5,"include"
"474",2459840,"csun","flag prime",3.375,"include"
"476",2459977,"csun","flag prime",2.125,"include"
"477",2460053,"csun","no prime",5.25,"include"
"478",2461684,"csun","flag prime",4.25,"include"
"479",2462263,"csun","flag prime",3.875,"include"
