"","session_id","referrer","flagGroup","flagdv","flagfilter"
"1348",2451767,"luc","flag prime",1.875,"include"
"1349",2451771,"luc","no prime",3,"include"
"1350",2451779,"luc","flag prime",2.875,"include"
"1351",2451792,"luc","no prime",1.875,"include"
"1352",2452088,"luc","no prime",4.625,"include"
"1353",2452090,"luc","no prime",4,"include"
"1354",2452092,"luc","flag prime",2.125,"include"
"1355",2452094,"luc","flag prime",2.375,"include"
"1356",2452100,"luc","no prime",2.25,"include"
"1357",2452275,"luc","flag prime",3.25,"include"
"1358",2452282,"luc","flag prime",3,"include"
"1360",2452295,"luc","flag prime",2.75,"include"
"1361",2452386,"luc","flag prime",4.75,"include"
"1362",2452390,"luc","flag prime",4.25,"include"
"1363",2452391,"luc","no prime",3.25,"include"
"1364",2452392,"luc","no prime",2.75,"include"
"1365",2452399,"luc","flag prime",2.125,"include"
"1366",2452769,"luc","no prime",3.125,"include"
"1367",2452772,"luc","flag prime",2.75,"include"
"1368",2452776,"luc","no prime",3.25,"include"
"1369",2452780,"luc","no prime",2.875,"include"
"1370",2452782,"luc","flag prime",2.875,"include"
"1371",2452877,"luc","flag prime",2.625,"include"
"1372",2452890,"luc","flag prime",2.875,"include"
"1373",2456872,"luc","flag prime",5.125,"include"
"1374",2456978,"luc","no prime",4,"include"
"1375",2457300,"luc","flag prime",1,"include"
"1376",2457542,"luc","no prime",2.375,"include"
"1377",2458634,"luc","flag prime",2.375,"include"
"1378",2458720,"luc","no prime",1.375,"include"
"1379",2459183,"luc","flag prime",3.375,"include"
"1380",2459311,"luc","flag prime",4,"include"
"1381",2459317,"luc","flag prime",2.625,"include"
"1382",2459322,"luc","no prime",2.375,"include"
"1383",2461808,"luc","no prime",3.5,"include"
"1384",2462172,"luc","flag prime",2.625,"include"
"1385",2462453,"luc","flag prime",3.875,"include"
"1386",2462479,"luc","no prime",1.875,"include"
"1387",2465954,"luc","flag prime",4.125,"include"
"1388",2466179,"luc","no prime",1.75,"include"
"1389",2466185,"luc","flag prime",2.25,"include"
"1390",2466187,"luc","no prime",3.375,"include"
"1391",2466456,"luc","no prime",3.25,"include"
"1392",2466507,"luc","no prime",2.25,"include"
"1393",2466516,"luc","no prime",2.375,"include"
"1394",2466518,"luc","no prime",2.5,"include"
"1395",2466528,"luc","flag prime",3.125,"include"
"1396",2466602,"luc","no prime",3.875,"include"
"1397",2466617,"luc","no prime",2.625,"include"
"1398",2466618,"luc","flag prime",3.5,"include"
"1399",2467661,"luc","flag prime",2.625,"include"
"1400",2467761,"luc","no prime",2.875,"include"
"1401",2467845,"luc","flag prime",3.375,"include"
"1402",2467850,"luc","no prime",2.625,"include"
"1403",2467851,"luc","flag prime",5.5,"include"
"1404",2467880,"luc","no prime",2.625,"include"
"1405",2468035,"luc","no prime",2.625,"include"
"1406",2468400,"luc","no prime",2.5,"include"
"1407",2468404,"luc","no prime",2.625,"include"
"1408",2468405,"luc","flag prime",2.625,"include"
"1409",2468407,"luc","no prime",2.5,"include"
"1410",2468495,"luc","flag prime",4.5,"include"
"1411",2468500,"luc","flag prime",1.5,"include"
"1412",2468578,"luc","flag prime",5.75,"include"
"1413",2468580,"luc","no prime",3.375,"include"
"1414",2469734,"luc","flag prime",2.625,"include"
"1415",2469736,"luc","no prime",3.375,"include"
"1416",2470219,"luc","flag prime",3,"include"
"1417",2470513,"luc","flag prime",2.375,"include"
"1418",2470516,"luc","flag prime",1.875,"include"
"1419",2470529,"luc","no prime",2.625,"include"
"1420",2470662,"luc","no prime",3.5,"include"
"1421",2470667,"luc","flag prime",2,"include"
"1422",2470690,"luc","flag prime",2.75,"include"
"1423",2470838,"luc","flag prime",3.75,"include"
"1424",2470917,"luc","flag prime",2.25,"include"
"1425",2471871,"luc","no prime",3.25,"include"
"1426",2472160,"luc","no prime",3.5,"include"
"1427",2472634,"luc","no prime",4.875,"include"
"1428",2472639,"luc","no prime",3.625,"include"
"1429",2472648,"luc","no prime",2.875,"include"
"1430",2472651,"luc","no prime",2.75,"include"
"1431",2472658,"luc","flag prime",3.625,"include"
"1432",2472667,"luc","flag prime",2.75,"include"
"1433",2472724,"luc","no prime",3.75,"include"
"1434",2472803,"luc","no prime",3.375,"include"
"1435",2472847,"luc","flag prime",3,"include"
"1436",2472871,"luc","no prime",3.375,"include"
"1437",2473592,"luc","flag prime",2.75,"include"
"1438",2473867,"luc","no prime",3,"include"
"1439",2473958,"luc","no prime",3.375,"include"
"1440",2473963,"luc","no prime",3.75,"include"
"1441",2474074,"luc","flag prime",2.625,"include"
"1442",2474078,"luc","no prime",3.375,"include"
"1443",2474085,"luc","flag prime",2,"include"
"1444",2474087,"luc","flag prime",4,"include"
"1445",2474142,"luc","flag prime",1.875,"include"
"1446",2474145,"luc","flag prime",3.625,"include"
"1447",2482189,"luc","flag prime",2.875,"include"
"1448",2482407,"luc","no prime",2.25,"include"
"1449",2482414,"luc","no prime",3.75,"include"
"1450",2482597,"luc","flag prime",2.875,"include"
"1451",2482607,"luc","no prime",3,"include"
"1452",2482937,"luc","flag prime",4.625,"include"
"1453",2482938,"luc","no prime",3,"include"
"1454",2482939,"luc","no prime",3.42857142857143,"include"
"1455",2482940,"luc","flag prime",1.25,"include"
"1456",2482943,"luc","no prime",2.25,"include"
"1457",2482948,"luc","flag prime",3.125,"include"
"1458",2483015,"luc","no prime",3.625,"include"
"1459",2483016,"luc","flag prime",3,"include"
"1460",2483025,"luc","flag prime",2.5,"include"
"1461",2485100,"luc","flag prime",3.375,"include"
"1462",2485116,"luc","flag prime",3.5,"include"
"1463",2485124,"luc","flag prime",2.5,"include"
"1464",2485126,"luc","flag prime",3.25,"include"
"1465",2485131,"luc","flag prime",3.375,"include"
"1466",2485209,"luc","no prime",1.25,"include"
"1467",2485211,"luc","flag prime",1.75,"include"
"1468",2485214,"luc","flag prime",3.5,"include"
"1469",2485217,"luc","no prime",3.125,"include"
"1470",2485220,"luc","flag prime",2.75,"include"
"1471",2485330,"luc","no prime",1.875,"include"
"1472",2485341,"luc","flag prime",3,"include"
"1473",2485430,"luc","flag prime",4.75,"include"
"1474",2486251,"luc","flag prime",3,"include"
"1475",2486475,"luc","flag prime",4.125,"include"
"1476",2486827,"luc","no prime",3.125,"include"
"1477",2487052,"luc","flag prime",3.25,"include"
"1478",2487127,"luc","no prime",3,"include"
"1479",2490201,"luc","flag prime",3.875,"include"
"1480",2490205,"luc","no prime",3.875,"include"
"1481",2490444,"luc","no prime",3.125,"include"
"1482",2490448,"luc","flag prime",5.375,"include"
"1483",2490694,"luc","no prime",3,"include"
"1484",2490695,"luc","flag prime",4,"include"
"1485",2490700,"luc","flag prime",4,"include"
"1486",2491069,"luc","flag prime",2.125,"include"
"1487",2492314,"luc","no prime",3.75,"include"
"1488",2492445,"luc","no prime",2.75,"include"
"1489",2492459,"luc","no prime",5.375,"include"
"1490",2492856,"luc","flag prime",2.125,"include"
"1491",2492865,"luc","flag prime",1.875,"include"
"1492",2492867,"luc","flag prime",3.5,"include"
"1493",2492869,"luc","no prime",2.625,"include"
