"","session_id","referrer","flagGroup","flagdv","flagfilter"
"2677",2461191,"osu","flag prime",3.25,"include"
"2678",2461193,"osu","flag prime",3.125,"include"
"2679",2461194,"osu","no prime",3.25,"include"
"2680",2461196,"osu","flag prime",3.125,"include"
"2681",2461197,"osu","flag prime",3.5,"include"
"2682",2461198,"osu","flag prime",3.875,"include"
"2683",2461201,"osu","no prime",2.625,"include"
"2684",2461202,"osu","no prime",2.875,"include"
"2687",2461208,"osu","no prime",2.75,"include"
"2688",2461212,"osu","flag prime",3.375,"include"
"2689",2461217,"osu","flag prime",4.125,"include"
"2692",2461225,"osu","flag prime",3,"include"
"2693",2461226,"osu","no prime",5.875,"include"
"2694",2461231,"osu","no prime",3.57142857142857,"include"
"2696",2461236,"osu","no prime",3.375,"include"
"2697",2461292,"osu","no prime",3.875,"include"
"2698",2461298,"osu","flag prime",3.75,"include"
"2699",2461299,"osu","no prime",4.375,"include"
"2700",2461308,"osu","no prime",3.5,"include"
"2701",2461309,"osu","flag prime",2.875,"include"
"2702",2461310,"osu","no prime",3.375,"include"
"2703",2461311,"osu","no prime",4.25,"include"
"2704",2461316,"osu","no prime",3.125,"include"
"2705",2461319,"osu","no prime",3.875,"include"
"2706",2461321,"osu","flag prime",4.75,"include"
"2707",2461327,"osu","no prime",5,"include"
"2708",2461330,"osu","no prime",3.42857142857143,"include"
"2709",2461333,"osu","flag prime",3.625,"include"
"2710",2461334,"osu","flag prime",4.25,"include"
"2711",2461335,"osu","no prime",2.5,"include"
"2712",2461338,"osu","no prime",3.375,"include"
"2713",2461340,"osu","flag prime",5.5,"include"
"2714",2461341,"osu","no prime",4,"include"
"2715",2461342,"osu","no prime",3.75,"include"
"2716",2461343,"osu","no prime",3.25,"include"
"2717",2461476,"osu","no prime",3.33333333333333,"include"
"2718",2461477,"osu","flag prime",4.25,"include"
"2719",2461479,"osu","no prime",1.875,"include"
"2720",2461481,"osu","no prime",3,"include"
"2721",2461487,"osu","flag prime",2.5,"include"
"2722",2461488,"osu","no prime",4.25,"include"
"2723",2461489,"osu","flag prime",2.875,"include"
"2724",2461491,"osu","flag prime",3.375,"include"
"2725",2461492,"osu","no prime",2.75,"include"
"2726",2461495,"osu","no prime",2.625,"include"
"2727",2461497,"osu","no prime",2.57142857142857,"include"
"2728",2461499,"osu","flag prime",3,"include"
"2729",2461500,"osu","no prime",3.75,"include"
"2730",2461503,"osu","flag prime",3.5,"include"
"2731",2461504,"osu","no prime",3.375,"include"
"2732",2461505,"osu","flag prime",3.57142857142857,"include"
"2733",2461510,"osu","flag prime",4.125,"include"
"2734",2461512,"osu","flag prime",2.75,"include"
"2735",2461513,"osu","no prime",2.75,"include"
"2736",2461518,"osu","flag prime",4.875,"include"
"2738",2461524,"osu","no prime",2.75,"include"
"2739",2461532,"osu","no prime",3.5,"include"
"2740",2461645,"osu","no prime",5.875,"include"
"2741",2461650,"osu","no prime",3.125,"include"
"2743",2461656,"osu","flag prime",1.5,"include"
"2744",2461657,"osu","no prime",3,"include"
"2745",2461659,"osu","no prime",3.125,"include"
"2746",2461661,"osu","no prime",3.25,"include"
"2747",2461663,"osu","no prime",2.75,"include"
"2748",2461664,"osu","no prime",4.25,"include"
"2749",2461666,"osu","no prime",4.71428571428571,"include"
"2750",2461668,"osu","flag prime",4.75,"include"
"2751",2461672,"osu","flag prime",5.625,"include"
"2752",2461673,"osu","no prime",3,"include"
"2753",2461674,"osu","no prime",3.125,"include"
"2754",2461676,"osu","no prime",3.25,"include"
"2755",2461685,"osu","no prime",3.875,"include"
"2757",2461690,"osu","no prime",1.875,"include"
"2758",2461693,"osu","flag prime",4.125,"include"
"2759",2461706,"osu","no prime",2.375,"include"
"2760",2461707,"osu","no prime",3,"include"
"2761",2461710,"osu","no prime",3.625,"include"
"2762",2461828,"osu","flag prime",2.875,"include"
"2763",2461831,"osu","flag prime",4.14285714285714,"include"
"2764",2461832,"osu","no prime",3.875,"include"
"2765",2461834,"osu","flag prime",3.75,"include"
"2766",2461837,"osu","no prime",3.75,"include"
"2768",2461848,"osu","no prime",2.5,"include"
"2769",2461849,"osu","no prime",1.625,"include"
"2770",2461852,"osu","flag prime",3.25,"include"
"2771",2461855,"osu","no prime",5.875,"include"
"2772",2461856,"osu","no prime",2.625,"include"
"2773",2461858,"osu","no prime",2.125,"include"
"2775",2461861,"osu","flag prime",3.375,"include"
"2776",2461864,"osu","no prime",4.25,"include"
"2777",2461865,"osu","no prime",3.75,"include"
"2778",2461867,"osu","no prime",2.625,"include"
"2779",2461868,"osu","no prime",2.125,"include"
"2780",2461870,"osu","flag prime",2.5,"include"
"2781",2461876,"osu","no prime",3.25,"include"
"2782",2461880,"osu","flag prime",2.875,"include"
"2783",2461925,"osu","no prime",2.375,"include"
