"","session_id","referrer","flagGroup","flagdv","flagfilter"
"5117",2399681,"tamuc","flag prime",5,"include"
"5118",2399926,"tamuc","flag prime",4.875,"include"
"5119",2399928,"tamuc","no prime",2.875,"include"
"5120",2403003,"tamuc","no prime",4.375,"include"
"5121",2407135,"tamuc","flag prime",4,"include"
"5122",2407136,"tamuc","flag prime",4.625,"include"
"5123",2407234,"tamuc","no prime",4.875,"include"
"5124",2407235,"tamuc","no prime",1.75,"include"
"5125",2407299,"tamuc","flag prime",1.875,"include"
"5126",2407300,"tamuc","no prime",2,"include"
"5127",2407336,"tamuc","no prime",1.75,"include"
"5128",2407384,"tamuc","no prime",3.125,"include"
"5129",2407385,"tamuc","no prime",1.875,"include"
"5130",2407447,"tamuc","no prime",4.375,"include"
"5131",2407561,"tamuc","flag prime",3.25,"include"
"5132",2407741,"tamuc","flag prime",2,"include"
"5133",2407755,"tamuc","flag prime",3.875,"include"
"5134",2407820,"tamuc","flag prime",3.25,"include"
"5135",2413282,"tamuc","flag prime",3.5,"include"
"5136",2413487,"tamuc","flag prime",3.875,"include"
"5137",2413488,"tamuc","no prime",5.375,"include"
"5138",2413530,"tamuc","flag prime",3.5,"include"
"5139",2413538,"tamuc","flag prime",5.5,"include"
"5140",2413602,"tamuc","no prime",4.625,"include"
"5141",2418551,"tamuc","no prime",3.5,"include"
"5142",2418639,"tamuc","flag prime",2.5,"include"
"5144",2419124,"tamuc","flag prime",2.625,"include"
"5145",2419734,"tamuc","no prime",4.75,"include"
"5146",2421330,"tamuc","no prime",3.125,"include"
"5147",2421334,"tamuc","no prime",3,"include"
"5148",2421597,"tamuc","flag prime",3,"include"
"5149",2421912,"tamuc","no prime",3.25,"include"
"5150",2421973,"tamuc","flag prime",2.625,"include"
"5151",2422109,"tamuc","flag prime",5.75,"include"
"5152",2422197,"tamuc","flag prime",4,"include"
"5153",2431092,"tamuc","flag prime",3.625,"include"
"5154",2431099,"tamuc","flag prime",3.125,"include"
"5155",2431108,"tamuc","no prime",4.125,"include"
"5156",2431295,"tamuc","no prime",2.75,"include"
"5157",2431299,"tamuc","no prime",3.625,"include"
"5158",2435426,"tamuc","no prime",4.125,"include"
"5159",2435447,"tamuc","no prime",5.375,"include"
"5160",2435535,"tamuc","no prime",3.625,"include"
"5161",2435536,"tamuc","flag prime",2.5,"include"
"5162",2435776,"tamuc","flag prime",3,"include"
"5163",2436000,"tamuc","flag prime",4,"include"
"5164",2439220,"tamuc","flag prime",3.625,"include"
"5165",2439240,"tamuc","flag prime",4.625,"include"
"5166",2439609,"tamuc","no prime",5.125,"include"
"5167",2439616,"tamuc","no prime",3.125,"include"
"5168",2439786,"tamuc","flag prime",5.625,"include"
"5169",2439881,"tamuc","no prime",3.25,"include"
"5170",2447652,"tamuc","no prime",3.375,"include"
"5171",2447655,"tamuc","flag prime",2.5,"include"
"5172",2447659,"tamuc","no prime",2,"include"
"5173",2447725,"tamuc","no prime",2.625,"include"
"5174",2447884,"tamuc","flag prime",3.25,"include"
"5175",2447939,"tamuc","no prime",3,"include"
"5176",2451690,"tamuc","flag prime",5.25,"include"
"5177",2451783,"tamuc","flag prime",4.25,"include"
"5178",2451969,"tamuc","flag prime",3.125,"include"
"5179",2452210,"tamuc","flag prime",3.875,"include"
"5180",2453958,"tamuc","flag prime",6,"include"
"5181",2454051,"tamuc","no prime",4,"include"
"5182",2454120,"tamuc","flag prime",5,"include"
"5183",2454221,"tamuc","no prime",3.625,"include"
"5184",2454507,"tamuc","flag prime",3.875,"include"
"5185",2454552,"tamuc","flag prime",3.5,"include"
"5186",2462073,"tamuc","flag prime",5,"include"
"5187",2465510,"tamuc","flag prime",3.5,"include"
"5188",2465566,"tamuc","no prime",3,"include"
"5189",2465576,"tamuc","flag prime",4.125,"include"
"5190",2468144,"tamuc","no prime",2.875,"include"
"5191",2468148,"tamuc","no prime",4.625,"include"
"5192",2468150,"tamuc","no prime",4,"include"
"5193",2469540,"tamuc","flag prime",3.125,"include"
"5194",2469559,"tamuc","no prime",4,"include"
"5195",2471966,"tamuc","flag prime",4.25,"include"
"5196",2472110,"tamuc","flag prime",3.375,"include"
"5197",2472188,"tamuc","flag prime",2.375,"include"
"5198",2472191,"tamuc","flag prime",4.25,"include"
"5199",2472279,"tamuc","no prime",4.375,"include"
"5200",2472316,"tamuc","flag prime",4.625,"include"
"5201",2472362,"tamuc","no prime",2.75,"include"
"5202",2472396,"tamuc","flag prime",3.25,"include"
"5203",2472517,"tamuc","flag prime",3.875,"include"
