"","session_id","referrer","flagGroup","flagdv","flagfilter"
"5861",2448165,"vcu","no prime",3.875,"include"
"5862",2451793,"vcu","flag prime",4,"include"
"5863",2451903,"vcu","no prime",3.375,"include"
"5864",2451987,"vcu","no prime",2.625,"include"
"5865",2457829,"vcu","flag prime",1.25,"include"
"5866",2458789,"vcu","no prime",3.75,"include"
"5867",2458795,"vcu","flag prime",3.5,"include"
"5868",2458799,"vcu","flag prime",2.125,"include"
"5869",2458838,"vcu","flag prime",3,"include"
"5870",2458840,"vcu","flag prime",3,"include"
"5871",2458846,"vcu","flag prime",3,"include"
"5872",2458891,"vcu","no prime",3.25,"include"
"5873",2458896,"vcu","no prime",3.375,"include"
"5874",2458907,"vcu","no prime",3.5,"include"
"5875",2458917,"vcu","no prime",3.25,"include"
"5876",2458939,"vcu","no prime",2.125,"include"
"5877",2458963,"vcu","flag prime",3.25,"include"
"5878",2458993,"vcu","no prime",4,"include"
"5879",2459055,"vcu","flag prime",1.375,"include"
"5880",2459062,"vcu","no prime",2.25,"include"
"5881",2459110,"vcu","no prime",2.75,"include"
"5882",2461604,"vcu","no prime",3.875,"include"
"5883",2461607,"vcu","flag prime",2.75,"include"
"5884",2461614,"vcu","no prime",3.25,"include"
"5885",2461714,"vcu","flag prime",1.5,"include"
"5886",2461716,"vcu","no prime",3.625,"include"
"5887",2465635,"vcu","no prime",2.375,"include"
"5888",2465638,"vcu","flag prime",3.375,"include"
"5889",2465639,"vcu","no prime",2.375,"include"
"5890",2465710,"vcu","flag prime",2.75,"include"
"5891",2465711,"vcu","flag prime",2.75,"include"
"5892",2465713,"vcu","flag prime",1.75,"include"
"5893",2465756,"vcu","flag prime",3,"include"
"5894",2465758,"vcu","flag prime",3.5,"include"
"5895",2465793,"vcu","flag prime",2.875,"include"
"5896",2465826,"vcu","no prime",2.75,"include"
"5897",2465946,"vcu","flag prime",5.25,"include"
"5898",2467333,"vcu","no prime",3.14285714285714,"include"
"5899",2467427,"vcu","no prime",5,"include"
"5901",2472268,"vcu","flag prime",5.375,"include"
"5902",2472270,"vcu","no prime",2.75,"include"
"5903",2472311,"vcu","no prime",3.875,"include"
"5904",2472313,"vcu","no prime",2.75,"include"
"5905",2472314,"vcu","flag prime",3,"include"
"5906",2472424,"vcu","flag prime",3.625,"include"
"5907",2472454,"vcu","flag prime",2.75,"include"
"5908",2472461,"vcu","no prime",2.375,"include"
"5909",2472484,"vcu","flag prime",2.125,"include"
"5910",2472527,"vcu","no prime",3.625,"include"
"5911",2472533,"vcu","no prime",4.125,"include"
"5912",2473443,"vcu","flag prime",2.375,"include"
"5913",2473491,"vcu","flag prime",4.125,"include"
"5914",2473628,"vcu","no prime",3,"include"
"5915",2473629,"vcu","no prime",3.25,"include"
"5916",2473630,"vcu","flag prime",4.25,"include"
"5917",2477381,"vcu","no prime",2.5,"include"
"5918",2477384,"vcu","no prime",3.625,"include"
"5919",2477392,"vcu","no prime",3.125,"include"
"5920",2477407,"vcu","no prime",3.625,"include"
"5921",2477432,"vcu","no prime",4.875,"include"
"5922",2477481,"vcu","no prime",3.375,"include"
"5923",2477552,"vcu","no prime",2.5,"include"
"5924",2477553,"vcu","flag prime",5.375,"include"
"5925",2477608,"vcu","flag prime",3,"include"
"5926",2479419,"vcu","flag prime",2.625,"include"
"5927",2479456,"vcu","no prime",2.75,"include"
"5928",2479459,"vcu","no prime",3.375,"include"
"5929",2479461,"vcu","flag prime",3.5,"include"
"5930",2479491,"vcu","flag prime",2.75,"include"
"5931",2479492,"vcu","flag prime",2.14285714285714,"include"
"5932",2479551,"vcu","flag prime",4,"include"
"5933",2479552,"vcu","flag prime",4.25,"include"
"5934",2479556,"vcu","flag prime",1.71428571428571,"include"
"5935",2479606,"vcu","flag prime",4,"include"
"5936",2479607,"vcu","no prime",2.375,"include"
"5937",2479610,"vcu","flag prime",3.25,"include"
"5938",2484393,"vcu","flag prime",3.375,"include"
"5939",2484394,"vcu","flag prime",4.375,"include"
"5940",2484409,"vcu","no prime",3.25,"include"
"5941",2484479,"vcu","flag prime",3.25,"include"
"5942",2484583,"vcu","flag prime",2.5,"include"
"5943",2484584,"vcu","flag prime",2.875,"include"
"5944",2484605,"vcu","flag prime",3.5,"include"
"5946",2484821,"vcu","flag prime",2.875,"include"
"5947",2484823,"vcu","no prime",2.5,"include"
"5948",2486359,"vcu","flag prime",3,"include"
"5949",2486360,"vcu","no prime",2.75,"include"
"5950",2486471,"vcu","no prime",2.75,"include"
"5951",2486800,"vcu","no prime",4.5,"include"
"5952",2486813,"vcu","flag prime",4.5,"include"
"5954",2486838,"vcu","flag prime",2.5,"include"
"5955",2486843,"vcu","flag prime",2.375,"include"
"5956",2490264,"vcu","no prime",2,"include"
"5957",2490265,"vcu","flag prime",1.875,"include"
"5958",2490268,"vcu","flag prime",3.375,"include"
"5959",2490275,"vcu","flag prime",2.75,"include"
"5960",2490276,"vcu","no prime",3,"include"
"5961",2490281,"vcu","no prime",2.85714285714286,"include"
"5962",2490326,"vcu","no prime",3.5,"include"
"5963",2490327,"vcu","no prime",3.375,"include"
"5964",2490328,"vcu","no prime",3,"include"
"5965",2490371,"vcu","no prime",4.25,"include"
"5966",2490398,"vcu","no prime",2.375,"include"
"5967",2492269,"vcu","no prime",2.125,"include"
"5968",2492270,"vcu","flag prime",3.28571428571429,"include"
