"","session_id","referrer","ContactGroup","Imagineddv"
"205",2430718,"charles","Contact group",5.25
"206",2430722,"charles","Contact group",5.5
"207",2430809,"charles","Control group",6
"208",2430815,"charles","Control group",5.25
"209",2430817,"charles","Control group",5.25
"210",2458124,"charles","Contact group",6.25
"211",2458125,"charles","Control group",4.25
"212",2458127,"charles","Contact group",2.25
"213",2458128,"charles","Contact group",4
"214",2458129,"charles","Control group",5
"215",2458130,"charles","Contact group",4
"216",2458136,"charles","Contact group",2.25
"217",2458138,"charles","Contact group",6.75
"218",2458139,"charles","Control group",4.5
"219",2458156,"charles","Contact group",4.5
"220",2458158,"charles","Control group",6.5
"221",2458159,"charles","Contact group",6
"222",2458160,"charles","Contact group",2.25
"223",2458161,"charles","Contact group",6.5
"224",2458162,"charles","Contact group",6.75
"225",2458165,"charles","Contact group",5.25
"226",2458168,"charles","Contact group",4.25
"227",2458193,"charles","Contact group",6.25
"228",2458195,"charles","Contact group",3.5
"229",2458197,"charles","Contact group",4
"230",2458198,"charles","Control group",3
"231",2458200,"charles","Contact group",3.25
"232",2458202,"charles","Contact group",5
"233",2467052,"charles","Contact group",5
"234",2467053,"charles","Control group",3
"235",2467054,"charles","Control group",2.25
"236",2467055,"charles","Control group",2.75
"237",2467057,"charles","Control group",6
"238",2467058,"charles","Contact group",4.5
"239",2467059,"charles","Contact group",6
"240",2469642,"charles","Contact group",2
"241",2469646,"charles","Control group",5.75
"242",2469648,"charles","Contact group",5
"243",2469799,"charles","Control group",5.25
"244",2469803,"charles","Control group",6
"245",2469810,"charles","Contact group",6
"246",2469814,"charles","Contact group",4.75
"247",2469821,"charles","Control group",4.5
"248",2469823,"charles","Contact group",7
"249",2469829,"charles","Contact group",5.5
"250",2469833,"charles","Contact group",4.25
"251",2471619,"charles","Control group",6
"252",2471620,"charles","Control group",5
"253",2471621,"charles","Contact group",7.5
"254",2471623,"charles","Control group",3.75
"255",2471626,"charles","Contact group",3.25
"256",2471628,"charles","Contact group",1.75
"257",2478671,"charles","Contact group",5.5
"258",2478675,"charles","Control group",2.25
"259",2478695,"charles","Control group",3.5
"260",2478696,"charles","Control group",2.5
"261",2478697,"charles","Contact group",5.5
"262",2481659,"charles","Contact group",1.5
"263",2481660,"charles","Contact group",4
"264",2481672,"charles","Control group",5
"265",2481673,"charles","Contact group",7.5
"266",2481674,"charles","Contact group",5.25
"267",2481677,"charles","Control group",4.25
"268",2481691,"charles","Contact group",2.75
"269",2481697,"charles","Control group",6.25
"270",2481698,"charles","Contact group",1.75
"271",2481708,"charles","Control group",5
"272",2481827,"charles","Contact group",3.25
"273",2481828,"charles","Contact group",4
"274",2481830,"charles","Control group",4.75
"275",2481831,"charles","Control group",6.5
"276",2481833,"charles","Control group",5.5
"277",2481834,"charles","Control group",3
"278",2483864,"charles","Control group",4.75
"279",2483865,"charles","Control group",5
"280",2483867,"charles","Contact group",5.5
"281",2483869,"charles","Control group",4.25
"282",2483875,"charles","Contact group",5.75
"283",2483877,"charles","Contact group",2.5
"284",2484010,"charles","Control group",3.75
"285",2484011,"charles","Control group",8
"286",2484012,"charles","Contact group",7.25
"287",2484013,"charles","Contact group",5.25
"288",2484014,"charles","Contact group",5.75
