"","session_id","referrer","ContactGroup","Imagineddv"
"289",2457210,"conncoll","Contact group",7
"290",2457211,"conncoll","Contact group",5.75
"291",2457212,"conncoll","Control group",1
"292",2457217,"conncoll","Contact group",1.25
"293",2457219,"conncoll","Contact group",6.5
"294",2457222,"conncoll","Contact group",4.5
"295",2457223,"conncoll","Control group",4.5
"296",2457225,"conncoll","Control group",4.5
"297",2457226,"conncoll","Contact group",4.25
"298",2457230,"conncoll","Control group",6
"299",2457231,"conncoll","Control group",1.75
"300",2457233,"conncoll","Control group",5.25
"301",2457237,"conncoll","Control group",6.25
"302",2457239,"conncoll","Contact group",7.75
"303",2457241,"conncoll","Control group",5.5
"304",2457242,"conncoll","Contact group",6
"305",2457247,"conncoll","Contact group",8.25
"306",2457266,"conncoll","Control group",4
"307",2457376,"conncoll","Control group",6.5
"308",2457377,"conncoll","Control group",2.75
"309",2457395,"conncoll","Contact group",8.5
"310",2457410,"conncoll","Contact group",8
"311",2457483,"conncoll","Control group",4.5
"312",2457484,"conncoll","Control group",4.5
"313",2457485,"conncoll","Control group",3.75
"314",2457486,"conncoll","Control group",1.75
"315",2457487,"conncoll","Control group",6.25
"316",2457489,"conncoll","Contact group",4
"317",2457490,"conncoll","Control group",6.75
"318",2457492,"conncoll","Control group",6.5
"319",2457497,"conncoll","Contact group",7
"320",2457498,"conncoll","Control group",7.5
"321",2457706,"conncoll","Contact group",3.75
"322",2457712,"conncoll","Control group",9
"323",2457722,"conncoll","Contact group",5.75
"324",2457723,"conncoll","Contact group",8
"325",2457724,"conncoll","Contact group",6.75
"326",2457725,"conncoll","Contact group",3.5
"327",2457726,"conncoll","Contact group",8
"328",2457727,"conncoll","Control group",5.75
"329",2457728,"conncoll","Control group",4.25
"330",2457730,"conncoll","Contact group",6
"331",2457731,"conncoll","Control group",4.5
"332",2457732,"conncoll","Control group",4.25
"333",2457733,"conncoll","Control group",5.25
"334",2457734,"conncoll","Control group",4.75
"335",2457735,"conncoll","Contact group",4
"336",2457736,"conncoll","Control group",6
"337",2457737,"conncoll","Control group",3.25
"338",2457738,"conncoll","Control group",5.25
"339",2459368,"conncoll","Control group",6.75
"340",2459414,"conncoll","Control group",6.75
"341",2459417,"conncoll","Contact group",3.5
"342",2459418,"conncoll","Contact group",5.5
"343",2459420,"conncoll","Control group",5.75
"344",2459421,"conncoll","Contact group",6.25
"345",2459422,"conncoll","Contact group",5
"346",2459423,"conncoll","Contact group",3.75
"347",2459425,"conncoll","Control group",4.5
"348",2459427,"conncoll","Contact group",1.25
"349",2459429,"conncoll","Control group",6.5
"350",2459430,"conncoll","Contact group",6.75
"351",2459434,"conncoll","Contact group",3.5
"352",2459436,"conncoll","Control group",2.25
"353",2459439,"conncoll","Control group",5.25
"354",2459458,"conncoll","Control group",2
"355",2459547,"conncoll","Contact group",3.25
"356",2459550,"conncoll","Contact group",3.75
"357",2459551,"conncoll","Contact group",6.5
"358",2459553,"conncoll","Control group",2.5
"359",2459554,"conncoll","Contact group",5.25
"360",2459555,"conncoll","Contact group",6.75
"361",2459556,"conncoll","Contact group",6.75
"362",2459557,"conncoll","Control group",8
"363",2459558,"conncoll","Contact group",6
"364",2459560,"conncoll","Contact group",7
"365",2459562,"conncoll","Contact group",5
"366",2459567,"conncoll","Control group",3.5
"367",2459568,"conncoll","Contact group",4.5
"368",2459575,"conncoll","Control group",8.25
"369",2459709,"conncoll","Control group",5.75
"370",2459710,"conncoll","Control group",3.25
"371",2459711,"conncoll","Control group",5.75
"372",2459712,"conncoll","Control group",5.25
"373",2459714,"conncoll","Contact group",3.25
"374",2459715,"conncoll","Control group",4
"375",2459716,"conncoll","Contact group",5
"376",2459718,"conncoll","Contact group",3.5
"377",2459720,"conncoll","Contact group",3.75
"378",2459721,"conncoll","Control group",5.75
"379",2459722,"conncoll","Control group",6.75
"380",2459723,"conncoll","Control group",4
"381",2459724,"conncoll","Contact group",3
"382",2459727,"conncoll","Contact group",6.75
"383",2459730,"conncoll","Contact group",6.5
