"","session_id","referrer","ContactGroup","Imagineddv"
"5117",2399681,"tamuc","Control group",6.75
"5118",2399926,"tamuc","Contact group",5
"5119",2399928,"tamuc","Control group",4.75
"5120",2403003,"tamuc","Contact group",3
"5121",2407135,"tamuc","Control group",6.25
"5122",2407136,"tamuc","Control group",5.5
"5123",2407234,"tamuc","Contact group",3
"5124",2407235,"tamuc","Control group",3.5
"5125",2407299,"tamuc","Contact group",5.5
"5126",2407300,"tamuc","Control group",8.5
"5127",2407336,"tamuc","Control group",8.25
"5128",2407384,"tamuc","Control group",4.75
"5129",2407385,"tamuc","Contact group",4.25
"5130",2407447,"tamuc","Contact group",1.25
"5131",2407561,"tamuc","Contact group",5.5
"5132",2407741,"tamuc","Control group",5
"5133",2407755,"tamuc","Control group",3
"5134",2407820,"tamuc","Contact group",3.75
"5135",2413282,"tamuc","Contact group",7.5
"5136",2413487,"tamuc","Control group",4.25
"5137",2413488,"tamuc","Control group",7
"5138",2413530,"tamuc","Control group",4
"5139",2413538,"tamuc","Control group",1.5
"5140",2413602,"tamuc","Control group",4
"5141",2418551,"tamuc","Control group",8.5
"5142",2418639,"tamuc","Contact group",5
"5143",2418798,"tamuc","Contact group",6
"5144",2419124,"tamuc","Control group",9
"5145",2419734,"tamuc","Control group",3.75
"5146",2421330,"tamuc","Control group",3.75
"5147",2421334,"tamuc","Contact group",6.25
"5148",2421597,"tamuc","Control group",5.5
"5149",2421912,"tamuc","Contact group",5.75
"5150",2421973,"tamuc","Control group",3.75
"5151",2422109,"tamuc","Control group",1
"5152",2422197,"tamuc","Contact group",2.25
"5153",2431092,"tamuc","Control group",3.25
"5154",2431099,"tamuc","Contact group",3
"5155",2431108,"tamuc","Contact group",3.25
"5156",2431295,"tamuc","Control group",8.75
"5157",2431299,"tamuc","Control group",3.5
"5158",2435426,"tamuc","Control group",1
"5159",2435447,"tamuc","Control group",3.75
"5160",2435535,"tamuc","Control group",2
"5161",2435536,"tamuc","Contact group",7.5
"5162",2435776,"tamuc","Contact group",5.5
"5163",2436000,"tamuc","Contact group",2
"5164",2439220,"tamuc","Contact group",3.5
"5165",2439240,"tamuc","Contact group",4.75
"5166",2439609,"tamuc","Control group",3.25
"5167",2439616,"tamuc","Control group",6
"5168",2439786,"tamuc","Contact group",1.75
"5169",2439881,"tamuc","Contact group",2
"5170",2447652,"tamuc","Control group",3
"5171",2447655,"tamuc","Control group",6.75
"5172",2447659,"tamuc","Control group",6.5
"5173",2447725,"tamuc","Contact group",7
"5174",2447884,"tamuc","Control group",4.25
"5175",2447939,"tamuc","Control group",2.25
"5176",2451690,"tamuc","Contact group",5
"5177",2451783,"tamuc","Contact group",2.5
"5178",2451969,"tamuc","Control group",1.75
"5179",2452210,"tamuc","Control group",1.75
"5180",2453958,"tamuc","Contact group",3.25
"5181",2454051,"tamuc","Control group",6.5
"5182",2454120,"tamuc","Control group",7
"5183",2454221,"tamuc","Control group",5.5
"5184",2454507,"tamuc","Contact group",4.75
"5185",2454552,"tamuc","Contact group",6.75
"5186",2462073,"tamuc","Contact group",3
"5187",2465510,"tamuc","Contact group",3.5
"5188",2465566,"tamuc","Control group",3.75
"5189",2465576,"tamuc","Contact group",3.5
"5190",2468144,"tamuc","Contact group",4.5
"5191",2468148,"tamuc","Control group",3.75
"5192",2468150,"tamuc","Control group",1
"5193",2469540,"tamuc","Control group",6.5
"5194",2469559,"tamuc","Contact group",6.5
"5195",2471966,"tamuc","Contact group",4
"5196",2472110,"tamuc","Contact group",3.5
"5197",2472188,"tamuc","Control group",2.75
"5198",2472191,"tamuc","Control group",4.5
"5199",2472279,"tamuc","Control group",5.5
"5200",2472316,"tamuc","Control group",5
"5201",2472362,"tamuc","Contact group",7.5
"5202",2472396,"tamuc","Control group",3.25
"5203",2472517,"tamuc","Control group",5.75
