"","session_id","referrer","ContactGroup","Imagineddv"
"1",2400853,"abington","Contact group",7
"2",2400856,"abington","Contact group",4
"3",2400860,"abington","Control group",3.5
"4",2400868,"abington","Control group",4.5
"5",2400872,"abington","Control group",1.5
"6",2400914,"abington","Control group",4.75
"7",2400916,"abington","Contact group",4
"8",2400925,"abington","Contact group",3
"9",2400934,"abington","Contact group",8
"10",2407192,"abington","Contact group",2.75
"11",2407222,"abington","Contact group",5.5
"12",2407225,"abington","Contact group",5.25
"13",2407227,"abington","Control group",5.25
"14",2407268,"abington","Control group",6
"15",2407271,"abington","Control group",8
"16",2407288,"abington","Contact group",3.75
"17",2407289,"abington","Contact group",3.5
"18",2407335,"abington","Contact group",5
"19",2407367,"abington","Control group",1
"20",2407368,"abington","Contact group",7.75
"21",2407369,"abington","Control group",5.75
"22",2407370,"abington","Control group",4.25
"23",2407373,"abington","Contact group",4.75
"24",2407395,"abington","Contact group",5.25
"25",2407403,"abington","Contact group",3.5
"26",2407404,"abington","Contact group",5.75
"27",2407405,"abington","Control group",3.25
"28",2407407,"abington","Control group",4.25
"29",2407412,"abington","Contact group",2.5
"30",2407864,"abington","Contact group",3.5
"31",2407866,"abington","Contact group",2.75
"32",2407983,"abington","Contact group",6.5
"33",2407987,"abington","Control group",6
"34",2408017,"abington","Contact group",4.25
"35",2408033,"abington","Contact group",2.75
"36",2408059,"abington","Contact group",4.5
"37",2408084,"abington","Control group",1.5
"38",2409135,"abington","Contact group",4.25
"39",2409137,"abington","Contact group",5
"40",2409138,"abington","Contact group",1.25
"41",2409144,"abington","Contact group",6.25
"42",2409145,"abington","Control group",7.25
"43",2409147,"abington","Contact group",2.25
"44",2409150,"abington","Contact group",6
"45",2409203,"abington","Control group",3.75
"46",2409204,"abington","Contact group",3
"47",2409209,"abington","Control group",5.5
"48",2409214,"abington","Control group",2.75
"49",2409217,"abington","Contact group",1.25
"50",2409255,"abington","Contact group",5
"51",2409256,"abington","Control group",2.75
"52",2409259,"abington","Control group",4.5
"53",2409260,"abington","Control group",6.5
"54",2409264,"abington","Contact group",3.25
"55",2409552,"abington","Contact group",8
"56",2409555,"abington","Control group",2
"57",2409556,"abington","Control group",3
"58",2409603,"abington","Contact group",3.5
"59",2409605,"abington","Control group",2
"60",2409606,"abington","Contact group",5.25
"61",2409607,"abington","Contact group",5.75
"62",2410995,"abington","Control group",6.25
"63",2410997,"abington","Contact group",4.75
"64",2411137,"abington","Contact group",4
"65",2411191,"abington","Contact group",6.5
"66",2411192,"abington","Control group",5
"67",2411195,"abington","Contact group",6.25
"68",2411198,"abington","Control group",9
"69",2411199,"abington","Control group",7.5
"70",2411202,"abington","Control group",6
"71",2411203,"abington","Control group",5.5
"72",2411204,"abington","Control group",9
"73",2411205,"abington","Contact group",8.25
"74",2411301,"abington","Control group",3
"75",2411308,"abington","Control group",7
"76",2411379,"abington","Contact group",2.75
"77",2411382,"abington","Contact group",5
"78",2411384,"abington","Control group",4.75
"79",2411385,"abington","Contact group",9
"80",2411395,"abington","Contact group",7.25
"81",2411401,"abington","Contact group",6.25
"82",2411402,"abington","Contact group",8.75
"83",2411443,"abington","Contact group",8.5
"84",2411445,"abington","Contact group",8
