"","session_id","referrer","ContactGroup","Imagineddv"
"672",2419021,"jmu","Contact group",1.75
"673",2419031,"jmu","Control group",7
"674",2419039,"jmu","Contact group",2.75
"675",2419118,"jmu","Control group",4.5
"676",2419123,"jmu","Contact group",6.75
"677",2419126,"jmu","Contact group",6.75
"678",2419136,"jmu","Control group",5.5
"679",2419214,"jmu","Control group",3.75
"680",2419302,"jmu","Control group",2.75
"681",2419308,"jmu","Contact group",3.5
"682",2419313,"jmu","Contact group",4.25
"683",2419389,"jmu","Control group",4
"684",2419391,"jmu","Control group",5
"685",2419455,"jmu","Contact group",8.5
"686",2419461,"jmu","Contact group",4.5
"687",2419527,"jmu","Contact group",5.5
"688",2419592,"jmu","Contact group",5.75
"689",2419674,"jmu","Contact group",5
"690",2419767,"jmu","Control group",5
"691",2419793,"jmu","Contact group",5.5
"692",2419818,"jmu","Contact group",3.5
"693",2419826,"jmu","Control group",4.25
"694",2419847,"jmu","Control group",3.5
"695",2419887,"jmu","Control group",1.75
"696",2419919,"jmu","Control group",5.25
"697",2420020,"jmu","Control group",3
"698",2420156,"jmu","Contact group",5.5
"699",2420182,"jmu","Control group",4.75
"700",2420235,"jmu","Control group",4.25
"701",2420247,"jmu","Control group",5.75
"702",2420251,"jmu","Contact group",6.5
"703",2420252,"jmu","Control group",3.5
"704",2420253,"jmu","Control group",1.75
"705",2420255,"jmu","Contact group",8.25
"706",2420258,"jmu","Contact group",5.25
"707",2420262,"jmu","Contact group",1.25
"708",2420266,"jmu","Control group",2
"709",2420272,"jmu","Contact group",7
"710",2420273,"jmu","Contact group",6.25
"711",2420275,"jmu","Control group",3.5
"712",2420276,"jmu","Control group",2.75
"713",2420281,"jmu","Contact group",4.5
"714",2420284,"jmu","Contact group",5
"715",2420294,"jmu","Contact group",4.5
"716",2420305,"jmu","Contact group",8.25
"717",2420311,"jmu","Control group",2.5
"718",2420319,"jmu","Contact group",2
"719",2420326,"jmu","Contact group",3.75
"720",2420327,"jmu","Contact group",3.5
"721",2420330,"jmu","Control group",5.5
"722",2420338,"jmu","Contact group",2.75
"723",2420341,"jmu","Contact group",2.5
"724",2420345,"jmu","Contact group",2
"725",2420356,"jmu","Control group",5.5
"726",2420359,"jmu","Contact group",4
"727",2420361,"jmu","Control group",3
"728",2420367,"jmu","Control group",7.25
"729",2420382,"jmu","Control group",1.75
"730",2420386,"jmu","Control group",4
"731",2420405,"jmu","Contact group",4
"732",2420433,"jmu","Contact group",2.25
"733",2420456,"jmu","Contact group",8.5
"734",2420459,"jmu","Contact group",5.5
"735",2420463,"jmu","Contact group",4.5
"736",2420467,"jmu","Contact group",6.75
"737",2420471,"jmu","Contact group",5.25
"738",2420481,"jmu","Control group",6.5
"739",2420482,"jmu","Contact group",4.5
"740",2420485,"jmu","Contact group",8
"741",2420514,"jmu","Contact group",5.25
"742",2420517,"jmu","Contact group",6.75
"743",2420518,"jmu","Contact group",5.5
"744",2420529,"jmu","Control group",3.5
"745",2420534,"jmu","Control group",5.75
"746",2420543,"jmu","Control group",6.5
"747",2420572,"jmu","Control group",6.25
"748",2420580,"jmu","Contact group",4.5
"749",2420605,"jmu","Contact group",3
"750",2420622,"jmu","Control group",1.75
"751",2420641,"jmu","Contact group",4.5
"752",2420646,"jmu","Contact group",4
"753",2420663,"jmu","Contact group",5.75
"754",2420692,"jmu","Contact group",1
"755",2420694,"jmu","Control group",5.75
"756",2420717,"jmu","Control group",3.75
"757",2420719,"jmu","Contact group",3.5
"758",2420736,"jmu","Control group",6.75
"759",2420748,"jmu","Contact group",5.75
"760",2420770,"jmu","Control group",3.75
"761",2420808,"jmu","Contact group",2
"762",2420827,"jmu","Contact group",3
"763",2420878,"jmu","Control group",5
"764",2420912,"jmu","Control group",2.5
"765",2420960,"jmu","Contact group",7.75
"766",2421044,"jmu","Control group",4.25
"767",2421241,"jmu","Control group",7
"768",2421264,"jmu","Contact group",4.5
"769",2421291,"jmu","Contact group",6.25
"770",2421306,"jmu","Contact group",4.75
"771",2421347,"jmu","Control group",4.5
