"","session_id","referrer","ContactGroup","Imagineddv"
"1494",2399787,"mcdaniel","Control group",4.5
"1495",2399902,"mcdaniel","Contact group",3.75
"1496",2400037,"mcdaniel","Control group",7.5
"1497",2400210,"mcdaniel","Control group",2.5
"1498",2400235,"mcdaniel","Control group",4.75
"1499",2401208,"mcdaniel","Control group",5.25
"1500",2401951,"mcdaniel","Contact group",4.75
"1501",2402044,"mcdaniel","Contact group",4.5
"1502",2402928,"mcdaniel","Contact group",5.75
"1503",2403279,"mcdaniel","Control group",2.5
"1504",2403281,"mcdaniel","Control group",5.25
"1505",2403486,"mcdaniel","Control group",1.75
"1506",2403994,"mcdaniel","Contact group",5
"1507",2404062,"mcdaniel","Contact group",3
"1508",2404410,"mcdaniel","Contact group",5.25
"1509",2404963,"mcdaniel","Contact group",5
"1510",2406245,"mcdaniel","Contact group",6.75
"1511",2406254,"mcdaniel","Control group",3.75
"1512",2406284,"mcdaniel","Control group",7
"1513",2406393,"mcdaniel","Contact group",5.75
"1514",2406430,"mcdaniel","Contact group",4.5
"1515",2406659,"mcdaniel","Control group",6
"1516",2407838,"mcdaniel","Contact group",5.25
"1517",2407974,"mcdaniel","Control group",3.5
"1518",2408350,"mcdaniel","Control group",6.25
"1519",2411236,"mcdaniel","Control group",3.5
"1520",2417482,"mcdaniel","Contact group",4.25
"1521",2417521,"mcdaniel","Control group",8.5
"1522",2419187,"mcdaniel","Control group",2.5
"1523",2419449,"mcdaniel","Contact group",8
"1524",2419466,"mcdaniel","Control group",6.75
"1525",2422137,"mcdaniel","Contact group",7.75
"1526",2426038,"mcdaniel","Contact group",6.5
"1527",2427815,"mcdaniel","Control group",2.75
"1528",2432796,"mcdaniel","Contact group",7.5
"1529",2432935,"mcdaniel","Contact group",4.75
"1530",2437191,"mcdaniel","Control group",6
"1531",2443785,"mcdaniel","Control group",2
"1532",2450946,"mcdaniel","Control group",6.5
"1533",2451040,"mcdaniel","Control group",6
"1534",2451047,"mcdaniel","Contact group",6.75
"1535",2451061,"mcdaniel","Contact group",7.25
"1536",2451063,"mcdaniel","Contact group",4
"1537",2451168,"mcdaniel","Contact group",5.5
"1538",2451581,"mcdaniel","Control group",5.25
"1539",2452524,"mcdaniel","Contact group",4
"1540",2452700,"mcdaniel","Control group",6.75
"1541",2452715,"mcdaniel","Contact group",4.5
"1542",2453249,"mcdaniel","Control group",6.75
"1543",2453291,"mcdaniel","Contact group",2.25
"1544",2455264,"mcdaniel","Control group",5.25
"1545",2457301,"mcdaniel","Contact group",7.5
"1546",2457522,"mcdaniel","Contact group",6.5
"1547",2457617,"mcdaniel","Contact group",6
"1548",2463756,"mcdaniel","Contact group",3.75
"1549",2465487,"mcdaniel","Control group",2.5
"1550",2465595,"mcdaniel","Control group",2
"1551",2465691,"mcdaniel","Contact group",6.5
"1552",2465895,"mcdaniel","Contact group",4.5
"1553",2465948,"mcdaniel","Contact group",4.5
"1554",2465952,"mcdaniel","Contact group",4.75
"1555",2466277,"mcdaniel","Control group",2
"1556",2466426,"mcdaniel","Contact group",3.5
"1557",2466569,"mcdaniel","Control group",4
"1558",2468447,"mcdaniel","Control group",6
"1559",2475770,"mcdaniel","Control group",3.5
"1560",2475870,"mcdaniel","Control group",2.5
"1561",2475950,"mcdaniel","Control group",1.5
"1562",2475968,"mcdaniel","Contact group",4
"1563",2475985,"mcdaniel","Control group",1
"1564",2476037,"mcdaniel","Control group",9
"1565",2476046,"mcdaniel","Control group",4.75
"1566",2476444,"mcdaniel","Contact group",5.25
"1567",2476544,"mcdaniel","Control group",2.25
"1568",2476548,"mcdaniel","Contact group",2.5
"1569",2476586,"mcdaniel","Contact group",2
"1570",2476588,"mcdaniel","Control group",5
"1571",2476678,"mcdaniel","Contact group",2.25
"1572",2477597,"mcdaniel","Control group",7.75
"1573",2478261,"mcdaniel","Contact group",6.25
"1574",2478285,"mcdaniel","Control group",5.25
"1575",2478338,"mcdaniel","Contact group",6
"1576",2478384,"mcdaniel","Contact group",4.25
"1577",2478426,"mcdaniel","Control group",8.25
"1578",2478477,"mcdaniel","Control group",6
"1579",2478500,"mcdaniel","Control group",5.5
"1580",2478592,"mcdaniel","Contact group",6.5
"1581",2478634,"mcdaniel","Contact group",3.75
"1582",2479532,"mcdaniel","Contact group",7
"1583",2479770,"mcdaniel","Control group",5.75
"1584",2479919,"mcdaniel","Contact group",5.5
"1585",2480394,"mcdaniel","Control group",2.25
"1586",2480401,"mcdaniel","Control group",4
"1587",2481545,"mcdaniel","Control group",6
"1588",2482952,"mcdaniel","Control group",6.75
"1589",2483183,"mcdaniel","Control group",6.25
"1590",2483263,"mcdaniel","Control group",6
"1591",2491455,"mcdaniel","Control group",3
