"","session_id","referrer","ContactGroup","Imagineddv"
"1677",2402411,"mturk","Control group",5
"1678",2402412,"mturk","Control group",1
"1679",2402414,"mturk","Contact group",2.5
"1680",2402415,"mturk","Contact group",1.5
"1681",2402416,"mturk","Control group",2.5
"1682",2402417,"mturk","Contact group",6.5
"1683",2402421,"mturk","Contact group",4.5
"1684",2402422,"mturk","Control group",5
"1685",2402426,"mturk","Contact group",4.25
"1686",2402447,"mturk","Contact group",3.25
"1687",2402449,"mturk","Control group",2.75
"1688",2402450,"mturk","Contact group",2
"1689",2402451,"mturk","Contact group",5
"1690",2402452,"mturk","Contact group",1
"1691",2402453,"mturk","Control group",2.75
"1692",2402454,"mturk","Contact group",4.25
"1693",2402456,"mturk","Control group",8.75
"1694",2402457,"mturk","Control group",3
"1695",2402459,"mturk","Contact group",6
"1696",2402460,"mturk","Contact group",3.5
"1697",2402466,"mturk","Contact group",2.75
"1698",2402467,"mturk","Contact group",8.5
"1699",2402468,"mturk","Contact group",4.5
"1700",2402470,"mturk","Control group",1.5
"1701",2402471,"mturk","Control group",1.75
"1702",2402472,"mturk","Control group",2.25
"1703",2402474,"mturk","Control group",8.25
"1704",2402476,"mturk","Contact group",3.75
"1705",2402478,"mturk","Control group",5.75
"1706",2402479,"mturk","Contact group",3.5
"1707",2402484,"mturk","Control group",4.25
"1708",2402485,"mturk","Contact group",5.25
"1709",2402488,"mturk","Contact group",3.75
"1710",2402489,"mturk","Contact group",9
"1711",2402490,"mturk","Control group",6.25
"1712",2402493,"mturk","Control group",6.75
"1713",2402494,"mturk","Control group",3.5
"1714",2402495,"mturk","Contact group",8
"1715",2402496,"mturk","Control group",9
"1716",2402498,"mturk","Contact group",4
"1717",2402499,"mturk","Contact group",5.25
"1718",2402502,"mturk","Control group",4
"1719",2402504,"mturk","Contact group",1.75
"1720",2402507,"mturk","Control group",5.5
"1721",2402508,"mturk","Contact group",4
"1722",2402509,"mturk","Control group",4.75
"1723",2402511,"mturk","Contact group",3.25
"1724",2402512,"mturk","Control group",3.25
"1725",2402513,"mturk","Control group",3.5
"1726",2402514,"mturk","Control group",5.75
"1727",2402515,"mturk","Control group",4
"1728",2402518,"mturk","Contact group",5
"1729",2402521,"mturk","Contact group",4.5
"1730",2402522,"mturk","Contact group",5.5
"1731",2402525,"mturk","Control group",5
"1732",2402529,"mturk","Contact group",3
"1733",2402531,"mturk","Contact group",1.75
"1734",2402532,"mturk","Contact group",3.75
"1735",2402533,"mturk","Contact group",8.5
"1736",2402534,"mturk","Control group",3.75
"1737",2402535,"mturk","Control group",5
"1738",2402537,"mturk","Control group",5.25
"1739",2402539,"mturk","Control group",9
"1740",2402540,"mturk","Contact group",6
"1741",2402542,"mturk","Contact group",6.75
"1742",2402543,"mturk","Contact group",3
"1743",2402544,"mturk","Contact group",3.75
"1744",2402545,"mturk","Control group",5
"1745",2402547,"mturk","Control group",1
"1746",2402548,"mturk","Contact group",5.25
"1747",2402549,"mturk","Control group",2.75
"1748",2402551,"mturk","Control group",1.75
"1749",2402552,"mturk","Contact group",5
"1750",2402553,"mturk","Control group",4
"1751",2402554,"mturk","Control group",5
"1752",2402555,"mturk","Contact group",7.25
"1753",2402557,"mturk","Contact group",2
"1754",2402559,"mturk","Control group",3.25
"1755",2402563,"mturk","Contact group",3
"1756",2402565,"mturk","Contact group",4.25
"1757",2402566,"mturk","Contact group",5.75
"1758",2402567,"mturk","Control group",4.75
"1759",2402571,"mturk","Control group",3.75
"1760",2402573,"mturk","Contact group",6.75
"1761",2402576,"mturk","Contact group",2.75
"1762",2402577,"mturk","Control group",6
"1763",2402579,"mturk","Contact group",8.75
"1764",2402583,"mturk","Contact group",2.75
"1765",2402584,"mturk","Contact group",2.75
"1766",2402585,"mturk","Contact group",7.75
"1767",2402596,"mturk","Control group",9
