"","session_id","referrer","ContactGroup","Imagineddv"
"6065",2401013,"wku","Contact group",6.5
"6066",2401059,"wku","Contact group",2.75
"6067",2401273,"wku","Contact group",1
"6068",2401275,"wku","Contact group",6
"6069",2401277,"wku","Control group",4.25
"6070",2401278,"wku","Contact group",4.75
"6071",2401294,"wku","Control group",6
"6072",2401426,"wku","Contact group",5.75
"6073",2411348,"wku","Contact group",2.5
"6074",2411349,"wku","Contact group",2.25
"6075",2411350,"wku","Control group",1.25
"6076",2411352,"wku","Contact group",1.25
"6077",2411472,"wku","Contact group",2.5
"6078",2411473,"wku","Contact group",4
"6079",2411474,"wku","Contact group",3.25
"6080",2411475,"wku","Control group",5.5
"6081",2411479,"wku","Contact group",2.5
"6082",2411560,"wku","Control group",4.5
"6083",2411561,"wku","Contact group",2
"6084",2411562,"wku","Control group",1.75
"6085",2411564,"wku","Contact group",5.5
"6086",2411568,"wku","Contact group",5.25
"6087",2411569,"wku","Contact group",2
"6088",2411724,"wku","Contact group",4.25
"6089",2411727,"wku","Contact group",5.25
"6090",2411854,"wku","Control group",7.25
"6091",2411858,"wku","Control group",5.25
"6092",2411860,"wku","Control group",5
"6093",2411862,"wku","Control group",3.25
"6094",2411945,"wku","Contact group",4.5
"6095",2411946,"wku","Control group",6
"6096",2411947,"wku","Control group",3
"6097",2411954,"wku","Contact group",7
"6098",2412031,"wku","Control group",5.25
"6099",2412032,"wku","Control group",4.25
"6100",2412033,"wku","Contact group",1.75
"6101",2412035,"wku","Control group",7.25
"6102",2412037,"wku","Contact group",2.75
"6103",2412071,"wku","Contact group",5.75
"6104",2412072,"wku","Contact group",4.5
"6105",2412075,"wku","Control group",1.25
"6106",2412084,"wku","Control group",3.25
"6107",2412085,"wku","Contact group",5.25
"6108",2426096,"wku","Control group",7.5
"6109",2426218,"wku","Control group",5.75
"6110",2426308,"wku","Contact group",3.5
"6111",2426586,"wku","Contact group",5
"6112",2442947,"wku","Contact group",4.5
"6113",2442959,"wku","Contact group",2.25
"6114",2443365,"wku","Contact group",4
"6115",2443463,"wku","Contact group",7
"6116",2443466,"wku","Contact group",4.25
"6117",2443468,"wku","Contact group",5
"6118",2443632,"wku","Contact group",2
"6119",2443634,"wku","Contact group",5.25
"6120",2456929,"wku","Control group",1
"6121",2456974,"wku","Control group",4.75
"6122",2467295,"wku","Contact group",3.5
"6123",2469962,"wku","Control group",6.75
"6124",2469972,"wku","Control group",3
"6125",2470019,"wku","Control group",3
"6126",2470021,"wku","Contact group",2.75
"6127",2470108,"wku","Control group",4.75
"6128",2470118,"wku","Contact group",5.25
"6129",2470120,"wku","Control group",4.75
"6130",2470122,"wku","Contact group",5.25
"6131",2470195,"wku","Contact group",5
"6132",2470289,"wku","Contact group",1.5
"6133",2470353,"wku","Control group",2.25
"6134",2470356,"wku","Contact group",4
"6135",2470433,"wku","Control group",5.5
"6136",2470434,"wku","Contact group",6
"6137",2470510,"wku","Contact group",6.75
"6138",2477199,"wku","Control group",1.75
"6139",2477200,"wku","Control group",4.75
"6140",2481988,"wku","Contact group",6.25
"6141",2482008,"wku","Control group",2.25
"6142",2482011,"wku","Control group",3.25
"6143",2482012,"wku","Contact group",3.5
"6144",2482013,"wku","Control group",1.75
"6145",2482014,"wku","Contact group",8.25
"6146",2482015,"wku","Contact group",2
"6147",2482103,"wku","Control group",3.75
"6148",2482104,"wku","Control group",6
"6149",2482117,"wku","Contact group",4.5
"6150",2482123,"wku","Contact group",2.25
"6151",2482124,"wku","Control group",6.25
"6152",2482149,"wku","Control group",3.5
"6153",2482150,"wku","Control group",5.75
"6154",2482199,"wku","Control group",8.75
"6155",2482203,"wku","Control group",3.5
"6156",2482275,"wku","Control group",6.5
"6157",2482278,"wku","Control group",4.75
"6158",2482280,"wku","Contact group",4.5
"6159",2482481,"wku","Contact group",3.75
"6160",2482485,"wku","Control group",8.25
"6161",2482487,"wku","Contact group",1.25
"6162",2482573,"wku","Contact group",7
"6163",2482576,"wku","Control group",2.5
"6164",2482577,"wku","Contact group",2.75
"6165",2482581,"wku","Contact group",5
"6166",2482596,"wku","Control group",4.5
"6167",2482610,"wku","Control group",5.75
