"","session_id","referrer","quoteGroup","quote"
"1",2400853,"abington","liked source",9
"2",2400856,"abington","disliked source",4
"3",2400860,"abington","liked source",6
"4",2400868,"abington","liked source",3
"5",2400872,"abington","liked source",7
"6",2400914,"abington","liked source",2
"7",2400916,"abington","liked source",5
"8",2400925,"abington","liked source",5
"9",2400934,"abington","disliked source",6
"10",2407192,"abington","disliked source",9
"11",2407222,"abington","disliked source",2
"12",2407225,"abington","liked source",3
"13",2407227,"abington","disliked source",5
"14",2407268,"abington","disliked source",5
"15",2407271,"abington","disliked source",2
"16",2407288,"abington","disliked source",5
"17",2407289,"abington","disliked source",5
"18",2407335,"abington","disliked source",9
"19",2407367,"abington","liked source",9
"20",2407368,"abington","liked source",5
"21",2407369,"abington","liked source",9
"22",2407370,"abington","disliked source",9
"23",2407373,"abington","disliked source",4
"24",2407395,"abington","liked source",4
"25",2407403,"abington","disliked source",1
"26",2407404,"abington","disliked source",5
"27",2407405,"abington","disliked source",3
"28",2407407,"abington","liked source",5
"29",2407412,"abington","liked source",2
"30",2407864,"abington","liked source",8
"31",2407866,"abington","disliked source",4
"32",2407983,"abington","disliked source",5
"33",2407987,"abington","disliked source",7
"34",2408017,"abington","liked source",4
"35",2408033,"abington","disliked source",1
"36",2408059,"abington","disliked source",1
"37",2408084,"abington","disliked source",9
"38",2409135,"abington","liked source",5
"39",2409137,"abington","liked source",9
"40",2409138,"abington","disliked source",1
"41",2409144,"abington","disliked source",9
"42",2409145,"abington","liked source",4
"43",2409147,"abington","disliked source",5
"44",2409150,"abington","liked source",7
"45",2409203,"abington","disliked source",5
"46",2409204,"abington","disliked source",5
"47",2409209,"abington","liked source",7
"48",2409214,"abington","disliked source",6
"49",2409217,"abington","disliked source",6
"50",2409255,"abington","liked source",9
"51",2409256,"abington","liked source",7
"52",2409259,"abington","disliked source",5
"53",2409260,"abington","liked source",3
"54",2409264,"abington","liked source",5
"55",2409552,"abington","liked source",3
"56",2409555,"abington","liked source",5
"57",2409556,"abington","disliked source",5
"58",2409603,"abington","liked source",9
"59",2409605,"abington","disliked source",5
"60",2409606,"abington","disliked source",4
"61",2409607,"abington","disliked source",4
"62",2410995,"abington","liked source",3
"63",2410997,"abington","disliked source",1
"64",2411137,"abington","disliked source",9
"65",2411191,"abington","disliked source",4
"66",2411192,"abington","disliked source",5
"67",2411195,"abington","disliked source",5
"68",2411198,"abington","disliked source",5
"69",2411199,"abington","liked source",3
"70",2411202,"abington","disliked source",9
"71",2411203,"abington","disliked source",1
"72",2411204,"abington","disliked source",5
"73",2411205,"abington","liked source",1
"74",2411301,"abington","disliked source",5
"75",2411308,"abington","liked source",7
"76",2411379,"abington","disliked source",6
"77",2411382,"abington","liked source",3
"78",2411384,"abington","liked source",5
"79",2411385,"abington","disliked source",5
"80",2411395,"abington","liked source",8
"81",2411401,"abington","disliked source",6
"82",2411402,"abington","disliked source",5
"83",2411443,"abington","disliked source",5
"84",2411445,"abington","liked source",7
