"","session_id","referrer","quoteGroup","quote"
"582",2409609,"ithaca","disliked source",5
"583",2442646,"ithaca","disliked source",1
"584",2442662,"ithaca","liked source",4
"585",2442673,"ithaca","liked source",8
"586",2442680,"ithaca","disliked source",4
"587",2442692,"ithaca","liked source",8
"588",2442700,"ithaca","liked source",2
"589",2442711,"ithaca","liked source",9
"590",2442718,"ithaca","liked source",3
"591",2442903,"ithaca","liked source",7
"592",2442906,"ithaca","liked source",4
"593",2442910,"ithaca","disliked source",4
"594",2443194,"ithaca","liked source",6
"595",2443210,"ithaca","liked source",7
"596",2443211,"ithaca","liked source",7
"597",2443215,"ithaca","liked source",7
"598",2443407,"ithaca","liked source",9
"599",2443413,"ithaca","liked source",5
"600",2443419,"ithaca","liked source",6
"601",2451795,"ithaca","disliked source",3
"602",2451900,"ithaca","liked source",9
"603",2451905,"ithaca","disliked source",9
"604",2451911,"ithaca","liked source",5
"605",2451919,"ithaca","disliked source",5
"606",2451922,"ithaca","liked source",5
"607",2451925,"ithaca","liked source",9
"608",2451932,"ithaca","liked source",4
"609",2453957,"ithaca","disliked source",7
"610",2453961,"ithaca","disliked source",5
"611",2454068,"ithaca","liked source",4
"612",2454073,"ithaca","disliked source",5
"613",2454074,"ithaca","disliked source",9
"614",2454076,"ithaca","liked source",7
"615",2454080,"ithaca","disliked source",1
"616",2454084,"ithaca","disliked source",5
"617",2454086,"ithaca","disliked source",4
"618",2454088,"ithaca","liked source",5
"619",2454089,"ithaca","disliked source",3
"620",2454090,"ithaca","liked source",6
"621",2454460,"ithaca","liked source",5
"622",2454461,"ithaca","liked source",1
"623",2454494,"ithaca","liked source",7
"624",2454600,"ithaca","liked source",1
"625",2456447,"ithaca","disliked source",7
"626",2456450,"ithaca","liked source",8
"627",2456456,"ithaca","liked source",5
"628",2456459,"ithaca","disliked source",5
"629",2456460,"ithaca","disliked source",3
"630",2456463,"ithaca","disliked source",5
"631",2456625,"ithaca","liked source",5
"632",2456811,"ithaca","liked source",8
"633",2456933,"ithaca","disliked source",6
"634",2456936,"ithaca","disliked source",6
"635",2465685,"ithaca","disliked source",5
"636",2465686,"ithaca","liked source",8
"637",2465689,"ithaca","liked source",5
"638",2465799,"ithaca","liked source",8
"639",2465800,"ithaca","disliked source",5
"640",2465802,"ithaca","disliked source",5
"641",2465803,"ithaca","liked source",5
"642",2465808,"ithaca","liked source",8
"643",2467455,"ithaca","liked source",9
"644",2467466,"ithaca","liked source",5
"645",2467471,"ithaca","disliked source",5
"646",2467477,"ithaca","liked source",8
"647",2467622,"ithaca","disliked source",1
"648",2467625,"ithaca","disliked source",8
"649",2467630,"ithaca","disliked source",3
"650",2467632,"ithaca","liked source",4
"651",2467930,"ithaca","disliked source",3
"652",2467935,"ithaca","liked source",3
"653",2467937,"ithaca","disliked source",3
"654",2468023,"ithaca","liked source",9
"655",2468025,"ithaca","liked source",8
"656",2469961,"ithaca","liked source",1
"657",2470134,"ithaca","disliked source",6
"658",2470138,"ithaca","disliked source",5
"659",2470304,"ithaca","liked source",3
"660",2470307,"ithaca","liked source",8
"661",2470311,"ithaca","liked source",8
"662",2477383,"ithaca","disliked source",1
"663",2477497,"ithaca","liked source",8
"664",2477498,"ithaca","liked source",8
"665",2477501,"ithaca","disliked source",6
"666",2477502,"ithaca","liked source",5
"667",2477504,"ithaca","liked source",5
"668",2477506,"ithaca","disliked source",6
"669",2477509,"ithaca","liked source",3
"670",2477515,"ithaca","liked source",3
"671",2477516,"ithaca","liked source",5
