"","session_id","referrer","quoteGroup","quote"
"1348",2451767,"luc","disliked source",6
"1349",2451771,"luc","liked source",3
"1350",2451779,"luc","liked source",5
"1351",2451792,"luc","liked source",4
"1352",2452088,"luc","liked source",5
"1353",2452090,"luc","disliked source",4
"1354",2452092,"luc","disliked source",5
"1355",2452094,"luc","disliked source",1
"1356",2452100,"luc","liked source",6
"1357",2452275,"luc","liked source",6
"1358",2452282,"luc","disliked source",5
"1359",2452290,"luc","disliked source",5
"1360",2452295,"luc","liked source",9
"1361",2452386,"luc","disliked source",5
"1362",2452390,"luc","liked source",6
"1363",2452391,"luc","disliked source",5
"1364",2452392,"luc","liked source",9
"1365",2452399,"luc","disliked source",8
"1366",2452769,"luc","disliked source",5
"1367",2452772,"luc","liked source",8
"1368",2452776,"luc","disliked source",7
"1369",2452780,"luc","liked source",5
"1370",2452782,"luc","disliked source",2
"1371",2452877,"luc","disliked source",3
"1372",2452890,"luc","liked source",1
"1373",2456872,"luc","disliked source",3
"1374",2456978,"luc","disliked source",5
"1375",2457300,"luc","liked source",9
"1376",2457542,"luc","disliked source",2
"1377",2458634,"luc","disliked source",3
"1378",2458720,"luc","liked source",5
"1379",2459183,"luc","liked source",3
"1380",2459311,"luc","disliked source",4
"1381",2459317,"luc","liked source",4
"1382",2459322,"luc","liked source",5
"1383",2461808,"luc","liked source",9
"1384",2462172,"luc","liked source",6
"1385",2462453,"luc","disliked source",7
"1386",2462479,"luc","disliked source",6
"1387",2465954,"luc","liked source",5
"1388",2466179,"luc","liked source",3
"1389",2466185,"luc","disliked source",5
"1390",2466187,"luc","liked source",8
"1391",2466456,"luc","disliked source",4
"1392",2466507,"luc","liked source",8
"1393",2466516,"luc","disliked source",6
"1394",2466518,"luc","liked source",5
"1395",2466528,"luc","liked source",5
"1396",2466602,"luc","disliked source",1
"1397",2466617,"luc","liked source",5
"1398",2466618,"luc","liked source",2
"1399",2467661,"luc","liked source",9
"1400",2467761,"luc","liked source",4
"1401",2467845,"luc","disliked source",2
"1402",2467850,"luc","liked source",5
"1403",2467851,"luc","disliked source",2
"1404",2467880,"luc","disliked source",5
"1405",2468035,"luc","liked source",4
"1406",2468400,"luc","liked source",7
"1407",2468404,"luc","disliked source",2
"1408",2468405,"luc","liked source",9
"1409",2468407,"luc","liked source",5
"1410",2468495,"luc","liked source",8
"1411",2468500,"luc","disliked source",8
"1412",2468578,"luc","liked source",2
"1413",2468580,"luc","disliked source",5
"1414",2469734,"luc","disliked source",4
"1415",2469736,"luc","liked source",2
"1416",2470219,"luc","disliked source",7
"1417",2470513,"luc","disliked source",1
"1418",2470516,"luc","disliked source",7
"1419",2470529,"luc","disliked source",5
"1420",2470662,"luc","disliked source",6
"1421",2470667,"luc","liked source",8
"1422",2470690,"luc","liked source",3
"1423",2470838,"luc","liked source",3
"1424",2470917,"luc","disliked source",7
"1425",2471871,"luc","liked source",5
"1426",2472160,"luc","liked source",6
"1427",2472634,"luc","disliked source",5
"1428",2472639,"luc","liked source",6
"1429",2472648,"luc","liked source",4
"1430",2472651,"luc","disliked source",5
"1431",2472658,"luc","disliked source",5
"1432",2472667,"luc","disliked source",4
"1433",2472724,"luc","disliked source",3
"1434",2472803,"luc","disliked source",5
"1435",2472847,"luc","disliked source",2
"1436",2472871,"luc","disliked source",6
"1437",2473592,"luc","disliked source",8
"1438",2473867,"luc","disliked source",2
"1439",2473958,"luc","liked source",3
"1440",2473963,"luc","disliked source",5
"1441",2474074,"luc","liked source",4
"1442",2474078,"luc","disliked source",7
"1443",2474085,"luc","liked source",9
"1444",2474087,"luc","liked source",8
"1445",2474142,"luc","disliked source",7
"1446",2474145,"luc","disliked source",5
"1447",2482189,"luc","disliked source",3
"1448",2482407,"luc","disliked source",6
"1449",2482414,"luc","disliked source",8
"1450",2482597,"luc","liked source",9
"1451",2482607,"luc","liked source",2
"1452",2482937,"luc","disliked source",1
"1453",2482938,"luc","liked source",7
"1454",2482939,"luc","disliked source",7
"1455",2482940,"luc","disliked source",4
"1456",2482943,"luc","liked source",5
"1457",2482948,"luc","disliked source",5
"1458",2483015,"luc","disliked source",5
"1459",2483016,"luc","liked source",5
"1460",2483025,"luc","liked source",5
"1461",2485100,"luc","liked source",9
"1462",2485116,"luc","liked source",3
"1463",2485124,"luc","disliked source",3
"1464",2485126,"luc","liked source",5
"1465",2485131,"luc","disliked source",2
"1466",2485209,"luc","disliked source",9
"1467",2485211,"luc","disliked source",5
"1468",2485214,"luc","disliked source",2
"1469",2485217,"luc","disliked source",6
"1470",2485220,"luc","liked source",3
"1471",2485330,"luc","liked source",5
"1472",2485341,"luc","liked source",4
"1473",2485430,"luc","disliked source",1
"1474",2486251,"luc","liked source",7
"1475",2486475,"luc","disliked source",4
"1476",2486827,"luc","disliked source",5
"1477",2487052,"luc","liked source",7
"1478",2487127,"luc","liked source",5
"1479",2490201,"luc","liked source",6
"1480",2490205,"luc","disliked source",8
"1481",2490444,"luc","liked source",2
"1482",2490448,"luc","disliked source",9
"1483",2490694,"luc","liked source",8
"1484",2490695,"luc","liked source",4
"1485",2490700,"luc","disliked source",1
"1486",2491069,"luc","liked source",9
"1487",2492314,"luc","disliked source",4
"1488",2492445,"luc","disliked source",3
"1489",2492459,"luc","liked source",9
"1490",2492856,"luc","liked source",7
"1491",2492865,"luc","disliked source",2
"1492",2492867,"luc","disliked source",6
"1493",2492869,"luc","liked source",2
