"","session_id","referrer","quoteGroup","quote"
"4682",2476887,"swps","disliked source",9
"4683",2476915,"swps","disliked source",4
"4684",2476916,"swps","disliked source",2
"4685",2476919,"swps","liked source",9
"4686",2476923,"swps","liked source",2
"4687",2476927,"swps","liked source",3
"4688",2476928,"swps","liked source",7
"4689",2476939,"swps","liked source",7
"4690",2476940,"swps","disliked source",5
"4691",2476942,"swps","disliked source",7
"4692",2476946,"swps","disliked source",9
"4693",2476962,"swps","liked source",5
"4694",2476971,"swps","liked source",9
"4695",2476974,"swps","liked source",5
"4696",2476978,"swps","disliked source",5
"4697",2476979,"swps","disliked source",5
"4698",2476985,"swps","disliked source",5
"4699",2476986,"swps","disliked source",5
"4700",2476996,"swps","liked source",9
"4701",2480988,"swps","liked source",4
"4702",2480992,"swps","disliked source",7
"4703",2480993,"swps","disliked source",8
"4704",2480997,"swps","liked source",4
"4705",2481010,"swps","disliked source",8
"4706",2481026,"swps","liked source",9
"4707",2481061,"swps","disliked source",9
"4708",2481067,"swps","liked source",9
"4709",2481068,"swps","disliked source",7
"4710",2481072,"swps","liked source",1
"4711",2481073,"swps","liked source",2
"4712",2481082,"swps","disliked source",5
"4713",2481083,"swps","liked source",9
"4714",2481084,"swps","disliked source",5
"4715",2481085,"swps","liked source",9
"4716",2481094,"swps","disliked source",6
"4717",2481095,"swps","disliked source",9
"4718",2481096,"swps","liked source",5
"4719",2481100,"swps","disliked source",7
"4720",2481133,"swps","disliked source",7
"4721",2481148,"swps","disliked source",6
"4722",2481219,"swps","disliked source",5
"4723",2481221,"swps","liked source",4
"4724",2481223,"swps","disliked source",7
"4725",2481243,"swps","disliked source",6
"4726",2481245,"swps","disliked source",9
"4727",2481246,"swps","liked source",5
"4728",2481248,"swps","liked source",3
"4729",2481291,"swps","liked source",9
"4730",2481292,"swps","liked source",5
"4731",2481295,"swps","liked source",9
"4732",2481333,"swps","liked source",8
"4733",2481383,"swps","disliked source",5
"4734",2481435,"swps","disliked source",9
"4735",2481437,"swps","liked source",3
"4736",2481439,"swps","disliked source",9
"4737",2481474,"swps","liked source",7
"4738",2481478,"swps","disliked source",5
"4739",2481490,"swps","disliked source",6
"4740",2481498,"swps","disliked source",5
"4741",2483562,"swps","liked source",5
"4742",2483564,"swps","disliked source",1
"4743",2483580,"swps","liked source",8
"4744",2483603,"swps","liked source",3
"4745",2483618,"swps","liked source",3
"4746",2483620,"swps","disliked source",4
"4747",2483622,"swps","disliked source",7
"4748",2483645,"swps","disliked source",1
"4749",2483646,"swps","liked source",5
"4750",2483680,"swps","liked source",9
"4751",2483697,"swps","liked source",4
"4752",2483709,"swps","liked source",8
"4753",2483716,"swps","disliked source",6
"4754",2483729,"swps","liked source",9
"4755",2483731,"swps","liked source",9
"4756",2483761,"swps","disliked source",5
"4757",2483781,"swps","disliked source",8
"4758",2483787,"swps","liked source",5
"4759",2483788,"swps","disliked source",6
"4760",2483815,"swps","liked source",8
