"","session_id","referrer","quoteGroup","quote"
"4930",2421401,"tamu","liked source",6
"4931",2421408,"tamu","disliked source",5
"4932",2421415,"tamu","disliked source",5
"4933",2421419,"tamu","liked source",5
"4934",2421535,"tamu","liked source",3
"4935",2421543,"tamu","disliked source",3
"4936",2421547,"tamu","disliked source",6
"4937",2421553,"tamu","liked source",4
"4938",2421557,"tamu","liked source",2
"4939",2421562,"tamu","disliked source",7
"4940",2421667,"tamu","liked source",8
"4941",2421669,"tamu","disliked source",6
"4942",2421671,"tamu","liked source",4
"4943",2421672,"tamu","liked source",3
"4944",2421674,"tamu","disliked source",5
"4945",2421678,"tamu","liked source",5
"4946",2421853,"tamu","liked source",8
"4947",2421858,"tamu","disliked source",1
"4948",2421859,"tamu","disliked source",6
"4949",2421862,"tamu","disliked source",5
"4950",2421868,"tamu","liked source",3
"4951",2421869,"tamu","disliked source",3
"4952",2421991,"tamu","disliked source",4
"4953",2421993,"tamu","liked source",1
"4954",2421995,"tamu","liked source",5
"4955",2421999,"tamu","disliked source",5
"4956",2422000,"tamu","disliked source",4
"4957",2422002,"tamu","liked source",9
"4958",2422125,"tamu","liked source",3
"4959",2422126,"tamu","disliked source",9
"4960",2422127,"tamu","liked source",9
"4961",2422128,"tamu","liked source",4
"4962",2422131,"tamu","liked source",9
"4963",2422135,"tamu","disliked source",6
"4964",2422245,"tamu","disliked source",5
"4965",2422249,"tamu","disliked source",3
"4966",2422252,"tamu","liked source",8
"4967",2422437,"tamu","liked source",3
"4968",2422444,"tamu","disliked source",5
"4969",2422449,"tamu","disliked source",3
"4970",2422459,"tamu","liked source",3
"4971",2422461,"tamu","liked source",5
"4972",2422679,"tamu","disliked source",7
"4973",2422682,"tamu","liked source",9
"4974",2422684,"tamu","liked source",3
"4975",2422687,"tamu","liked source",8
"4976",2422689,"tamu","disliked source",5
"4977",2422691,"tamu","liked source",8
"4978",2422857,"tamu","disliked source",3
"4979",2422861,"tamu","disliked source",5
"4980",2422867,"tamu","disliked source",9
"4981",2422874,"tamu","disliked source",5
"4982",2422877,"tamu","liked source",4
"4983",2422882,"tamu","disliked source",8
"4984",2423034,"tamu","liked source",9
"4985",2423038,"tamu","liked source",9
"4986",2423251,"tamu","disliked source",6
"4987",2423254,"tamu","liked source",7
"4988",2423256,"tamu","disliked source",5
"4989",2423258,"tamu","disliked source",3
"4990",2423262,"tamu","disliked source",5
"4991",2423266,"tamu","liked source",2
"4992",2425458,"tamu","liked source",9
"4993",2425485,"tamu","disliked source",4
"4994",2425490,"tamu","liked source",8
"4995",2425493,"tamu","liked source",4
"4996",2425497,"tamu","liked source",8
"4997",2425499,"tamu","disliked source",7
"4998",2425602,"tamu","liked source",1
"4999",2425606,"tamu","liked source",5
"5000",2425608,"tamu","disliked source",3
"5001",2425611,"tamu","liked source",9
"5002",2425612,"tamu","disliked source",7
"5003",2425622,"tamu","liked source",9
"5004",2425777,"tamu","disliked source",6
"5005",2425783,"tamu","liked source",9
"5006",2425785,"tamu","liked source",3
"5007",2425791,"tamu","liked source",3
"5008",2425794,"tamu","liked source",4
"5009",2425815,"tamu","disliked source",1
"5010",2425901,"tamu","liked source",9
"5011",2425903,"tamu","liked source",9
"5012",2425904,"tamu","disliked source",8
"5013",2426028,"tamu","liked source",5
"5014",2426035,"tamu","liked source",9
"5015",2426040,"tamu","liked source",1
"5016",2426042,"tamu","liked source",5
"5017",2426067,"tamu","liked source",5
"5018",2426071,"tamu","liked source",3
"5019",2426153,"tamu","liked source",5
"5020",2426156,"tamu","liked source",7
"5021",2426160,"tamu","disliked source",5
"5022",2426162,"tamu","liked source",9
"5023",2426169,"tamu","liked source",7
"5024",2426307,"tamu","disliked source",9
"5025",2426309,"tamu","liked source",1
"5026",2426320,"tamu","disliked source",5
"5027",2426433,"tamu","disliked source",2
"5028",2426436,"tamu","liked source",9
"5029",2426441,"tamu","liked source",4
"5030",2426558,"tamu","liked source",4
"5031",2426560,"tamu","liked source",9
"5032",2426564,"tamu","liked source",3
"5033",2426568,"tamu","liked source",7
"5034",2426571,"tamu","liked source",9
"5035",2426688,"tamu","liked source",7
"5036",2426692,"tamu","disliked source",1
"5037",2426694,"tamu","disliked source",4
"5038",2426695,"tamu","liked source",4
"5039",2426699,"tamu","disliked source",4
"5040",2426838,"tamu","disliked source",4
"5041",2426842,"tamu","liked source",7
"5042",2426844,"tamu","liked source",9
"5043",2426847,"tamu","disliked source",3
"5044",2426854,"tamu","liked source",4
"5045",2426866,"tamu","disliked source",1
"5046",2428570,"tamu","disliked source",4
"5047",2428571,"tamu","disliked source",5
"5048",2428572,"tamu","disliked source",5
"5049",2428574,"tamu","liked source",3
"5050",2428575,"tamu","disliked source",5
"5051",2428668,"tamu","disliked source",3
"5052",2428670,"tamu","liked source",2
"5053",2428758,"tamu","disliked source",6
"5054",2428759,"tamu","liked source",5
"5055",2428762,"tamu","disliked source",2
"5056",2428764,"tamu","liked source",7
"5057",2428846,"tamu","liked source",9
"5058",2428847,"tamu","disliked source",8
"5059",2428848,"tamu","disliked source",4
"5060",2428851,"tamu","liked source",5
"5061",2428930,"tamu","liked source",8
"5062",2428939,"tamu","liked source",3
"5063",2428942,"tamu","liked source",3
"5064",2428944,"tamu","liked source",8
"5065",2429015,"tamu","disliked source",6
"5066",2429017,"tamu","disliked source",5
"5067",2429020,"tamu","liked source",9
"5068",2429091,"tamu","liked source",3
"5069",2429093,"tamu","liked source",6
"5070",2429098,"tamu","disliked source",5
"5071",2429192,"tamu","disliked source",6
"5072",2429193,"tamu","liked source",9
"5073",2429211,"tamu","liked source",8
"5074",2429343,"tamu","disliked source",4
"5075",2429345,"tamu","disliked source",6
"5076",2429351,"tamu","liked source",3
"5077",2429353,"tamu","liked source",9
"5078",2429354,"tamu","disliked source",3
"5079",2429513,"tamu","liked source",9
"5080",2429516,"tamu","liked source",9
"5081",2429593,"tamu","liked source",8
"5082",2429598,"tamu","disliked source",5
"5083",2429605,"tamu","disliked source",8
"5084",2429628,"tamu","liked source",2
"5085",2429631,"tamu","disliked source",7
"5086",2430828,"tamu","liked source",9
"5087",2430833,"tamu","liked source",6
"5088",2430836,"tamu","disliked source",5
"5089",2430914,"tamu","disliked source",7
"5090",2430915,"tamu","disliked source",6
"5091",2430916,"tamu","liked source",7
"5092",2430992,"tamu","disliked source",6
"5093",2430993,"tamu","liked source",7
"5094",2430994,"tamu","disliked source",5
"5095",2430997,"tamu","disliked source",3
"5096",2431000,"tamu","disliked source",9
"5097",2431063,"tamu","liked source",1
"5098",2431064,"tamu","disliked source",6
"5099",2431066,"tamu","liked source",4
"5100",2431067,"tamu","disliked source",7
"5101",2431068,"tamu","disliked source",2
"5102",2431113,"tamu","liked source",5
"5103",2431450,"tamu","liked source",5
"5104",2431454,"tamu","disliked source",5
"5105",2431456,"tamu","disliked source",5
"5106",2431571,"tamu","disliked source",7
"5107",2431577,"tamu","disliked source",5
"5108",2431581,"tamu","liked source",3
"5109",2431605,"tamu","disliked source",5
"5110",2431608,"tamu","liked source",6
"5111",2431630,"tamu","disliked source",5
"5113",2431633,"tamu","disliked source",4
"5114",2431707,"tamu","disliked source",5
"5115",2431710,"tamu","disliked source",7
"5116",2431712,"tamu","liked source",9
