"","session_id","referrer","quoteGroup","quote"
"5636",2479466,"unipd","liked source",5
"5637",2481208,"unipd","disliked source",3
"5638",2481277,"unipd","liked source",1
"5639",2481290,"unipd","liked source",3
"5640",2481300,"unipd","disliked source",1
"5641",2481329,"unipd","disliked source",5
"5642",2481381,"unipd","liked source",1
"5643",2481594,"unipd","liked source",1
"5644",2481642,"unipd","liked source",1
"5645",2481650,"unipd","liked source",1
"5646",2481666,"unipd","liked source",1
"5647",2481669,"unipd","liked source",5
"5648",2481678,"unipd","liked source",5
"5649",2481688,"unipd","disliked source",3
"5650",2481705,"unipd","liked source",5
"5651",2481724,"unipd","liked source",2
"5652",2481736,"unipd","disliked source",5
"5653",2481756,"unipd","liked source",8
"5654",2481761,"unipd","disliked source",1
"5655",2481762,"unipd","liked source",4
"5656",2481766,"unipd","disliked source",5
"5657",2481772,"unipd","disliked source",7
"5658",2481780,"unipd","liked source",5
"5659",2481795,"unipd","liked source",1
"5660",2481809,"unipd","liked source",3
"5661",2481814,"unipd","disliked source",3
"5662",2481863,"unipd","disliked source",5
"5663",2481866,"unipd","liked source",1
"5664",2481867,"unipd","disliked source",5
"5665",2481915,"unipd","liked source",2
"5666",2481937,"unipd","liked source",1
"5667",2482069,"unipd","liked source",3
"5668",2482157,"unipd","disliked source",8
"5669",2482162,"unipd","liked source",2
"5670",2482188,"unipd","disliked source",5
"5671",2482220,"unipd","liked source",1
"5672",2482247,"unipd","liked source",5
"5673",2482249,"unipd","disliked source",2
"5674",2482262,"unipd","liked source",1
"5675",2482438,"unipd","disliked source",5
"5676",2482453,"unipd","liked source",3
"5677",2482461,"unipd","liked source",2
"5678",2482476,"unipd","liked source",5
"5679",2482519,"unipd","liked source",5
"5680",2482591,"unipd","liked source",5
"5681",2482626,"unipd","disliked source",1
"5682",2482641,"unipd","disliked source",5
"5683",2482777,"unipd","disliked source",1
"5684",2482864,"unipd","disliked source",3
"5685",2483502,"unipd","liked source",3
"5686",2483553,"unipd","disliked source",5
"5687",2483595,"unipd","liked source",1
"5688",2483612,"unipd","disliked source",1
"5689",2483629,"unipd","disliked source",8
"5690",2483770,"unipd","disliked source",1
"5691",2483791,"unipd","disliked source",5
"5692",2483792,"unipd","liked source",2
"5693",2483871,"unipd","disliked source",5
"5694",2483932,"unipd","disliked source",4
"5695",2483985,"unipd","liked source",4
"5696",2484019,"unipd","disliked source",4
"5697",2484059,"unipd","liked source",1
"5698",2484318,"unipd","disliked source",5
"5699",2484326,"unipd","liked source",1
"5700",2484426,"unipd","disliked source",5
"5701",2484434,"unipd","disliked source",3
"5702",2484464,"unipd","liked source",3
"5703",2484467,"unipd","disliked source",5
"5704",2484491,"unipd","liked source",5
"5705",2484505,"unipd","disliked source",5
"5706",2484642,"unipd","liked source",3
"5707",2484702,"unipd","disliked source",5
"5708",2484722,"unipd","disliked source",1
"5709",2484843,"unipd","liked source",1
"5710",2484977,"unipd","liked source",3
"5711",2485013,"unipd","disliked source",5
"5712",2485029,"unipd","disliked source",3
"5713",2485084,"unipd","liked source",5
"5714",2485107,"unipd","liked source",5
"5715",2485579,"unipd","liked source",4
"5716",2485979,"unipd","disliked source",1
"5717",2485980,"unipd","disliked source",2
"5718",2485997,"unipd","liked source",5
"5719",2486001,"unipd","disliked source",5
"5720",2486003,"unipd","liked source",4
"5721",2486015,"unipd","liked source",7
"5722",2486023,"unipd","disliked source",5
"5723",2486027,"unipd","disliked source",8
"5724",2486037,"unipd","disliked source",5
"5725",2486040,"unipd","liked source",5
"5726",2486108,"unipd","disliked source",3
"5727",2486115,"unipd","liked source",5
"5728",2486145,"unipd","liked source",3
"5729",2486157,"unipd","disliked source",5
"5730",2486158,"unipd","disliked source",2
"5731",2486167,"unipd","disliked source",5
"5732",2486181,"unipd","liked source",4
"5733",2486191,"unipd","disliked source",5
"5734",2486204,"unipd","disliked source",5
"5735",2486230,"unipd","liked source",5
"5736",2486263,"unipd","disliked source",7
"5737",2486285,"unipd","disliked source",3
"5738",2486620,"unipd","disliked source",5
"5739",2486678,"unipd","liked source",5
"5740",2486682,"unipd","liked source",2
"5741",2486702,"unipd","liked source",3
"5742",2486982,"unipd","liked source",5
"5743",2487020,"unipd","liked source",6
"5744",2487026,"unipd","liked source",5
"5745",2487058,"unipd","disliked source",5
"5746",2487140,"unipd","liked source",4
"5747",2487183,"unipd","disliked source",5
"5748",2487244,"unipd","disliked source",5
"5749",2487591,"unipd","liked source",1
"5750",2487605,"unipd","disliked source",5
"5751",2487621,"unipd","liked source",5
"5752",2487622,"unipd","liked source",5
"5753",2487624,"unipd","disliked source",9
"5754",2487632,"unipd","liked source",5
"5755",2487640,"unipd","liked source",5
"5756",2487668,"unipd","liked source",1
"5757",2487815,"unipd","liked source",5
"5758",2487825,"unipd","disliked source",9
"5759",2487830,"unipd","disliked source",2
"5760",2487891,"unipd","disliked source",5
"5761",2487978,"unipd","disliked source",3
"5762",2488018,"unipd","liked source",4
"5763",2488497,"unipd","liked source",5
"5764",2488508,"unipd","liked source",6
"5765",2488532,"unipd","disliked source",1
"5766",2488542,"unipd","disliked source",1
"5767",2488545,"unipd","disliked source",7
"5768",2488556,"unipd","liked source",5
"5769",2488614,"unipd","liked source",4
"5770",2488655,"unipd","liked source",4
"5771",2488731,"unipd","liked source",5
"5772",2488886,"unipd","liked source",6
"5773",2489769,"unipd","disliked source",1
"5774",2489807,"unipd","liked source",5
"5775",2489876,"unipd","liked source",5
"5776",2490054,"unipd","disliked source",3
"5777",2490369,"unipd","disliked source",3
"5778",2491671,"unipd","disliked source",2
"5779",2493475,"unipd","liked source",4
