"","session_id","referrer","quoteGroup","quote"
"5969",2451755,"wisc","liked source",7
"5970",2451756,"wisc","liked source",5
"5971",2451762,"wisc","liked source",5
"5972",2451763,"wisc","disliked source",5
"5973",2451765,"wisc","liked source",7
"5974",2451768,"wisc","liked source",7
"5975",2451769,"wisc","liked source",5
"5976",2451773,"wisc","liked source",6
"5977",2451775,"wisc","liked source",9
"5978",2451782,"wisc","liked source",5
"5979",2451811,"wisc","liked source",4
"5980",2451854,"wisc","liked source",9
"5981",2451914,"wisc","liked source",4
"5982",2451915,"wisc","liked source",8
"5983",2451917,"wisc","liked source",9
"5984",2451918,"wisc","disliked source",5
"5985",2451920,"wisc","disliked source",2
"5986",2451921,"wisc","disliked source",3
"5987",2451924,"wisc","disliked source",6
"5988",2451926,"wisc","liked source",9
"5989",2451927,"wisc","disliked source",5
"5990",2451929,"wisc","disliked source",7
"5991",2451942,"wisc","liked source",3
"5992",2451979,"wisc","liked source",4
"5993",2451983,"wisc","disliked source",3
"5994",2461615,"wisc","disliked source",5
"5995",2461618,"wisc","liked source",5
"5996",2461619,"wisc","liked source",6
"5997",2461623,"wisc","disliked source",4
"5998",2461641,"wisc","liked source",5
"5999",2461643,"wisc","liked source",6
"6000",2461658,"wisc","liked source",3
"6001",2461749,"wisc","liked source",5
"6002",2461756,"wisc","disliked source",3
"6003",2461765,"wisc","disliked source",6
"6004",2461774,"wisc","disliked source",6
"6005",2461788,"wisc","liked source",4
"6006",2461790,"wisc","disliked source",3
"6007",2461792,"wisc","disliked source",5
"6008",2461806,"wisc","liked source",6
"6009",2461810,"wisc","liked source",5
"6010",2461899,"wisc","liked source",5
"6011",2461906,"wisc","liked source",4
"6012",2461911,"wisc","liked source",4
"6013",2461913,"wisc","liked source",5
"6014",2461915,"wisc","disliked source",5
"6015",2461918,"wisc","liked source",4
"6016",2461920,"wisc","disliked source",6
"6017",2461921,"wisc","disliked source",6
"6018",2461924,"wisc","liked source",3
"6019",2461974,"wisc","disliked source",3
"6020",2461982,"wisc","disliked source",5
"6021",2461986,"wisc","liked source",7
"6022",2461988,"wisc","disliked source",5
"6023",2461994,"wisc","liked source",7
"6024",2462000,"wisc","disliked source",6
"6025",2462005,"wisc","disliked source",2
"6026",2462007,"wisc","disliked source",7
"6027",2462009,"wisc","disliked source",5
"6028",2462013,"wisc","liked source",6
"6029",2462014,"wisc","liked source",9
"6030",2462063,"wisc","liked source",5
"6031",2462080,"wisc","disliked source",7
"6032",2462088,"wisc","disliked source",6
"6033",2462094,"wisc","disliked source",9
"6034",2462102,"wisc","disliked source",5
"6035",2462104,"wisc","disliked source",8
"6036",2462128,"wisc","liked source",9
"6037",2462132,"wisc","disliked source",5
"6038",2462133,"wisc","liked source",5
"6039",2462137,"wisc","liked source",5
"6040",2462152,"wisc","liked source",9
"6041",2462184,"wisc","liked source",5
"6042",2462186,"wisc","liked source",3
"6043",2462187,"wisc","liked source",4
"6044",2462188,"wisc","liked source",9
"6045",2462194,"wisc","disliked source",9
"6046",2465656,"wisc","liked source",8
"6047",2465659,"wisc","disliked source",5
"6048",2465663,"wisc","liked source",2
"6049",2465664,"wisc","disliked source",5
"6050",2465666,"wisc","liked source",8
"6051",2465667,"wisc","liked source",3
"6052",2465671,"wisc","disliked source",6
"6053",2465672,"wisc","disliked source",7
"6054",2465677,"wisc","liked source",6
"6055",2465714,"wisc","liked source",5
"6056",2465716,"wisc","liked source",5
"6057",2477361,"wisc","disliked source",5
"6058",2477363,"wisc","liked source",4
"6059",2477365,"wisc","disliked source",5
"6060",2477368,"wisc","disliked source",3
"6061",2477371,"wisc","disliked source",5
"6062",2477374,"wisc","liked source",4
"6063",2477375,"wisc","disliked source",5
"6064",2477418,"wisc","liked source",4
