"","session_id","referrer","quoteGroup","quote"
"6065",2401013,"wku","liked source",5
"6066",2401059,"wku","liked source",7
"6067",2401273,"wku","disliked source",1
"6068",2401275,"wku","disliked source",6
"6069",2401277,"wku","disliked source",5
"6070",2401278,"wku","disliked source",6
"6071",2401294,"wku","liked source",9
"6072",2401426,"wku","disliked source",4
"6073",2411348,"wku","disliked source",6
"6074",2411349,"wku","liked source",6
"6075",2411350,"wku","disliked source",7
"6076",2411352,"wku","disliked source",5
"6077",2411472,"wku","liked source",7
"6078",2411473,"wku","disliked source",7
"6079",2411474,"wku","liked source",7
"6080",2411475,"wku","liked source",3
"6081",2411479,"wku","liked source",5
"6082",2411560,"wku","disliked source",3
"6083",2411561,"wku","liked source",2
"6084",2411562,"wku","liked source",5
"6085",2411564,"wku","liked source",5
"6086",2411568,"wku","disliked source",3
"6087",2411569,"wku","disliked source",6
"6088",2411724,"wku","liked source",5
"6089",2411727,"wku","disliked source",1
"6090",2411854,"wku","disliked source",7
"6091",2411858,"wku","disliked source",5
"6092",2411860,"wku","liked source",7
"6093",2411862,"wku","liked source",9
"6094",2411945,"wku","liked source",5
"6095",2411946,"wku","disliked source",2
"6096",2411947,"wku","disliked source",2
"6097",2411954,"wku","disliked source",5
"6098",2412031,"wku","liked source",8
"6099",2412032,"wku","liked source",8
"6100",2412033,"wku","liked source",5
"6101",2412035,"wku","liked source",5
"6102",2412037,"wku","liked source",5
"6103",2412071,"wku","disliked source",9
"6104",2412072,"wku","disliked source",5
"6105",2412075,"wku","disliked source",4
"6106",2412084,"wku","liked source",5
"6107",2412085,"wku","disliked source",5
"6108",2426096,"wku","liked source",9
"6109",2426218,"wku","disliked source",5
"6110",2426308,"wku","liked source",5
"6111",2426586,"wku","liked source",9
"6112",2442947,"wku","disliked source",8
"6113",2442959,"wku","disliked source",1
"6114",2443365,"wku","disliked source",4
"6115",2443463,"wku","liked source",5
"6116",2443466,"wku","liked source",8
"6117",2443468,"wku","liked source",3
"6118",2443632,"wku","liked source",7
"6119",2443634,"wku","disliked source",1
"6120",2456929,"wku","disliked source",1
"6121",2456974,"wku","disliked source",5
"6122",2467295,"wku","disliked source",5
"6123",2469962,"wku","liked source",5
"6124",2469972,"wku","disliked source",6
"6125",2470019,"wku","disliked source",5
"6126",2470021,"wku","liked source",7
"6127",2470108,"wku","disliked source",1
"6128",2470118,"wku","liked source",7
"6129",2470120,"wku","disliked source",4
"6130",2470122,"wku","disliked source",4
"6131",2470195,"wku","disliked source",6
"6132",2470289,"wku","disliked source",3
"6133",2470353,"wku","liked source",9
"6134",2470356,"wku","disliked source",6
"6135",2470433,"wku","liked source",3
"6136",2470434,"wku","disliked source",7
"6137",2470510,"wku","liked source",7
"6138",2477199,"wku","liked source",8
"6139",2477200,"wku","disliked source",7
"6140",2481988,"wku","liked source",7
"6141",2482008,"wku","disliked source",5
"6142",2482011,"wku","liked source",7
"6143",2482012,"wku","liked source",5
"6144",2482013,"wku","disliked source",1
"6145",2482014,"wku","liked source",4
"6146",2482015,"wku","liked source",5
"6147",2482103,"wku","disliked source",5
"6148",2482104,"wku","liked source",2
"6149",2482117,"wku","liked source",4
"6150",2482123,"wku","liked source",7
"6151",2482124,"wku","liked source",9
"6152",2482149,"wku","disliked source",5
"6153",2482150,"wku","disliked source",4
"6154",2482199,"wku","liked source",4
"6155",2482203,"wku","disliked source",6
"6156",2482275,"wku","liked source",5
"6157",2482278,"wku","liked source",6
"6158",2482280,"wku","liked source",4
"6159",2482481,"wku","disliked source",7
"6160",2482485,"wku","disliked source",8
"6161",2482487,"wku","disliked source",5
"6162",2482573,"wku","disliked source",9
"6163",2482576,"wku","disliked source",6
"6164",2482577,"wku","disliked source",2
"6165",2482581,"wku","liked source",9
"6166",2482596,"wku","liked source",8
"6167",2482610,"wku","liked source",9
