"","session_id","referrer","quoteGroup","quote"
"480",2478532,"help","disliked source",7
"481",2478534,"help","liked source",8
"482",2478570,"help","liked source",9
"483",2478574,"help","liked source",6
"484",2478584,"help","liked source",4
"485",2478593,"help","disliked source",2
"486",2478626,"help","disliked source",2
"487",2478643,"help","liked source",2
"488",2478644,"help","disliked source",3
"489",2478657,"help","disliked source",5
"490",2478672,"help","liked source",4
"491",2478681,"help","liked source",3
"492",2478687,"help","liked source",9
"493",2478688,"help","liked source",5
"494",2478703,"help","disliked source",7
"495",2478706,"help","liked source",4
"496",2478718,"help","liked source",9
"497",2478726,"help","liked source",7
"498",2478727,"help","liked source",5
"499",2478764,"help","liked source",4
"500",2480748,"help","disliked source",2
"501",2480756,"help","liked source",8
"502",2480784,"help","liked source",7
"503",2480786,"help","disliked source",7
"504",2480821,"help","liked source",9
"505",2480823,"help","liked source",9
"506",2480862,"help","liked source",9
"507",2480891,"help","liked source",9
"508",2480894,"help","liked source",4
"509",2480933,"help","liked source",3
"510",2480935,"help","disliked source",5
"511",2480961,"help","disliked source",7
"512",2480965,"help","disliked source",5
"513",2481000,"help","disliked source",3
"514",2481002,"help","liked source",7
"515",2481015,"help","liked source",7
"516",2481016,"help","liked source",5
"517",2481028,"help","liked source",8
"518",2481030,"help","liked source",5
"519",2481059,"help","liked source",5
"520",2481060,"help","disliked source",7
"521",2481065,"help","disliked source",3
"522",2481066,"help","disliked source",5
"523",2481079,"help","liked source",8
"524",2481090,"help","disliked source",4
"525",2483090,"help","disliked source",8
"526",2483097,"help","liked source",3
"527",2483124,"help","disliked source",3
"528",2483188,"help","liked source",1
"529",2483238,"help","disliked source",4
"530",2483246,"help","disliked source",4
"531",2483286,"help","disliked source",1
"532",2483295,"help","liked source",4
"533",2483343,"help","liked source",6
"534",2483345,"help","disliked source",1
"535",2483375,"help","disliked source",4
"536",2483396,"help","disliked source",8
"537",2483399,"help","liked source",3
"538",2483434,"help","disliked source",1
"539",2483460,"help","liked source",3
"540",2483461,"help","liked source",5
"541",2483488,"help","liked source",6
"542",2483491,"help","liked source",4
"543",2483512,"help","disliked source",9
"544",2483513,"help","disliked source",7
"545",2483540,"help","disliked source",6
"546",2483542,"help","disliked source",7
"547",2483554,"help","liked source",6
"548",2483555,"help","liked source",8
"549",2483574,"help","liked source",2
"550",2483575,"help","disliked source",9
"551",2483587,"help","disliked source",9
"552",2483588,"help","disliked source",5
"553",2483613,"help","liked source",3
"554",2483614,"help","liked source",7
"555",2483640,"help","disliked source",9
"556",2483641,"help","liked source",2
"557",2484192,"help","liked source",9
"558",2485486,"help","disliked source",5
"559",2485537,"help","disliked source",5
"560",2485604,"help","disliked source",5
"561",2485607,"help","liked source",2
"562",2485651,"help","liked source",9
"563",2485653,"help","liked source",9
"564",2485691,"help","disliked source",4
"565",2485699,"help","disliked source",7
"566",2485753,"help","liked source",2
"567",2485755,"help","liked source",8
"568",2485804,"help","liked source",2
"569",2485842,"help","disliked source",9
"570",2485852,"help","liked source",2
"571",2485882,"help","liked source",9
"572",2485885,"help","liked source",9
"573",2485905,"help","disliked source",9
"574",2485906,"help","disliked source",6
"575",2485964,"help","liked source",5
"576",2485966,"help","liked source",5
"577",2485988,"help","liked source",8
"578",2486008,"help","liked source",7
"579",2486012,"help","liked source",9
"580",2486028,"help","disliked source",7
"581",2486032,"help","disliked source",1
